taxonID,vernacularName,language,countryCode,rightsHolder,license
wfo-0000489780,Nepal-Knöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489816,Kleiner Knöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-1000080661,Stängellose Schlüsselblume,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595976,Langstieliges Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000596025,Niedriges Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000372964,Essbares Zypergras,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489876,Östlicher Knöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000859844,Gold-Bartgras,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000752017,Grossblütige Bergminze,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018867,Duft-Rose,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018877,Zwergmispel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018881,Nelkenwurz-Waldsteinie,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018917,Aschgraues Fingerkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000102904,Gewöhnlicher Rainkohl,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000452192,Deutsche Tamariske,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489910,Wasserpfeffer-Knöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000596122,Sand-Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018965,Tannen-Rose,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000490033,Ampfer-Knöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000331695,Argentinisches Eisenkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001260746,Silikat-Polsternelke,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000452390,Bach-Quellkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000596228,Filziges Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000596257,Einblütiges Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001019042,Speierling,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000452426,Mäuseschwanz,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001129323,Haar-Wasserhahnenfuss,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000001149,Grossblättriger Milchlattich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000909244,Piemonteser Kugelblumen-Rapunzel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000373464,Gelbliches Zypergras,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000723127,Straucheibisch,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001019139,Kleinblütige Rose,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000526815,Gekielte Flechtbinse,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000373504,Armblütiges Tausendblatt,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000373510,Brasilianisches Tausendblatt,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000373526,Verschiedenblättriges Tausendblatt,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000001408,Einköpfiges Berufkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000723167,Stundenblume,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000053305,Wollköpfige Kratzdistel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000373555,Quirlblütiges Tausendblatt,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000373566,Ähriges Tausendblatt,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000693018,Aufrechtes Heideröschen,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-1200100142,Raibler Haarstrang,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000103614,Kurzschuppige Golddistel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
