taxonID,description,type,language,rightsHolder,source,license
wfo-0000596025,4–5. Sols secs et sablonneux ; thermophile ; coll.(-mont.). CH (manque en Engadine).,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000372964,"7–10. Fossés, étangs ; coll. TI, P, dispersé AN.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000489876,"7–10. Décombres, haies ; subspontané ; coll. P, VS, TI.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000859844,"6. Prés secs, rocailles ; coll. TI, GR (Val Poschiavo, Val Mesocco), VD (Bex).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000752017,"7–9. Forêts ; mont.(-subalp.). TI, GR (Vallée de Mesocco), OB (Simmental), dispersé VS, VD, NE.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018867,"7. Buissons, endroits pierreux ; coll.-mont.(-subalp.). Dispersé A (surtout VS, OB), rare ZH et SO.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018877,"6–7. Forêts claires de montagne, brousses d'arbustes nains ; subalp.-alp. A, J (jusqu'au Weissenstein).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018881,"4–5. Souvent cultivé dans les jardins, subspontané dans haies et forêts ; coll.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018917,"4. Prés secs, rochers, murs ; xérothermophile ; coll. VS.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000102904,"6–10. Chemins, champs, esserts, décombres ; coll.-mont.(-subalp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000452192,"6. Alluvions sablonneuses ; coll.-mont.(-subalp.). A, dispersé P et J.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000489910,"7–10. Endroits humides, fossés, chemins de forêts ; coll.-mont. CH (manque en Engadine).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000596122,"3–5. Sols secs, sablonneux ; coll.-mont. CH (manque Engadine).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018965,"6. Haies, lisières, amas de pierres ; coll.-mont.(-subalp.). A, JN, reliefs P.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001260746,"7–8. Pelouses rocailleuses, arêtes ; plutôt calcifuge ; alp. A (manque dans les chaînes ext. nord).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
