taxonID,description,type,language,rightsHolder,source,license
wfo-0000452390,"3–9. Quellen, Gräben, feuchte Äcker, kollin-subalpin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000596228,"5–7. Kultiviert und verwildert, kollin-montan.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000596257,"7–8. Felsschutt, Moränen, <b>kalkfliehend</b>, (subalpin-)alpin. A (fehlt in den nördlichen Randketten).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001019042,"5–7. Eichenwaldgesellschaften, früher oft kultiviert, kollin. JN (besonders SH), vereinzelt M. (Vuache).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000452426,"4–5. Brachen, Ruderalplätze, sandig-lehmige, zeitweise überschwemmte Orte, kollin. Früher M und JN, heute nur adventiv oder angesät.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001129323,"5–8. Stehende, nährstoffreiche Gewässer.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000001149,"7–8. Als Zierpflanze kultiviert und gelegentlich verwildert, kollin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000909244,Besonders im westlichen Verbreitungsgebiet.,ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000373464,"7–9. Lehmig-feuchte, zeitweise überschwemmte Orte, kollin-montan. TI, M, sonst sehr vereinzelt.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001019139,"6. Trockenwarme Orte, kollin-montan. CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000373504,"7–9. Stehende oder langsam fliessende, kalkfreie und nährstoffarme Gewässer, kollin-montan. Südliches TI, MZ.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000373510,"7–9. Stehende und langsam fliessende Gewässer, kollin. Aquarienpflanze, selten verwildert und eingebürgert (M).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000001408,"7–9. Rasen, Grate, meist auf kalkarmem Boden, (subalpin-)alpin. A.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000723167,"6–9. Kultiviert und verwildert, kollin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000053305,"7–9. Weiden, trockene Hänge, montan-subalpin. J, A, selten M. Karte enthält beide subsp..",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000373555,"6–9. Stehende und langsam fliessende Gewässer, kollin. CH (fehlt GR).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000373566,"6–9. Stehende oder langsam fliessende Gewässer, kollin-subalpin. CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000693018,"5–7. Trockenwarme, felsige Orte, auf Kalk, kollin(-montan). VS, südliches TI, vereinzelt BO und ANZ.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-1200100142,"Kollin-montan(-subalpin). TI, GR (südliche Täler).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000103614,Kollin-montan. Zentral- und südalpine Täler.,ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000860268,"8–9. Trockenrasen, Gebüsche, kollin. Südliches TI, VS (mittleres Rhonetal), VD.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000885202,"7–10. Wegränder, Schuttplätze, kollin. M, J, seltener A (fehlt im Engadin).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000332143,"6–9. Wegränder, Ödland, kollin-montan(-subalpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000693046,"4–5. Trockenwiesen, Weinberge, kollin-montan. VS, TI, GR (Misox, Puschlav), MW, sonst vereinzelt.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000693052,"5–7. Trockenwarme, felsige Orte, auf Kalk, kollin-montan. J (nördlich bis AG), MW, VS, südliches TI, GR, SG.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000053409,"7–8. Trockene Rasen, (subalpin-)alpin. A.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000289406,"5–6. Wälder und Gebüsche, u.a. in Föhntälern, kollin-montan. AN und M am Alpenrand (westl. bis Interlaken), TI, GR (fehlt im Engadin).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000001610,"8. Felsspalten, Felsschutt, alpin. VS (Zermatt).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000752489,Kollin(-montan). CH.,ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000289552,"6–7. Lichte Wälder, felsige Hänge, kalkliebend, kollin(-montan). J (NE bis SH), ZH, SG, GR.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
