Identifier,bibliographicCitation
23933,"Pirani, José R. 1998. A revision of Helietta and Balfourodendron (Rutaceae --- Pteleinae). Brittonia. 50: 348-380."
318654,"McVaugh, Rogers. 1951. A revision of the North American black cherries (Prunus scrotina Ehrb., and relatives). Brittonia. 7: 279-315."
479155,"Morton, Conrad V. 1957. Some West Indian Gesneriaceae. Brittonia. 9 (1): 18-24."
107628,"Aedo, Carlos, et al. 2003. Taxonomic revision of Geranium sect. Gracilia (Geraniaceae). Brittonia. 55: 93-126."
319616,"Moore, Harold E. 1961. A remarkable new Geranium [exallum] from Ecuador. Brittonia. 13: 141-144."
111252,"Freiberg, M. 2000. Three new species of Gasteranthus (Gesneriaceae) from Ecuador. Brittonia. 52: 203-209."
320140,"Munz, Philip A. 1964. A new Peruvian Fuchsia [F. wurdnobii]. Brittonia. 16: 229."
120115,"Berg, Cornelius C. 2004. A new species of Ficus (Moraceae) of uncertain provenance. Brittonia. 56 (1): 54-57."
79082,"Berg, Cornelius C. & Carauta, Jorge P. P. 2002. New species of Ficus (Moraceae) from Brazil. Brittonia. 54: 236-250."
264268,"Barringer, Kerry A. 1985. Two new species of Esterhazya (Scrophulariaceae) from Brazil. Brittonia. 37: 195-198."
190796,"Mickel, John T. 1980. Relationships of the dissected elaphoglossoid ferns. Brittonia. 32: 109-117."
329006,"Constance, Lincoln. 1979. Three new species of Eryngium (Umbelliferae) from tropical South America. Brittonia. 31: 365-372."
127903,"Reveal, James L. & Björk, Curtis R. 2004. Eriogonum soliceps (Polygonaceae:  Eriogonoideae), a new species from east-central Idaho and southwestern Montana. Brittonia. 56 (4): 295-298."
308979,"Reveal, James L. 1968. Notes on Eriogonum--IV. A revision of the Eriogonum deflexum complex. Brittonia. 20: 13-33."
329757,"Reveal, James L. 1981. Notes on endangered buckwheats (Eriogonum: Polygonaceae) with three newly described from the western United States. Brittonia. 33: 441-448."
308558,"Mosquin, Theodore. 1966. A new taxonmy for Epilobium angurtifolium L. (Onagraceae). Brittonia. 18: 167-188."
331433,"Koyama, Tetsuo M. 1984. A taxonomic revision of the genus Heterosmilax (Smilacaceae). Brittonia. 36: 184-205."
398315,"Ramamoorthy, T. P. & Wasshausen, Dieter C. 1985. A new name in Dyschoriste (Acanthaceae). Brittonia. 37: 358, 359."
328658,"Skog, Laurence E. 1978. New Panamanian species of Gesneriaceae. Brittonia. 30: 319-326."
257941,"Price, Robert A. 1980. Braba streptobrachia (Brassicaceae), a new species from Colorado. Brittonia. 32: 160-169."
299690,"Mathias, Mildred E. & Constance, Lincoln. 1981. Two new Umbelliferae of the Chihuahuan Desert [Aletes calcicola & Donnellsmithia coahuilensis]. Brittonia. 33: 342-346."
46133,"Aymard Corredor, Gerardo A. 2000. Dilleniaceae novae neotropicae: XI. A new subandean species of Doliocarpus. Brittonia. 52: 196-199."
463785,"De Luca, Paolo, et al. 1980. Dioon caputoi (Zamiaceae), a new species from Mexico. Brittonia. 32: 43-46."
299188,"De Luca, Paolo & Sabato, Sergio. 1979. Dioon califanoi (Zamiaceae), a new species from Mexico. Brittonia. 31: 170-173."
332793,"Lott, Emily J. 1986. Dieterlea, a new genus of Cucurbitaceae from Mexico. Brittonia. 38: 407-410."
309476,"Stern, Kingsley R. 1967. A new species of Dicentra [D. burmanica] from Burma. Brittonia. 19: 280-282."
333220,"Kuijt, Job. 1987. Miscellaneous mistletoe notes, 10-19. Brittonia. 39: 447-459."
395961,"Lewis, Harlan & Epling, Carl C. 1954. A taxonomic study of Californian delphiniums. Brittonia. 8: 1-22."
130104,"Daly, Douglas C. 2005. Dacryodes edilsonii, a new species from southwestern Amazonia.  Studies in neotropical Burseraceae XII. Brittonia. 57 (2): 118-122."
301330,"Hartman, Ronald L. & Kirkpatrick, Robert S. 1986. A new species of Cymopterus (Umbelliferae) from northwestern Wyoming. Brittonia. 38: 420-426."
20058,"Hartman, Ronald L. 2000. A new species of Cymopterus (Apiaceae) from the Rocky Mountain region, U.S.A. Brittonia. 52: 136-141."
299688,"Grimes, James & Packard, Patricia L. 1981. New taxa of Apiaceae, Hydrophyllaceae and Saxifragaceae from Oregon and Idaho. Brittonia. 33: 430-434."
327827,"Yuncker, Truman G. 1957. Three new species of Cuscuta from Africa and one variety from Nepal. Brittonia. 9: 133-135."
179288,"Schwartsburd, Pedro B., et al. 2007. A species of Ctenitis (Dryopteridaceae) from southern Brazil. Brittonia. 59 (1): 29-32."
331463,"Pruski, John F. 1984. Galea brittoniana and Galea kristiniae: two new Compositae from Brazil. Brittonia. 36: 98-103."
332450,"Turner, Billie L. 1986. A new species of Coreopsis section Pseudoagarista (Asteraceae) from Mexico. Brittonia. 38: 168-170."
362425,"Easterly, Nathan W. 1957. A morphological study of Ptilimnium. Brittonia. 9: 136-145."
263514,"Anderson, William R. 1983. Lophanthera, a genus of Malpighiaceae new to Central America. Brittonia. 35: 37-41."
332883,"Barneby, Rupert C. 1987. The fruit and tribal affinity of genus Cionomene (Menispermaceae). Brittonia. 39: 258, 259."
316532,"Howard, Richard A. 1943. Studies of the Icacinaceae--VI. Irvingbaileya and Codiocarpus, two new genera of the Icacineae. Brittonia. 5: 47-57. f. 1-3."
80805,"Delprete, Piero G. 1998. Notes on calycophyllous Rubiaceae. Part III. Systematic position of the monotypic Mexican genus Cosmocalyx and notes on the calycophyll development. Brittonia. 50: 309-317."
296680,"Mathias, Mildred E. & Constance, Lincoln. 1967. Some Umbelliferae of the Andean Paramos of South America. Brittonia. 19: 212-226."
82079,"Feuillet, Christian P. G. & Skog, Laurence E. 2002. Novae Gesneriaceae Neotropicarum XI. New genera and species from the Guianas. Brittonia. 54: 344-351."
479157,"Bartram, Edwin B. 1957. Mosses of Eastern Papua, New Guinea. Brittonia. 9 (1): 32-56."
297279,"Allen, Caroline L. & Gregory, Luis E. 1951. A new Species of Licaria from Puerto Rico. Brittonia. 7: 267-269."
479748,"Lindstrom, A. J. & Hill, Kenneth D. New Species and a New Record of Cycas (Cycadaceae) from Thailand. Brittonia. 54 (4): 298-304."
265603,"Daly, Douglas C. 1987. Studies in neotropical Burseraceae I. A synopsis of the genus Crepidospermum. Brittonia. 39: 51-58."
300869,"Dorr, Laurence J. & Diggs, George M. 1985. A new species of Comarostaphylis (Ericaceae, Arbuteae) from Tamaulipas, Mexico. Brittonia. 37: 378-381."
332524,"Joyal, Elaine. 1986. A new species of Collomia (Polemoniaceae) from the Great Basin. Brittonia. 38: 243-248."
121527,"Holmgren, Patricia K. 2004. Lectotypifications and a new combination in western North American Cleomaceae. Brittonia. 56 (2): 103-106."
398587,"Wanderley, Maria D. & Cerati, Tania M. 1987. Studies in Xyridaceae II. Two new species of Xyris from Brazil. Brittonia. 39: 298-301."
479251,"Iltis, Hugh H. 1959. Studies in the Capparidaceae-VI. Cleome Sect. Physostemon: Taxonomy, Geography and Evolution. Brittonia. 11 (3): 123-162."
113142,"Lombardi, Julio A. 1998. Two notable new species of Cissus (Vitaceae) from South America. Brittonia. 50: 19-22."
71897,"Delprete, Piero G. 2000. Melanopsidium Colla (Rubiaceae, Gardenieae): A monospecific Brazilian genus with a complex nomenclatural history. Brittonia. 52: 325-336."
331934,"Vovides, Andres P. 1985. Systematic studies on Mexican Zamiaceae II. Additional notes on Ceratozamia kuesteriana from Tamaulipas, Mexico. Brittonia. 37: 226-231."
299335,"Landry, Garrie P. & Wilson, Marcia C. 1979. A new species of Ceratozamia [C. hildae] (Cycadaceae) from San Luis Potosi. Brittonia. 31: 422-424."
462108,"Stevenson, Dennis W., et al. 1986. A new species of Ceratozamia (Zamiaceae) from Veracruz, Mexico with comments on species relationships, habitats, and vegetative morphology in Ceratozamia. Brittonia. 38: 17-26."
112573,"Vitta, Fabio A. 2002. Trilepis tenuis (Cyperaceae: Trilepideae), a new species from Rio de Janeiro, southeastern Brazil. Brittonia. 54: 120-123."
353551,"Luteyn, James L. 1980. Notes on neotropical Vaccinieae (Ericaceae). VIII. New species of Cavendishia from northwestern South America. Brittonia. 32: 186-208."
330611,"Smith, Edwin B. 1982. A new variety of Cardamine angustata (Cruciferae) from the Ouachita mountains of Arkansas. Brittonia. 34: 376-380."
384525,"De Luca, Paolo, et al. 1979. Tillandsia tomasellii (Bromeliaceae), a new species from Oaxaca, Mexico. Brittonia. 31: 474-477."
130108,"González-Elizondo, M. Socorro, et al. 2005. An arsenic-tolerant new species of Eleocharis (Cyperaceae) from Chihuahua, Mexico. Brittonia. 57 (2): 150-154."
401198,"Nicolson, Dan Henry, et al. 1981. Thymocarpus cannoides (Marantaceae), a new genus and species from Venezuela and Brazil. Brittonia. 33: 22-24."
298245,"Raven, Peter H. & Moore, David M. 1965. A revision of Boisduvalia (Onagraceae). Brittonia. 17: 238-254."
332834,"Rico-Arce, María de L. 1987. Acacia sousae (Leguminosae: Mimosoideae), a new species from Mexico. Brittonia. 39: 130-132."
315255,"Hardin, James W. 1957. A revision of the Americana Hippocastanaceae--II. Brittonia. 9: 173-195."
299683,"Anderson, William R. & Gates, Bronwen. 1981. Barnebya, a new genus of Malpighiaceae from Brazil. Brittonia. 33: 275-284."
328780,"Gates, Bronwen. 1979. New names in Banisteriopsis and Diplopterys (Malpighiaceae) of the Guayana Highland. Brittonia. 31: 108, 109."
314376,"Fosberg, Francis R. 1960. Introgression in Artocarpus (Moraceae) in Micronesia. Brittonia. 12: 101-113."
264265,"Barringer, Kerry A. 1983. Notes on Central American Aristolochiaceae. Brittonia. 35: 171-174."
113001,"González, Federico. 1998. Two new species of Aristolochia (Aristolochiaceae) from Brazil and Peru. Brittonia. 50: 5-10."
320638,"Ownbey, Gerald B. 1961. The genus Argemons in South America and Hawaii. Brittonia. 13: 91-109."
299504,"Hawksworth, Frank G. & Wiens, Delbert. 1980. A new species of Arceuthobium [A. pendens] (Viscaceae) from central Mexico. Brittonia. 32: 348-352."
297550,"Culberson, William L. & Culberson, Chicita F. 1965. Asahinea, a new genus in the Parmeliaceae. Brittonia. 17: 182-190."
317786,"Kuijt, Job. 1964. A new Antidaphns [A. orbicularis] from Ecuador. Brittonia. 16: 331-333."
395920,"Krukoff, Boris A. & Moldenke, Harold N. 1938. Studies of American Menispermaceae, with special reference to species used in preparation of arrow-poisons. Brittonia. 3: 1-74."
309208,"Schuyler, Alfred E. 1966. A new species of Scirpus [S. diffusus] in California. Brittonia. 18: 140-152."
19561,"Kallunki, Jacquelyn A. 1998. Andreadoxa flava (Rutaceae, Cuspariinae): A new genus and species from Bahia, Brazil. Brittonia. 50: 59-62."
401155,"Theobald, William L., et al. 1964. A revision of Aletes and Neoparrya (Umbelliferae). Brittonia. 16: 296-315."
264266,"Barringer, Kerry A. 1987. New and noteworthy South American species of Agalinis (Scrophulariaceae). Brittonia. 39: 353-357."
264264,"Barringer, Kerry A. 1985. Two new species of Agalinis (Scrophulariaceae) from South America. Brittonia. 37: 352-354."
388742,"Thomas, William W. 1986. A new Rhynchospora (Cyperaceae) from Cerro Pirre, Panama. Brittonia. 38: 314-316."
398451,"Kral, Robert & Thomas, W. 1986. Two new species of Rhynchospora (Cyperaceae) from Mexico. Brittonia. 38: 210-215."
20282,"Strong, Mark T. 2000. A new species of Rhynchospora section Tenues Kükenthal (Cyperaceae) from Puerto Rico. Brittonia. 52: 241-245."
328680,"Delendick, Thomas J. 1978. Acer craibianum (Aceraceae) a new name for a maple of southeast Asia. Brittonia. 30: 473-475."
183533,"Judd, Walter S., et al. 2007. Tolmeia diplomenziesii: A new species from the Pacific Northwest and the diploid sister taxon of the autotetraploid T. menziesii (Saxifragaceae). Brittonia. 59 (3): 217-225."
185756,"Aymard Corredor, Gerardo A. & Campbell, Lisa M. 2007. A new species of Securidaca (Polygalaceae) from sandstone outcrops in the Venezuelan Andes. Brittonia. 59 (4): 328-333."
179286,"Daly, Douglas C. 2007. A new section of Protium from neotropics. Studies in neotropical Burseraceae XIII. Brittonia. 59 (1): 1-24."
185758,"Pirani, José R. & Kallunki, Jacquelyn A. 2007. Two new species of Galipea (Rutaceae, Galipeae) from Bolivia, Ecuador, and Peru. Brittonia. 59 (4): 343-349."
179290,"Sotuyo, S. & Lewis, Gwilym P. 2007. A new species of Caesalpinia from the Río Balsas Depression, Mexico, and an updated taxonomic circumscription of the Caesalpinia hintonii complex (Leguminosae: Caesalpinioideae: Caesalpinieae: Poincianella Group. Brittonia. 59 (1): 33-36."
479867,"Hearn, David J. 2007. Novelties in Adenia (Passifloraceae): Four New Species, a New Combination, a Vegetative. Brittonia. 59 (4): 308-327."
112998,"Hetterscheid, W. L. A., et al. 2003. Two new species of Araceae tribe Spathicarpeae from Bolivia. Brittonia. 55: 37-41."
121534,"Vázquez, M. L., et al. 2004. Notes on red oaks (Quercus sect. Lobatae) in eastern Mexico, with description of a new species, Quercus hirtifolia. Brittonia. 56 (2): 136-142."
113068,"González Villarreal, Luz M. 2003. Two new species of oak (Fagaceae, Quercus sect. Lobatae) from the Sierra Madre del Sur, Mexico. Brittonia. 55: 49-60."
177376,"Prado, Jefferson. 2006. Three new species of Adiantum (Pteridaceae) from Bolivia and Peru. Brittonia. 58 (4): 379-384."
479818,"Singh, Rita & Radha, P. 2006. A New Species of Cycas from the Malabar Coast, Western Ghats, India. Brittonia. 58 (2): 119-123."
171222,"Reveal, James L. & Broome, Carmen R. 2006. Cryptantha gypsophila (Boraginaceae: Boraginoideae), a new species from western Colorado. Brittonia. 58 (2): 178-181."
398646,"Barringer, Kerry A. & Nevling, Lorin I. 1987. New species of Schoenbiblus (Thymelaeaceae) from Venezuela. Brittonia. 39: 428-431."
329576,"Steyermark, Julian A. 1981. New taxa from the Venezueland Guayana. Brittonia. 33: 28-36."
75412,"Luther, Harry E. 2002. Miscellaneous new taxa of Bromeliaceae (XVI). Brittonia. 54: 279-285."
395028,"Calder, James A. & Savile, Douglas B. O. 1959. Studies in the Saxifragaceae--II. Saxifraga sect Trachyphyllum in North America. Brittonia. 11: 228-249."
308947,"Read, Robert W. 1969. Variation and taxonomy of Pitoairnia (Bromeliaceae). Brittonia. 21: 83-90."
394369,"Mohlenbrock, Robert H. & Schwegman, John E. 1969. A new species of Carex sect. Bracteosae [C. socialis]. Brittonia. 21: 77-79."
20215,"Cervi, Armando C. 2002. A new species of Passiflora (Passifloraceae) from Amazonian Brazil. Brittonia. 54: 54-56."
332588,"Steyermark, Julian A. 1986. A new species of Peperomia (Piperaceae) from Venezuela. Brittonia. 38: 220, 221."
113080,"Holmgren, Noel H. 1998. Two new species of Penstemon (Scrophulariaceae: sect. Saccanthera) from Nevada, U.S.A. Brittonia. 50: 159-164."
121536,"Skorupa, L. A. & Pirani, José R. 2004. A new species of Pilocarpus (Rutaceae) from northern Brazil. Brittonia. 56 (2): 147-150."
25128,"Carnevali Fernández-Concha, Germán, et al. 2001. A synopsis of the Maxillaria rufescens complex in Mexico, Central America, and the Greater Antilles. Brittonia. 53: 454-465."
332455,"Turner, Billie L. 1986. Three new species of Phacelia (Hydrophyllaceae) from Nuevo León, Mexico. Brittonia. 38: 123-127."
127906,"Endress, Mary E. 2004. New species of Malouetia (Apocynaceae):  A trio from Amazonia. Brittonia. 56 (4): 307-313."
82392,"Anderson, C. 2001. Novelties in Mascagnia (Malpighiaceae). Brittonia. 53: 405-415."
79090,"Alves, Marccus, et al. 2002. New species of Hypolytrum Rich. (Cyperaceae) from the neotropics. Brittonia. 54: 124-135."
120122,"Arreola-Nava & Terrazas T. 2004. Stenocereus zopilotensis Areola-Nava and Terrazas (Cactaceae)., a new species from Mexico. Brittonia. 56 (1): 96-100."
372276,"Maguire, Bassett. 1958. Two Dominican stellarias. Brittonia. 10: 32."
20297,"Vargas, P., et al. 1998. A new species of Sanicula L. (Umbelliferae/Apiaceae) endemic to Baja California, Mexico. Brittonia. 50: 122-126."
434620,"Hilsenbeck, Richard A. & Marshall, Diane L. 1983. Schaueria calycobractea (Acanthaceae), a new species from Veracruz, Mexico. Brittonia. 35: 362-366."
299330,"Henrickson, James & Hilsenbeck, Richard A. 1979. New taxa and combinations in Siphonoglossa (Acanthaceae). Brittonia. 31: 373-378."
329602,"Cochrane, Theodore S. 1981. Carex hermannii (Cyperaceae), a new species from Mexico, with comments on related species at high altitudes in middle America. Brittonia. 33: 225-232."
328500,"Koyama, Tetsuo M. 1978. Studies in the Cyperaceae of Thailand I. New and otherwise noteworthy species of Fimbristylis. Brittonia. 30: 102-108."
332375,"Luteyn, James L. 1986. A new Vaccinium (Ericaceae) from Guayanan Brazil. Brittonia. 38: 101-103."
138376,"Ferrucci, María S. 2006. A new species of Urvillea (Sapindaceae) from northwestern Venezuela. Brittonia. 58 (1): 83-87."
479758,"Rehse, T. & Kress, Walter J. 2003. Distichochlamys rubrostriata (Zingiberaceae), a New Species from Northern Vietnam. Brittonia. 55 (3): 205-208."
23943,"Ronse, A. 2001. A revision of Otacanthus Lindl. (Scrophulariaceae). Brittonia. 53: 137-153."
123980,"Batista, J. A. N. & Bianchetti, Luciano d. 2004. Three new taxa in Cyrtopodium (Orchidaceae) from central and southeastern Brazil. Brittonia. 56 (3): 260-274."
264318,"Baum, Vicki M. 1982. New species and combinations in Odontonema (Acanthaceae). Brittonia. 34: 424-434."
22901,"Wagner, Warren L., et al. 1999. Another look at Hymenoxys subgenus Plummera (Asteraceae: Heliantheae: Gallardiinae) from Arizona and New Mexico. Brittonia. 51: 79-86."
82078,"Feuillet, Christian P. G. & Skog, Laurence E. 2002. Novae Gesneriaceae Neotropicarum XII. New species of Gesneriaceae from the Guianas. Brittonia. 54: 352-361."
384712,"Ceska, Oldriska, et al. 1986. Myriophyllum quítense and Myriophyllum ussuriense (Haloragaceae) in British Columbia, Canada. Brittonia. 38: 73-81."
332453,"Turner, Billie L. 1986. Bouvardia hintoniorum (Rubiaceae), a new species from Guerrero, Mexico. Brittonia. 38: 111-113."
424723,"Mukherjee, Prasanta K. & Constance, Lincoln. 1986. Two new genera of Indian Umbelliferae/Apiaceae. Brittonia. 38: 145-149."
388100,"Maguire, Bassett. 1944. Great Basin plants--VIII. New Species in Carex and Erigeron. Brittonia. 5: 199-202."
332868,"Wheeler, Gerald Allen. 1986. Two new species of Carex (Cyperaceae) from austral South America and additional taxonomic and phytogeographical notes on the genus. Brittonia. 38: 317-324."
308673,"Ornduff, Robert. 1969. Limnanthes vinoulans, a new California endemic. Brittonia. 21: 11-14."
307602,"Hermann, Frederick J. 1967. A new species of Carex [C. chiapensis] from Chiapas, Mexico. Brittonia. 19: 68, 69."
179298,"López, M. Gabriela, et al. 2007. New synonymy and new distributional records in Bulbostylis (Cyperaceae) from South America. Brittonia. 59 (1): 88-96."
16762,"Cervantes, A., et al. 2003. Adelia cinerea (Euphorbiaceae), formerly in Bernardia. Brittonia. 55: 4-9."
113092,"Kawasaki, Maria L. & Holst, Bruce K. 2002. Two new species of Plinia (Myrtaceae) from coastal forests of Brazil. Brittonia. 54: 94-98."
479733,"Essig, Frederick B., et al. 2001. A Systematic Histological Study of Palm Fruits. IV. Subtribe Oncospermatinae (Arecaceae). Brittonia. 53 (3): 466-471."
299649,"Sauleda, Ruben P. & Adams, Ralph M. 1981. Nomenclatural changes and additions to the Orchidaceae of the Bahama Archipelago. Brittonia. 33: 187-193."
308127,"Luer, Carlyle A. 1966. Two new Species of Triphora [T. rickettii, T. oraigheadii] (Orchidaceae) from Florida. Brittonia. 18: 241-243."
479162,"Cuatrecasas, José. 1957. The Colombian Species of Tetrorchidium. Brittonia. 9 (2): 76-82."
313261,"Degener, Otto. 1943. Stenogyne Sherffii Degener, a new mint from Hawaii. Brittonia. 5: 58, 59. f. 1."
324127,"Sherff, Earl E. 1960. Some dicotyledonous plants recently collected in the Hawaiian Islands. Brittonia. 12: 170-175."
299387,"Nelson, John B. & Fairey, John E. 1979. Misapplication of the name Stachys nuttallii (Lamiaceae) to a new southeastern species [S. eplingii]. Brittonia. 31: 491-494."
325914,"Tharp, Benjamin C. 1945. Noteworthy plants of Texas--III. Stachydeoma as represented in Texas. Brittonia. 5: 304-307, f. 1, 2."
434252,"Sheviak, Charles J. & Bye, R. A. 1980. Spiranthes dendroneura (Orchidaceae), a new species from Chihuahua. Brittonia. 32: 368-371."
300951,"Bernal-González, Rodrigo & Henderson, Andrew. 1986. A new species of Socratea (Palmae) from Colombia with notes on the genus. Brittonia. 38: 55-59."
404099,"Bunting, George S. & Steyermark, Julian A. 1969. A new American species of Schismatoglottis [S. bolivarana] (Araceae). Brittonia. 21: 187-190."
114683,"Senghas, K., et al. 1998. Validating a Peruvian Scelochilus (Orchidaceae: Oncidiinae). Brittonia. 50: 183-185."
304761,"McVaugh, Rogers & Schmid, Rudolf. 1967. Novelties in Satursia sect. Gardoquis (Labistae). Brittonia. 45: 261-267."
105252,"Hesler, Lexemuel R. & Smith, Alexander H. 1960. Studies on Lactarius -I. The North American species of sect. Lactarius. Brittonia. 12: 119-139."
399588,"Epling, Carl C. & Jativa, Carlos D. 1968. Supplementary notes on American Labiatae X. Brittonia. 20: 295-313."
396834,"Turner, Billie L. & Horne, David B. 1964. Taxonomy of Machaeranthera sect. Psilactis (Compositae-Astereae). Brittonia. 16: 316-331."
398161,"Holmes, Walter C. & McDaniel, Sidney T. 1984. New records of Peruvian Mikania (Compositae). Brittonia. 36: 276-279."
479456,"Epling, Carl C. & Játiva, Carlos D. 1966. Supplementary Notes on American Labiatae. IX. Brittonia. 18 (3): 255-265."
330348,"Strachan, Jeffrey L. 1982. A revision of the Salvia dorrii complex (Lamiaceae). Brittonia. 34: 151-169."
101279,"Delprete, Piero G. 1999. Riodocea (Rubiaceae, Gardenieae), a new genus from the Brazilian Atlantic forest. Brittonia. 51: 15-23."
25139,"Essig, Frederick B. & Hernandez, N. 2002. A systematic histological study of palm fruits. V. Subtribe Archontophoenicinae (Arecaceae). Brittonia. 54: 65-71."
101229,"Esser, Hans-Joachim. 1999. Rhodothyrsus, a new genus of Euphorbiaceae from tropical South America. Brittonia. 51: 170-180."
328887,"Kirkbride, Joseph H., Jr. 1979. Rariteae, an overlooked genus of the Rubiaceae. Brittonia. 31: 299-312."
398524,"Henderson, Andrew & Steyermark, Julian A. 1986. New palms from Venezuela. Brittonia. 38: 309-313."
23915,"Stauffer, Fred W., et al. 2003. A revision of Asterogyne (Arecaceae: Arecoideae: Geonomeae). Brittonia. 55: 326-356."
421831,"Chambers, Henrietta L. 1961. Chromosome numbers and breeding systems in Pycnanthemum (Labiatae). Brittonia. 13: 116-128."
331484,"Steyermark, Julian A. 1984. New Rubiaceae from French Guiana. Brittonia. 36: 154-160."
340382,"Carlquist, Sherwin. 1964. Pollen morphology and evolution of Sarcolaenaceae (Chlaenaceae). Brittonia. 16: 231-254."
332513,"Henderson, Andrew. 1986. A new Prestoea (Palmae) from Panama, with notes on the genus. Brittonia. 38: 266-268."
328888,"Koyama, Tetsuo M. 1979. Studies in the Cyperaceae of Thailand II. Miscellaneous taxa of Fimbristylideae, Rhynochosporeae, Scirpeae and Sclerieae. Brittonia. 31: 284-293."
316927,"Ingram, John W. 1964. Argythamnia guatamalensis and A. tinctoria (Euphorbiaceae). Brittonia. 16: 271-275."
331436,"Landrum, Leslie R. 1984. Taxonomic implications of the discovery of calyptrate species of Myrceugenia (Myrtaceae). Brittonia. 36: 161-166."
264279,"Barringer, Kerry A. 1985. A new species of Maxillaria (Orchidaceae) from Costa Rica. Brittonia. 37: 44-46."
479729,"Barfod, Anders S. & Borchsenius, Finn. 2000. A New Species of Licuala (Arecaeae; Coryphoideae) from the Central Highlands of Vietnam. Brittonia. 52 (4): 354-357."
309522,"Stimson, William R. 1970. A revision of the Puerto Rican species of Lepanthes (Orchidaceae). Brittonia. 21: 332-345."
299104,"Webster, Grady L. & Poveda, Luis J. 1978. A phytogeographically significant new species of Jatropha [J. costaricensis] (Euphorbiaceae) from Costa Rica. Brittonia. 30: 265-270."
328848,"Terrell, Edward E. 1979. New species and combinations in Houstonia (Rubiaceae). Brittonia. 31: 164-169."
402056,"Isley, Duane. 1978. New varieties and combinations in Lotus, Baptisia, Thermopsis and Sophora (Leguminosae). Brittonia. 30: 466-472."
266253,"Fantz, Paul R. 1980. A new species of Clitoria subgenus Neurocarpum section Neurocarpum [C. irwinii] (Leguminosae) from Brazil. Brittonia. 32: 376-379."
266260,"Fantz, Paul R. 1979. A new section of Clitoria subgenus Neurocarpum (Leguminosae) and a new species endemic to Thailand. Brittonia. 31: 115-118."
332473,"Barneby, Rupert C. 1986. A contribution to the taxonomy of Piptadenia (Mimosaceae) in South America. Brittonia. 38: 222-229."
301552,"Barneby, Rupert C. & Bridges, Edwin L. 1987. A new species of Astragalus (Fabaceae) from Tennessee's Central Basin. Brittonia. 39: 358-363."
398526,"Irwin, Howard S. & Barneby, Rupert C. 1987. Novelties in Chamaecrista section Absus (Caesalpiniaceae). Brittonia. 39: 7-10."
398563,"Barneby, Rupert C. & Spellenberg, Richard W. 1987. A new species of Astragalus (Leguminosae) from northwestern New Mexico and adjacent Arizona. Brittonia. 39: 188-191."
331954,"Cowan, Richard S. 1985. Studies in tropical American Leguminosae--IX. Brittonia. 37: 291-304."
398209,"Irwin, Howard S. & Barneby, Rupert C. 1985. A new arborescent Chamaecrista (Caesalpiniaceae: Cassiinae). Brittonia. 37: 14-16."
331813,"Barneby, Rupert C. 1984. The genus Mimosa (Mimosaceae) in Bahia, Brazil: new taxa and nomenclatural adjustments. Brittonia. 37: 125-153."
400766,"Barneby, Rupert C. & Grimes, James W. 1984. Two new mimosaeeous trees from the American tropics. Brittonia. 36: 236-240."
402095,"Isley, Duane. 1982. New combinations and one new variety among the genera Indigofera, Robinia, and Tephrosia (Leguminosae). Brittonia. 34: 339-341."
331405,"Barneby, Rupert C. 1984. Dragma Hippomanicum X: Astragali (Leguminosae) nevadenses novi criticive, singulo peruviano adjecto. Brittonia. 36: 167-- 173."
330387,"Hopkins, Helen C. F. 1982. Three new speices of Parkia (Leguminosae: Mimosoideae) from tropical South America. Brittonia. 34: 346-350."
300179,"Nelson, Thomas W. & Nelson, Jane P. 1983. Two new species of Leguminosae from serpentine of Humboldt County, California. Brittonia. 35: 180-183."
329287,"Barneby, Rupert C. 1980. Three new species of Dalea sect. Parosela (Leguminosae: Amorpheae) from western and southern Mexico. Brittonia. 32: 392-396."
299999,"Windler, Donald R. & Skinner, S. G. 1982. The taxonomy and nomenclature of Crotalaria foliosa (Leguminosae) and related species. Brittonia. 34: 342-345."
397441,"Irwin, Howard S. & Barneby, Rupert C. 1979. Two new Brazilian species of Chamaecrista Moench [C. onusta, C. hatschoacliii] (Leguminosae : Caesalpinioideae). Brittonia. 31: 464-468."
329140,"Barneby, Rupert C. 1980. Dragma Hippomanicum VI: a new tragacanthoid Astragalus [A. yoderwilliamsii] from Nevada and Idaho. Brittonia. 32: 30-32."
329139,"Barneby, Rupert C. 1979. Dragma Hippomanicum IV.New taxa of Astragalus sect. Humillimi. Brittonia. 31: 459-463."
329596,"Barneby, Rupert C. 1981. Dragma Hippomanicum VII: a new alpine Astragalus [A. shultziorum] (Leguminosae) from western Wyoming. Brittonia. 33: 156-158."
330754,"Barneby, Rupert C. 1983. Dragma Hippomanicum IX. A new Astragalus (Leguminosae: Astragalanae) from sandstone rimrock in New Mexico. Brittonia. 35: 109, 110."
330091,"Barneby, Rupert C. 1982. Dragma Hippomanicum VIII. A new species of Astragalus [A. cenorrhynchus] section Strigulosi (Leguminosae) from Oaxaca. Brittonia. 34: 78-80."
397504,"Planchuelo, Ana M. & Dunn, David B. 1980. Clarification of Lupinus grisebachianus, L. subacaulis and L. subinflatus (Leguminosae). Brittonia. 32: 387-391."
312940,"Cowan, Richard S. 1958. Studies in tropical American Leguminosae--IV. Brittonia. 10: 28-31."
