wfo_id,locality,tdwg_level3,wcvp_geo_note,ipni_id,powo_id,wcvp_family,wcvp_genus,wcvp_taxon_name
wfo-0001279957,"Costa Rica",COS,"Mexico (Puebla, Chiapas) to C. America",60426606-2,60426606-2,Orchidaceae,Acianthera,"Acianthera breedlovei"
wfo-0000337112,"Costa Rica",COS,"C. America to Ecuador",1011955-2,1011955-2,Orchidaceae,Acianthera,"Acianthera cogniauxiana"
wfo-0000335031,"Costa Rica",COS,"Mexico (Veracruz, Oaxaca) to Trop. America",269660-2,269660-2,Orchidaceae,Xylobium,"Xylobium foveatum"
wfo-0000337171,"Costa Rica",COS,"SE. Mexico to C. America",1032902-2,1032902-2,Orchidaceae,Acianthera,"Acianthera hondurensis"
wfo-4000000732,"Costa Rica",COS,"Mexico to Trop. America",328345-2,328345-2,Bromeliaceae,Aechmea,Aechmea
wfo-0000335979,"Costa Rica",COS,"SE. Nicaragua to NW. Colombia",1164710-2,1164710-2,Rubiaceae,Amphidasya,"Amphidasya longicalycina"
wfo-0000337532,"Costa Rica",COS,"Costa Rica to S. Trop. America",5380-2,5380-2,Bromeliaceae,Aechmea,"Aechmea castelnavii"
wfo-0000335883,"Costa Rica",COS,"S. Mexico to Trop. America",77168855-1,77168855-1,Myrtaceae,Psidium,"Psidium salutare var. salutare"
wfo-0000337465,"Costa Rica",COS,"C. & S. Trop. America",121543-1,121543-1,Bromeliaceae,Aechmea,"Aechmea angustifolia"
wfo-4000041147,"Costa Rica",COS,"Nigeria to Tanzania and S. Africa",331310-2,331310-2,Araceae,Zantedeschia,Zantedeschia
wfo-0000337505,"Costa Rica",COS,"Mexico to NW. Venezuela",121570-1,121570-1,Bromeliaceae,Aechmea,"Aechmea bracteata"
wfo-4000041301,"Costa Rica",COS,"Mexico to C. America",16062-1,16062-1,Euphorbiaceae,Zuckertia,Zuckertia
wfo-4000000042,"Costa Rica",COS,"Tropics & Subtropics",13554-1,13554-1,Cyperaceae,Abildgaardia,Abildgaardia
wfo-0000336377,"Costa Rica",COS,"Costa Rica",323184-2,323184-2,Rubiaceae,Psychotria,"Psychotria orosioides"
wfo-0000335565,"Costa Rica",COS,"Nicaragua to Ecuador",911655-1,911655-1,Orchidaceae,Zootrophion,"Zootrophion endresianum"
wfo-0000336419,"Costa Rica",COS,"Costa Rica to Panama",50426492-2,50426492-2,Rubiaceae,Schradera,"Schradera reticulata"
wfo-0000337248,"Costa Rica",COS,"Mexico to Trop. America",1112900-2,1112900-2,Orchidaceae,Acianthera,"Acianthera pubescens"
wfo-0000336418,"Costa Rica",COS,"Costa Rica to Panama",327521-2,327521-2,Rubiaceae,Schradera,"Schradera obtusifolia"
wfo-0000337119,"Costa Rica",COS,"Costa Rica",77062426-1,77062426-1,Orchidaceae,Acianthera,"Acianthera crassilabia"
wfo-0000335018,"Costa Rica",COS,"C. America to Guyana and Brazil, Trinidad",269650-2,269650-2,Orchidaceae,Xylobium,"Xylobium colleyi"
wfo-0000335566,"Costa Rica",COS,"Nicaragua to Panama",271258-2,271258-2,Orchidaceae,Zootrophion,"Zootrophion gracilentum"
wfo-0000336045,"Costa Rica",COS,"S. Costa Rica to Bolivia",1214821-2,1214821-2,Rubiaceae,Carapichea,"Carapichea affinis"
wfo-0000337191,"Costa Rica",COS,"Costa Rica to Bolivia",77062480-1,77062480-1,Orchidaceae,Acianthera,"Acianthera lojae"
wfo-0000337129,"Costa Rica",COS,"Costa Rica to Venezuela and Ecuador",1009719-2,1009719-2,Orchidaceae,Acianthera,"Acianthera decipiens"
wfo-0000336046,"Costa Rica",COS,"SE. Nicaragua to Brazil",1214950-2,1214950-2,Rubiaceae,Carapichea,"Carapichea ipecacuanha"
wfo-0000336210,"Costa Rica",COS,"SE. Nicaragua to NW. Colombia",1078518-2,1078518-2,Rubiaceae,Hippotis,"Hippotis panamensis"
wfo-0000336190,"Costa Rica",COS,"Costa Rica to Panama",323963-2,323963-2,Rubiaceae,Gonzalagunia,"Gonzalagunia osaensis"
wfo-0000337274,"Costa Rica",COS,"Trinidad, C. America to Venezuela and W. Bolivia",1104919-2,1104919-2,Orchidaceae,Acianthera,"Acianthera sicaria"
wfo-0000334795,"Costa Rica",COS,"Costa Rica to Trop. America",89384-1,89384-1,Araceae,Xanthosoma,"Xanthosoma undipes"
wfo-0000334780,"Costa Rica",COS,"Costa Rica to S. Trop. America",89373-1,89373-1,Araceae,Xanthosoma,"Xanthosoma sagittifolium"
wfo-1000042666,"Costa Rica",COS,"SE. Nicaragua to Costa Rica",325602-2,325602-2,Rubiaceae,Faramea,"Faramea zamorana"
wfo-0000336152,"Costa Rica",COS,"Costa Rica to W. Colombia",20009930-1,20009930-1,Rubiaceae,Faramea,"Faramea tamberlikiana subsp. sessifolia"
wfo-4000041014,"Costa Rica",COS,"Mexico to Trop. America",30944-1,30944-1,Orchidaceae,Xylobium,Xylobium
