WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000679773,205616775,204910176,Erythroxylum confusum,ERYTHROXYLACEAE,Erythroxylum,confusum,,,,Britton,Least Concern,,3.1,Stable,Global
wfo-0000680090,205616780,204910180,Erythroxylum rotundifolium,ERYTHROXYLACEAE,Erythroxylum,rotundifolium,,,,Lunan,Least Concern,,3.1,Stable,Global
wfo-0000956261,205616785,204910200,Eugenia aeruginea,MYRTACEAE,Eugenia,aeruginea,,,,DC.,Least Concern,,3.1,Stable,Global
wfo-0000957380,205616815,204910230,Eugenia galalonensis,MYRTACEAE,Eugenia,galalonensis,,,,(C.Wright ex Griseb.) Krug & Urb.,Least Concern,,3.1,Stable,Global
wfo-0000957489,205616820,204910267,Eugenia guatemalensis,MYRTACEAE,Eugenia,guatemalensis,,,,Donn.Sm.,Least Concern,,3.1,Stable,Global
wfo-0000959554,205616880,205088744,Eugenia xalapensis,MYRTACEAE,Eugenia,xalapensis,,,,(Kunth) DC.,Least Concern,,3.1,Stable,Global
wfo-0000963015,205616890,205089331,Euphorbia leucocephala,EUPHORBIACEAE,Euphorbia,leucocephala,,,,Lotsy,Least Concern,,3.1,Stable,Global
wfo-0000687348,205616895,205089939,Ficus apollinaris,MORACEAE,Ficus,apollinaris,,,,Dugand,Least Concern,,3.1,Stable,Global
wfo-0000689281,205616905,205090255,Ficus membranacea,MORACEAE,Ficus,membranacea,,,,C.Wright,Least Concern,,3.1,Stable,Global
wfo-0000689710,205616910,205090336,Ficus petiolaris,MORACEAE,Ficus,petiolaris,,,,Kunth,Least Concern,,3.1,Stable,Global
wfo-0000690161,205616915,205090585,Ficus rzedowskiana,MORACEAE,Ficus,rzedowskiana,,,,Carvajal & Cuevas-Figueroa,Least Concern,,3.1,Stable,Global
wfo-0000832160,205616920,205090715,Forestiera rhamnifolia,OLEACEAE,Forestiera,rhamnifolia,,,,Griseb.,Least Concern,,3.1,Stable,Global
wfo-0000692389,205616925,205090869,Freziera guatemalensis,PENTAPHYLACACEAE,Freziera,guatemalensis,,,,(Donn.Sm.) Kobuski,Least Concern,,3.1,Stable,Global
wfo-0000973993,205616930,205091213,Glossostipula concinna,RUBIACEAE,Glossostipula,concinna,,,,(Standl.) Lorence,Least Concern,,3.1,Stable,Global
wfo-0000974537,205616935,205091430,Gonzalagunia panamensis,RUBIACEAE,Gonzalagunia,panamensis,,,,(Cav.) K.Schum.,Least Concern,,3.1,Stable,Global
wfo-0000976077,205616940,205091464,Guettarda deamii,RUBIACEAE,Guettarda,deamii,,,,Standl.,Least Concern,,3.1,Stable,Global
wfo-0000976716,205616945,205091577,Gymnanthes actinostemoides,EUPHORBIACEAE,Gymnanthes,actinostemoides,,,,Müll.Arg.,Least Concern,,3.1,Stable,Global
wfo-0001081064,205616960,205092923,Henriettea fascicularis,MELASTOMATACEAE,Henriettea,fascicularis,,,,(Sw.) M.Gómez,Least Concern,,3.1,Stable,Global
wfo-0000727269,205616965,205093011,Hyperbaena winzerlingii,MENISPERMACEAE,Hyperbaena,winzerlingii,,,,Standl.,Least Concern,,3.1,Stable,Global
wfo-0000180200,205616970,205094215,Inga xalapensis,FABACEAE,Inga,xalapensis,,,,Benth.,Least Concern,,3.1,Stable,Global
wfo-0000355247,205616975,205094252,Jacquinia arborea,PRIMULACEAE,Jacquinia,arborea,,,,Vahl,Least Concern,,3.1,Stable,Global
wfo-0000219811,205616980,205094258,Jatropha multifida,EUPHORBIACEAE,Jatropha,multifida,,,,L.,Least Concern,,3.1,Stable,Global
wfo-0000356084,205616985,205096221,Karwinskia calderonii,RHAMNACEAE,Karwinskia,calderonii,,,,Standl.,Least Concern,,3.1,Stable,Global
wfo-0000166897,205616995,205096408,Libidibia sclerocarpa,FABACEAE,Libidibia,sclerocarpa,,,,(Standl.) Britton & Rose,Least Concern,,3.1,Stable,Global
