WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0001276667,85430458,161833,Isoetes boryana,ISOETACEAE,Isoetes,boryana,,,,Durieu,Endangered,"B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)",3.1,Decreasing,Global & Europe
wfo-0001331416,85430659,164101,Isoetes fluitans,ISOETACEAE,Isoetes,fluitans,,,,M.I.Romero,Endangered,"B2ab(iii,iv,v)",3.1,Decreasing,Global & Europe
wfo-0001221622,85434785,161966,Marsilea batardae,MARSILEACEAE,Marsilea,batardae,,,,Launert ,Endangered,"B2ab(ii,iii,iv,v)",3.1,Decreasing,"Global, Europe & Mediterranean"
wfo-0000376502,85711625,185340,Cyperus lateriticus,CYPERACEAE,Cyperus,lateriticus,,,,J.Raynal,Endangered,B2ab(iii),3.1,Decreasing,"Global, Pan-Africa & Western Africa"
wfo-0001340290,85712898,15368493,Lipotriche tithonioides,ASTERACEAE,Lipotriche,tithonioides,,,,(Aké Assi) D.J.N.Hind,Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000721257,85719020,85719017,Heteradelphia paulojaegeria,ACANTHACEAE,Heteradelphia,paulojaegeria,,,,Heine,Endangered,"B2ab(i,ii,iii,iv)",3.1,Decreasing,Global
wfo-0000537480,85719060,85719057,Anisotes guineensis,ACANTHACEAE,Anisotes,guineensis,,,,Lindau,Endangered,B2ab(iii),3.1,Decreasing,Global
wfo-0000917830,85730839,85730821,Gymnosiphon samoritoureanus,BURMANNIACEAE,Gymnosiphon,samoritoureanus,,,,Cheek,Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Decreasing,Global
wfo-0000342085,85730889,85730886,Bulbostylis bodardii,CYPERACEAE,Bulbostylis,bodardii,,,,S.S.Hooper,Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000445016,85731057,85731054,Hypolytrum cacuminum,CYPERACEAE,Hypolytrum,cacuminum,,,,Nelmes,Endangered,B2ab(iii),3.1,Decreasing,Global
wfo-0001332306,85731147,85731137,Cyperus felicis,CYPERACEAE,Cyperus,felicis,,,,(J.Raynal) Lye,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0000675799,85742903,85742900,Eriosema lateriticola,FABACEAE,Eriosema,lateriticola,,,,Jacq.-Fél.,Endangered,B2ab(iii),3.1,Unknown,Global
