WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000549074,140414986,140414966,Scleria chevalieri,CYPERACEAE,Scleria,chevalieri,,,,J.Raynal,Extinct,,3.1,,Global
wfo-0000411424,140416594,140416589,Eriocaulon inundatum,ERIOCAULACEAE,Eriocaulon,inundatum,,,,Moldenke,Extinct,,3.1,,Global
wfo-0000411507,140416698,140416686,Eriocaulon jordanii,ERIOCAULACEAE,Eriocaulon,jordanii,,,,(Moldenke) Meikle,Extinct,,3.1,,Global
wfo-0000562017,145297738,145283841,Beilschmiedia ningmingensis,LAURACEAE,Beilschmiedia,ningmingensis,,,,S.K.Lee & Y.T.Wei,Extinct,,3.1,,Global
wfo-0000193118,149811572,30393,Streblorrhiza speciosa,FABACEAE,Streblorrhiza,speciosa,,,,Endl.,Extinct,,3.1,,Global
wfo-0000681042,149812995,31679,Euchorium cubense,SAPINDACEAE,Euchorium,cubense,,,,Ekman & Radlk.,Extinct,,3.1,,Global
wfo-0000724656,149814208,33469,Hopea shingkeng,DIPTEROCARPACEAE,Hopea,shingkeng,,,,(Dunn) Bor,Extinct,,3.1,,Global
wfo-0000448106,149815846,35111,Myoporum rimatarense,SCROPHULARIACEAE,Myoporum,rimatarense,,,,F.Br.,Extinct,,3.1,,Global
wfo-0000921338,149816104,35254,Banara wilsonii,SALICACEAE,Banara,wilsonii,,,,Alain,Extinct,,3.1,,Global
wfo-0000976224,149816916,38848,Guettarda retusa,RUBIACEAE,Guettarda,retusa,,,,C.Wright,Extinct,,3.1,,Global
wfo-1000042256,149821996,147088627,Monteverdia lineata,CELASTRACEAE,Monteverdia,lineata,,,,(C.Wright ex Griseb.) Biral,Extinct,,3.1,,Global
wfo-0001070849,149822106,149618647,Licaria mexicana,LAURACEAE,Licaria,mexicana,,,,(Brandegee) Kosterm.,Extinct,,3.1,,Global
wfo-0000536578,149822436,31675,Angostura ossana,RUTACEAE,Angostura,ossana,,,,(DC.) Beurton,Extinct,,3.1,,Global
wfo-0001344690,158050426,158037164,Pycnandra micrantha,SAPOTACEAE,Pycnandra,micrantha,,,,(Beauvis.) Munzinger & Swenson,Extinct,,3.1,,Global
wfo-0000474347,158544179,111907266,Musa fitzalanii,MUSACEAE,Musa,fitzalanii,,,,F.Muell.,Extinct,,3.1,,Global
wfo-0000318775,168631084,168623053,Syzygium humblotii,MYRTACEAE,Syzygium,humblotii,,,,Labat & Schatz,Extinct,,3.1,,Global
wfo-0000831505,173119116,173119104,Delissea sinuata,CAMPANULACEAE,Delissea,sinuata,,,,Hillebr.,Extinct,,3.1,,Global
wfo-0000453102,183183123,33670,Melicope macropus,RUTACEAE,Melicope,macropus,,,,(Hillebr.) T.G.Hartley & B.C.Stone,Extinct,,3.1,,Global
wfo-0000831538,183183404,34040,Delissea undulata,CAMPANULACEAE,Delissea,undulata,,,,Gaudich.,Extinct,,3.1,,Global
wfo-0000442530,185558142,113168368,Leucadendron grandiflorum,PROTEACEAE,Leucadendron,grandiflorum,,,,(Salisb.) R.Br.,Extinct,,3.1,,Global
wfo-0000442449,185559739,113166006,Leucadendron spirale,PROTEACEAE,Leucadendron,spirale,,,,(Salisb. ex Knight) I.Williams,Extinct,,3.1,,Global
wfo-0000477308,201053885,201053876,Peperomia degeneri,PIPERACEAE,Peperomia,degeneri,,,,Yunck.,Extinct,,3.1,,Global
wfo-0000431005,216881879,216881863,Govenia floridana,ORCHIDACEAE,Govenia,floridana,,,,P.M.Br.,Extinct,,3.1,,Global
wfo-1000001663,227962657,227962655,Neonauclea kranjiensis,RUBIACEAE,Neonauclea,kranjiensis,,,,K.M.Wong & W.W.Seah,Extinct,,3.1,,Global
wfo-0000041719,233623962,232110633,Centaurea tuntasia,ASTERACEAE,Centaurea,tuntasia,,,,Heldr. ex Halácsy,Extinct,,3.1,,"Global, Europe & Mediterranean"
wfo-0000699693,233623987,232118222,Geocaryum bornmuelleri,APIACEAE,Geocaryum,bornmuelleri,,,,(H. Wolff) Engstrand,Extinct,,3.1,,"Global, Europe & Mediterranean"
wfo-0000699698,233623997,232120666,Geocaryum divaricatum,APIACEAE,Geocaryum,divaricatum,,,,(Boiss. & Orph.) Engstrand,Extinct,,3.1,,"Global, Europe & Mediterranean"
wfo-0001277451,236050685,199173251,Vachellia polypyrigenes,FABACEAE,Vachellia,polypyrigenes,,,,(Greenm.) Seigler & Ebinger,Extinct,,3.1,,Global
wfo-0001277465,236050922,31645,Vachellia zapatensis,FABACEAE,Vachellia,zapatensis,,,,(Urb. & Ekman) Seigler & Ebinger,Extinct,,3.1,,Global
wfo-0000002662,236663133,37924,Fitchia mangarevensis,ASTERACEAE,Fitchia,mangarevensis,,,,F.Br.,Extinct,,3.1,,Global
wfo-0000284775,236673639,30475,Psychotria adamsonii,RUBIACEAE,Psychotria,adamsonii,,,,Fosberg,Extinct,,3.1,,Global
wfo-0000516351,236684638,146907699,Achyranthes mangarevica,AMARANTHACEAE,Achyranthes,mangarevica,,,,Suess.,Extinct,,3.1,,Global
wfo-1000088069,236694411,236694409,Ceodes rapaensis,NYCTAGINACEAE,Ceodes,rapaensis,,,,(J.Florence) E.F.S.Rossetto & Caraballo,Extinct,,3.1,,Global
wfo-0000956250,240967765,31659,Eugenia acutissima,MYRTACEAE,Eugenia,acutissima,,,,Urb. & Ekman,Extinct,,3.1,,Global
wfo-0001330243,251943261,176986,Limnophila limnophiloides,PLANTAGINACEAE,Limnophila,limnophiloides,,,,(Blatt. & Hallb.) Karthik. & V.S.Kumar,Extinct,,3.1,,Global
wfo-0001041011,253645439,34042,Henriettea membranifolia,MELASTOMATACEAE,Henriettea,membranifolia,,,,(Cogn.) Alain,Extinct,,3.1,,Global
wfo-0000959035,253646057,212059494,Eugenia serrasuela,MYRTACEAE,Eugenia,serrasuela,,,,Krug & Urb.,Extinct,,3.1,,Global
wfo-0000474600,254580788,236692161,Pavonia domatiifera,MALVACEAE,Pavonia,domatiifera,,,,J.Florence,Extinct,,3.1,,Global
wfo-1000041511,268501052,268275087,Pytinicarpa tonitrui,ASTERACEAE,Pytinicarpa,tonitrui,,,,"Lannuzel, Gâteblé & M.Pignal",Extinct,,3.1,,Global
wfo-0000577229,275116864,32226,Byttneria ivorensis,MALVACEAE,Byttneria,ivorensis,,,,Hallé,Extinct,,2.3,,Global
wfo-0000572887,277416122,115537131,Brunoniella neocaledonica,ACANTHACEAE,Brunoniella,neocaledonica,,,,(Heine) Moylan,Extinct,,3.1,,Global
