taxonID,description,type,source,identifier,reference,license
wfo-0000598426,A slender twiner with glabrous stems,morphology,urn:kew.org:fwta:spec:desc:2071,urn:lsid:ipni.org:names:95737-1,,
wfo-0000598426,"Flowers 11/2 in. long, orange or brown-purple with paler corolla-lobes",morphology,urn:kew.org:fwta:spec:desc:2072,urn:lsid:ipni.org:names:95737-1,,
wfo-0000598426,Fruit follicles very narrow.,morphology,urn:kew.org:fwta:spec:desc:2073,urn:lsid:ipni.org:names:95737-1,,
wfo-0000598440,A slender perennial twiner with glabrous stems corolla-lobes,morphology,urn:kew.org:fwta:spec:desc:2074,urn:lsid:ipni.org:names:95743-1,,
wfo-0000598440,Peduncled cymes of green  red-mottled flowers 1-11/4 in. long including the club-topped connate,morphology,urn:kew.org:fwta:spec:desc:2075,urn:lsid:ipni.org:names:95743-1,,
wfo-0000598458,A glabrous leafy climber;,morphology,urn:kew.org:fwta:spec:desc:2076,urn:lsid:ipni.org:names:95759-1,,
wfo-0000598458,"Flowersin short-pedunculate cymes, creamy-white and blotched on the tube, the lobes dark purple.",morphology,urn:kew.org:fwta:spec:desc:2077,urn:lsid:ipni.org:names:95759-1,,
wfo-0000598524,A nearly glabrous twiner usually leafy;,morphology,urn:kew.org:fwta:spec:desc:2078,urn:lsid:ipni.org:names:95807-1,,
wfo-0000598524,"Flowers 2 in. long, dirty white  purple blotching.",morphology,urn:kew.org:fwta:spec:desc:2079,urn:lsid:ipni.org:names:95807-1,,
wfo-0000633139,A twining plant.,morphology,urn:kew.org:fwta:spec:desc:2090,urn:lsid:ipni.org:names:96249-1,,
wfo-0000633269,Slender twiner,morphology,urn:kew.org:fwta:spec:desc:2091,urn:lsid:ipni.org:names:96350-1,,
wfo-0000633269,Greenish-yellow flowers.,morphology,urn:kew.org:fwta:spec:desc:2092,urn:lsid:ipni.org:names:96350-1,,
wfo-0000633480,Precocious herb,morphology,urn:kew.org:fwta:spec:desc:2093,urn:lsid:ipni.org:names:96506-1,,
wfo-0000633480,"Inflorescence about 2 in. high bearing brownish flowers, greenish inside  a white corona",morphology,urn:kew.org:fwta:spec:desc:2094,urn:lsid:ipni.org:names:96506-1,,
wfo-0000637230,A shrubby perennial herb with simple stems up to 3 ft. high,morphology,urn:kew.org:fwta:spec:desc:2096,urn:lsid:ipni.org:names:96799-1,,
wfo-0000637230,Crowded willow-like leaves,morphology,urn:kew.org:fwta:spec:desc:2097,urn:lsid:ipni.org:names:96799-1,,
wfo-0000637230,"Cream flowers, bearded on the inner face of the lobes",morphology,urn:kew.org:fwta:spec:desc:2098,urn:lsid:ipni.org:names:96799-1,,
wfo-0000656538,Climber,morphology,urn:kew.org:fwta:spec:desc:2100,urn:lsid:ipni.org:names:97226-1,,
