wfo-0000949607,Alocasia navicularis (K.Koch & C.D.Bouché) K Koch & C.D.Bouché,Index Seminum 2. 1855. 
wfo-0000963446,Amorphophallus bulbifer (Roxb.) Blume,Rumphia 1: 148. 1837.
wfo-0000964987,Amorphophallus napalensis (Wall.) Bogner & Mayo,Aroideana 8(1): 19. 1985. 
wfo-0000269209,Ariopsis peltata Nimmo,Cat. Pl. Bombay 252. 1839. 
wfo-0000270235,Arisaema concinnum Schott,Bonplandia 7: 27. 1859.
wfo-0000270275,Arisaema consanguineum Schott,Bonplandia 7: 27. 1859.
wfo-0000270386,Arisaema costatum (Wall.) Mart.,Melet. Bot. 17. 1832. 
wfo-0000270595,Arisaema echinatum (Wall.) Schott,Melet. Bot. 1: 17. 1832.
wfo-0000270688,Arisaema erubescens (Wall.) Schott,Melet. Bot. 1: 17. 1832.
wfo-0000270704,Arisaema exappendiculatum H.Hara,J. Jap. Bot. 40(1): 21. 1965. 
wfo-0000270849,Arisaema flavum (Forssk.) Schott,Prodr. Syst. Aroid. 40. 1860. 
wfo-0000271036,Arisaema griffithii Schott,Syn. Aroid. 26. 1856.
wfo-0000271375,Arisaema intermedium Blume,Rumphia 1: 102. 1836.
wfo-0000271527,Arisaema jacquemontii Blume,Rumphia 1: 95. 1836. 
wfo-0000271852,Arisaema leschenaultii Blume,Rumphia 1: 93 (1836) 
wfo-0000272536,Arisaema nepenthoides (Wall.) Mart.,Meletem. 1: 17. 1831.
wfo-0000273189,Arisaema propinquum Schott,Oesterr. Bot. Wochenbl. 7: 333. 1857. 
wfo-0000274144,Arisaema speciosum (Wall.) Mart.,Melet. Bot. 1: 17. 1832.
wfo-0000274133,Arisaema speciosum var. mirabile (Schott) Engl.,Monogr. Phan. 2: 540. 1879.
wfo-0000274566,Arisaema tortuosum (Wall.) Schott,Melet. Bot. 1: 17. 1832. 
wfo-0000275001,Arisaema utile Hook.f. ex Schott,Prodr. Syst. Aroid. 30. 1860. 
wfo-0000275045,Arisaema vexillatum H.Hara & H.Ohashi,J. Jap. Bot. 48(4): 99. 1973.
wfo-0000279794,Arum jacquemontii Blume,Rumphia 1: 118. 1836. 
wfo-0000917298,Colocasia affinis Schott,Bonplandia 7: 28. 1859. 
wfo-0000917419,Colocasia esculenta (L.) Schott,Melet. Bot. 18. 1832.
wfo-0000917474,Colocasia fallax Schott,Bonplandia 7: 28. 1859. 
wfo-0000933255,Cryptocoryne retrospiralis (Roxb.) Kunth,Enum. Pl. 3: 12. 1841.
wfo-0000223543,Lasia spinosa (L.) Thwaites,Enum. Pl. Zeyl. 336. 1864.
wfo-0000224440,Lemna minor L.,Sp. Pl. 2: 970. 1753. 
wfo-0000224460,Lemna perpusilla Torr.,Fl. New York 2: 245. 1843. 
wfo-0000273956,Pistia stratiotes L.,Sp. Pl. 2: 963. 1753. 
wfo-0000281259,Pothos chinensis (Raf.) Merr.,J. Arnold Arbor. 29: 210. 1948.
wfo-0000295501,Remusatia hookeriana Schott,Oesterr. Bot. Z. 8: 133. 1858.
wfo-0000295503,Remusatia pumila (D.Don) H.Li & A.Hay,Acta Bot. Yunnan. 5: 32. 1992. 
wfo-0000295504,Remusatia vivipara (Roxb.) Schott,Melet. Bot. 18. 1832.
wfo-0000295939,Rhaphidophora decursiva (Roxb.) Schott,Bonplandia 5: 45. 1857. 
wfo-0000295963,Rhaphidophora glauca (Wall.) Schott,Bonplandia 5: 45. 1857. 
wfo-0000304967,Sauromatum brevipes (Hook.f.) N.E.Br.,"Gard. Chron., ser. 3, 34: 93. 1903. "
wfo-0000916133,Sauromatum diversifolium (Wall. ex Schott) Cusimano & Hett.,Taxon 59(2): 445. 2010. 
wfo-0000304979,Sauromatum venosum (Dryand. ex Aiton) Kunth,Enum. Pl. 3: 28. 1841. 
wfo-0000307271,Scindapsus officinalis (Roxb.) Schott,Melet. Bot. 21. 1832.
wfo-0000313527,Spirodela polyrhiza (L.) Schleid.,Linnaea 13: 392. 1839. 
wfo-0000328982,Typhonium trilobatum (L.) Schott,Wiener Z. Kunst 3: 72. 1829.
wfo-0000334465,Wolffia globosa (Roxb.) Hartog & Plas,"Blumea 18(2): 367. 1970,"
wfo-0000748714,Tofieldia himalaica Baker,"J. Linn. Soc., Bot. 17: 489. 1879. "
wfo-0000755476,Alisma plantago-aquatica subsp. orientale (Sam.) Sam.,Ark. Bot. 27(7): 11. f. 1932. 
wfo-0000762564,Butomopsis latifolia (D.Don) Kunth,Enum. Pl. 3: 165. 1841.
wfo-0000762635,Caldesia parnassifolia (Bassi ex L.) Parl.,Fl. Ital. 3(2): 599. 1860. 
wfo-0000770507,Sagittaria guayanensis subsp. lappula (D.Don) Bogin,Mem. New York Bot. Gard. 2: 192. 1955.
wfo-0000738042,Sagittaria trifolia L.,Sp. Pl. 2: 993. 1753. 
wfo-0000770592,Blyxa aubertii Rich.,Mem. Cl. Sci. Math. Inst. Natl. France 181(2): 19. 1814.
wfo-0000770603,Blyxa echinosperma (C.B.Clarke) Hook.f.,Fl. Brit. India 5: 661. 1888.
wfo-0000770609,Blyxa japonica (Miq.) Maxim. ex Asch. & Gürke,Nat. Pflanzenfam. 2(1): 253. 1889. 
wfo-0000769366,Hydrilla verticillata (L.f.) Royle,Ill. Bot. Himal. Mts. 376. 1839.
wfo-0000769492,Najas graminea Delile,"Descr. Egypte, Hist. Nat. 2: 282. 1813."
wfo-0000769553,Najas minor All.,Fl. Pedem. 2: 221. 1785.
wfo-0000769595,Nechamandra alternifolia (Roxb. ex Wight) Thwaites,Enum. Pl. Zeyl. 332. 1864. 
wfo-0000769606,Ottelia alismoides (L.) Pers.,Syn. Pl. 1: 400. 1805. 
wfo-0000770251,Vallisneria natans (Lour.) H.Hara,J. Jap. Bot. 49(5): 136. 1974.
wfo-0000770262,Vallisneria spiralis L.,Sp. Pl. 2: 1015. 1753. 
wfo-0000760989,Aponogeton natans (L.) Engl. & K.Krause,Pflanzenr. Aponogetonac. 11. 1906. 
wfo-0000761017,Aponogeton undulatus Roxb. ,Fl. Ind. 2: 211. 1832. 
wfo-0000770185,Triglochin maritima L.,Sp. Pl. 1: 339. 1753. 
wfo-0000770196,Triglochin palustris L.,Sp. Pl. 1: 338. 1753. 
wfo-0000769780,Potamogeton crispus L.,Sp. Pl. 1: 126. 1753. 
wfo-0000769797,Potamogeton distinctus A.Benn,J. Bot. 42: 72. 1904.
wfo-0000769883,Potamogeton lucens L.,Sp. Pl. 1: 126. 1753. 
wfo-0000769905,Potamogeton natans L.,Sp. Pl. 1: 126. 1753. 
