WFOID,Vernacular_name,LocalID,scientificName,transliteration,Devnagari (preeti),Devnagari (unicode),Language,countryCode,rights,license,bibliographicCitation,compiler
wfo-0001094092,"Thulo pipla, Lamo pipla (ठूलो पिप्ला, लामो पिप्ला )",NEP00101,Piper boehmeriifolium (Miq.) Wall. ex C.DC.,"Thulo pipla, Lamo pipla","7""nf] lkKnf, nfdf] lkKnf ","ठूलो पिप्ला, लामो पिप्ला ",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000486013,"Pipla, Gaj pipla (पिप्ला, गज पिप्ला )",NEP00104,Piper longum L.,"Pipla, Gaj pipla","lkKnf, uh lkKnf ","पिप्ला, गज पिप्ला ",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001094058,Pahadi pan (पहाडी पान ),NEP00105,Piper mullesua Buch.-Ham. ex D.Don,Pahadi pan,kxf8L kfg ,पहाडी पान ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000486372,Ban pipla (वन पिप्ला ),NEP00109,Piper peepuloides Roxb.,Ban pipla,jg lkKnf ,वन पिप्ला ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001094083,Tang: Chepang (टाङ्ग),NEP00115,Piper wallichii (Miq.) Hand.-Mazz.,Tang: Chepang,6fË,टाङ्ग,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000547854,"Ishwari, Shivalingi, Bhainsi lahara (ईश्वरी, शिवलिङ्गी, भैँसी लहरा)",NEP00121,Aristolochia griffithii Hook.f. & Thomson ex Duch.,"Ishwari, Shivalingi, Bhainsi lahara","O{Zj/L, lzjlnª\uL, e}F;L nx/f","ईश्वरी, शिवलिङ्गी, भैँसी लहरा",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000548243,Bhainsi lahara (भैँसी लहरा),NEP00128,Aristolochia punjabensis Lace,Bhainsi lahara,e}F;L nx/f,भैँसी लहरा,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000724865,"Ban supari, Ramguwa, Runche pat (वन सुपारी, रामगुवा, रुन्चे पात)",NEP00135,Horsfieldia kingii (Hook.f.) Warb.,"Ban supari, Ramguwa, Runche pat","jg ;'kf/L, /fdu'jf, ?Gr] kft","वन सुपारी, रामगुवा, रुन्चे पात",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001285885,Rato bhalayo (रातो भलायो ),NEP00137,Knema tenuinervia W.J de Wilde,Rato bhalayo,/ftf] enfof] ,रातो भलायो ,Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000233034,"Purbeli chanp, Ghoge chanp (पुर्बेली चाँप, घोगे चाँप)",NEP00138,Magnolia campbellii Hook.f. & Thomson,"Purbeli chanp, Ghoge chanp","k'a]{nL rfFk, 3f]u] rfFk","पुर्बेली चाँप, घोगे चाँप",Nepalese,NP,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
