WFO_ID,Country,distribution,TaxonName,namepublishedin,rights,license,bibliographicCitation,compiler
wfo-0000376429,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia, SE Asia, N Asia, C Asia, Europe, Africa and N America.",Monotropa hypopitys L. ,Sp. Pl. 1: 387. 1753. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000376457,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and N America.",Monotropa uniflora L. ,Sp. Pl. 1: 387. 1753. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000376446,NP,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",Monotropastrum humile (D.Don) H.Hara ,"J. Jap. Bot. 36(3): 78, f. 1961.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001048353,NP,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia. ",Pieris formosa (Wall.) D.Don ,Edinburgh New Philos. J. 17(33): 159. 183.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001128939,NP,"Nepal, E Himalaya, E Asia, N Asia, C Asia, Europe and N America.",Pyrola asarifolia Michx.,Fl. Bor.-Amer. 1: 251. 1803.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001229596,NP,Nepal and E Himalaya.,Rhododendron aeruginosum Hook.f.,Rhododendr. Sikkim-Himalaya 3: t. 22. 1851.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-1200001285,NP,"Nepal, E Himalaya, Tibetan Plateau and Assam-Burma. ",Rhododendron anthopogon D.Don ,Mem. Wern. Nat. Soc. 3: 409. 1821.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001250623,NP,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau.",Rhododendron anthopogon subsp. hypenanthum (Balf.f.) Cullen,Notes Roy. Bot. Gard. Edinburgh 37(2): 327. 1979. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001229498,NP,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and Assam-Burma. ",Rhododendron arboreum Sm. ,"Exot. Bot. 1: 9, pl. 6. 1805.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001275654,NP,"Nepal, E Himalaya and Tibetan Plateau.",Rhododendron arboreum Sm. var. cinnamomeum (Wall. ex G.Don) Lindl. ,Edwards's Bot. Reg. 23: pl. 1982. 1837. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001229499,NP,"Nepal, E Himalaya and Tibetan Plateau.",Rhododendron arboreum var. roseum Lindl. ,Edwards's Bot. Reg. 15: pl. 1240. 1829.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001229605,NP,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau. ",Rhododendron barbatum Wall. ex G.Don,Gen. Syst. 3: 844. 1834.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001323181,NP,Nepal and W Himalaya,Rhododendron barbatum f. imberbe (Hutch.) H.Hara,Enum. Fl. Pl. Nepal 3: 57. 1982.,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001230701,NP,"Nepal, E Himalaya and Tibetan Plateau.",Rhododendron camelliiflorum Hook.f. ,Rhododendr. Sikkim-Himalaya pl. 28 & 4932. 1851. ,https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
