WFO_ID,Vernacular,Devnagari,Transliteration,ScientificName,NamepublishedIn
wfo-0000185017,"ठेकी काठ, फलेदो  (Theki kath, Faledo)","ठेकी काठ, फलेदो ","Theki kath, Faledo",,
wfo-0000185018,फलेदो  (Faledo),फलेदो ,Faledo,,
wfo-0000185019,"मँदर, फुलिधा  (Mander, Fulidha)","मँदर, फुलिधा ","Mander, Fulidha",,
wfo-0000194835,भट्टे  (Bhatte),भट्टे ,Bhatte,,
wfo-0000194840,"भट्वासी, भटमासे  (Bhatwasee, Bhatmase)","भट्वासी, भटमासे ","Bhatwasee, Bhatmase",,
wfo-0000198121,तेँदु  (Tendu),तेँदु ,Tendu,,
wfo-0001057147,"भटमासे, गहते  (Bhatmase, Gahate)","भटमासे, गहते ","Bhatmase, Gahate",,
wfo-1200027101,"गहते, साखिनो झार  (Gahate, Sakhino jhar)","गहते, साखिनो झार ","Gahate, Sakhino jhar",,
wfo-0001423675,"बुट्टे कनिके, मोतोइ  (Butte kanike, Motoi)","बुट्टे कनिके, मोतोइ ","Butte kanike, Motoi",,
wfo-0001429040,"करौँजी, बोेक्सी काँडा  (Karaunjee, Boksi kanda)","करौँजी, बोेक्सी काँडा ","Karaunjee, Boksi kanda",,
wfo-0000205450,गहरे घाँस  (Gahare ghans),गहरे घाँस ,Gahare ghans,,
wfo-0000205184,"साकिनो, साखिनो  (Sakino, Sakhino)","साकिनो, साखिनो ","Sakino, Sakhino",,
wfo-0000186813,"फुस्रे घाँस, रातो मिर्मिरे  (Fusre ghans, Rato mirmire)","फुस्रे घाँस, रातो मिर्मिरे ","Fusre ghans, Rato mirmire",,
wfo-0000197599,साखिनिया  (Sakhiniya),साखिनिया ,Sakhiniya,,
wfo-0000200250,"फुस्रे घाँस, दुसी स्वाँ  (Fusre ghans, Dusi swan: Newari)","फुस्रे घाँस, दुसी स्वाँ ","Fusre ghans, Dusi swan: Newari",,
wfo-0000205185,"रोइरो, मसिनो साकिनो  (Roiro, Masino sakino)","रोइरो, मसिनो साकिनो ","Roiro, Masino sakino",,
wfo-0000186748,"साकिनो, साखिनो  (Sakino, Sakhino)","साकिनो, साखिनो ","Sakino, Sakhino",,
wfo-0000193231,"कफाली, हात्ती पाइले  (Kaphali, Hatti paile)","कफाली, हात्ती पाइले ","Kaphali, Hatti paile",,
wfo-0000212673,"वन खेसरी, जङ्गली केराउ  (Ban khesari, Jangali kerau)","वन खेसरी, जङ्गली केराउ ","Ban khesari, Jangali kerau",,
wfo-0000212703,खेसरी  (Khesari),खेसरी ,Khesari,,
wfo-1200001799,बुट्टे कनिके  (Butte kanike),बुट्टे कनिके ,Butte kanike,,
wfo-0001426078,"बुट्टे कनिके, भमरे फूल  (Butte kanike, Bhamare phool)","बुट्टे कनिके, भमरे फूल ","Butte kanike, Bhamare phool",,
wfo-0000185067,भैँसाइनो  (Bhainsaino),भैँसाइनो ,Bhainsaino,,
wfo-0000204766,भैँसाइनो  (Bhainsaino),भैँसाइनो ,Bhainsaino,,
wfo-0000164084,सेतो बबुल  (Seto babul),सेतो बबुल ,Seto babul,,
wfo-0001061412,नखर सिम्बी (Nakhar simbi),नखर सिम्बी,Nakhar simbi,,
wfo-0000213426,"भिरिन साग, कोटे मान्द्रो  (Bhirin sag, Kote mandro)","भिरिन साग, कोटे मान्द्रो ","Bhirin sag, Kote mandro",,
wfo-0000213454,"पहेँलो प्याउली, मेथ्या  (Pahenlo pyauli, Methya)","पहेँलो प्याउली, मेथ्या ","Pahenlo pyauli, Methya",,
wfo-0000212815,"मेथी घाँस, मेथी झार  (Methi ghans, Methi jhar)","मेथी घाँस, मेथी झार ","Methi ghans, Methi jhar",,
wfo-0000185378,"मेथी घाँस, मेथी झार  (Methi ghans, Methi jhar)","मेथी घाँस, मेथी झार ","Methi ghans, Methi jhar",,
wfo-0000169612,बोेक्सी काँडा  (Boksi kanda),बोेक्सी काँडा ,Boksi kanda,,
wfo-0001055387,गाउजो  (Gaujo),गाउजो ,Gaujo,,
wfo-0001055388,टाटरी  (Tatari),टाटरी ,Tatari,,
wfo-0000185902,"कुखुरे विष, काकुष विष  (Kukhure bish, Kakush bish)","कुखुरे विष, काकुष विष ","Kukhure bish, Kakush bish",,
wfo-0000206856,करेँगी  (Karengi),करेँगी ,Karengi,,
wfo-0000193454,"अरकाँडे, ठूलो लज्जावती झार  (Arkande, Thulo lajjawati jhar)","अरकाँडे, ठूलो लज्जावती झार ","Arkande, Thulo lajjawati jhar",,
wfo-0000188786,"बोेक्सी घाँस, अरेली काँडा  (Boksi ghans, Areli kanda)","बोेक्सी घाँस, अरेली काँडा ","Boksi ghans, Areli kanda",,
wfo-0000165372,"लज्जावती, बुहारी झार  (Lajjawati, Buhari jhar)","लज्जावती, बुहारी झार ","Lajjawati, Buhari jhar",,
wfo-0001346774,बाख्रे लहरा  (Bakhre lahara),बाख्रे लहरा ,Bakhre lahara,,
wfo-0000186206,बलदेँग्रा  (Baldengra),बलदेँग्रा ,Baldengra,,
wfo-0000203935,काउसो  (Kauso),काउसो ,Kauso,,
wfo-0000182545,काउसे सिमी  (Kause simi),काउसे सिमी ,Kause simi,,
wfo-0001447382,"बिराली लहरो, बिडारी लहरो  (Birali laharo, Bidari laharo)","बिराली लहरो, बिडारी लहरो ","Birali laharo, Bidari laharo",,
wfo-0001333377,"भट्टे, वन भाँट  (Bhatte, Ban bhant)","भट्टे, वन भाँट ","Bhatte, Ban bhant",,
wfo-0001333375,"भटमासे फूल, बाख्रे घाँस  (Bhatmase phul, Bakhre ghans)","भटमासे फूल, बाख्रे घाँस ","Bhatmase phul, Bakhre ghans",,
wfo-0000205050,से–कर  (Se-kar: Tibetan),से–कर ,Se-kar: Tibetan,,
wfo-0000212932,"चेम्गी फूल, जङ्गली बदामे झार  (Chemgi phul, Jangali badame jhar)","चेम्गी फूल, जङ्गली बदामे झार ","Chemgi phul, Jangali badame jhar",,
wfo-0000186828,"भोर्ला, मालु्  (Bhorla, Malu)","भोर्ला, मालु् ","Bhorla, Malu",,
wfo-0000186274,"एकता झार, भट्टे  (Ekta jhar, Bhatte)","एकता झार, भट्टे ","Ekta jhar, Bhatte",,
wfo-0001279739,से–कर  (Se-kar: Tibetan),से–कर ,Se-kar: Tibetan,,
wfo-0000170380,अमिल टाँकी  (Amil tanki),अमिल टाँकी ,Amil tanki,,
wfo-0001058099,सुगा फूल  (Suga phul),सुगा फूल ,Suga phul,,
wfo-0000170608,"वन गहत, शलपार्णी  (Ban gahat, Shalparnee)","वन गहत, शलपार्णी ","Ban gahat, Shalparnee",,
wfo-0001448611,मोतोइ  (Motoi),मोतोइ ,Motoi,,
wfo-0000185089,बिजय साल  (Bijay sal),बिजय साल ,Bijay sal,,
wfo-0000198133,वन भाटा  (Ban bhata),वन भाटा ,Ban bhata,,
wfo-0001337068,अर्खु  (Arkhu),अर्खु ,Arkhu,,
wfo-0001284769,खयर  (Khayer),खयर ,Khayer,,
wfo-0001337072,अर्खु  (Arkhu),अर्खु ,Arkhu,,
wfo-0001335076,"अर्खु, अर्फु, अरारे (Arkhu, Arphu, Arare)","अर्खु, अर्फु, अरारे","Arkhu, Arphu, Arare",,
wfo-0001050772,"सिकाकाई, अरारे  (Sikakaee, Arare)","सिकाकाई, अरारे ","Sikakaee, Arare",,
wfo-0001055947,छिन् छिने विष  (Chhin chhine bish),छिन् छिने विष ,Chhin chhine bish,,
wfo-0000164430,"कसौडी, ताप्रे, चकमके  (Kasaudi, Tapre, Chakmake)","कसौडी, ताप्रे, चकमके ","Kasaudi, Tapre, Chakmake",,
wfo-0000164857,ताप्रे  (Tapre),ताप्रे ,Tapre,,
