WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,Volume,Part,bibliographicCitation,license,rights,URI
wfo-0000549829,"Moist evergreen forests, 100–500 m alt. Flowering: April–July; fruiting: June–August.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549829,16,1,"Artabotrys oxycarpus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 47. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08278
wfo-0000549840,"Moist evergreen forests, 50–200 m alt. Flowering: May–August; fruiting: June–September.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549840,16,1,"Artabotrys pleurocarpus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 49. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08279
wfo-0000549844,"Lower montane evergreen forests, 900–1,700 m alt. Flowering: April–May; fruiting: September–December.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549844,16,1,"Artabotrys punctulatus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 49. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08280
wfo-0000549858,"Dry/mixed deciduous forests and seasonal evergreen forests, 50–800 m alt. Flowering: January–April; fruiting: March–August.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549858,16,1,"Artabotrys siamensis . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 51. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08281
wfo-1000003204,"Evergreen moist forests in karst habitats, 100–150 m alt. Flowering: March; fruiting: March.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-1000003204,16,1,"Artabotrys spathulatus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 52. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08282
wfo-0000549860,"Riparian plant communities, 100–300 m alt. Flowering: January–May; fruiting: March–June.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549860,16,1,"Artabotrys spinosus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 52. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08283
wfo-0000549866,"Moist evergreen forests and peat swamp forests, 50–500 m alt. Flowering: April–September, December–January; fruiting: February, April–September.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549866,16,1,"Artabotrys suaveolens . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 53. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08284
wfo-1000003205,"Evergreen moist forests on lateritic soil, 150–1,000 m alt. Flowering: February, August; fruiting: August, October.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-1000003205,16,1,"Artabotrys tanaosriensis . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 54. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08285
wfo-0001345517,"Lowland rain forests, 100–200 m alt. Flowering: April–May, October–December; fruiting: August.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0001345517,16,1,"Artabotrys tipuliferus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 54. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08286
wfo-0000549878,"Moist evergreen forests and dry deciduous forests, sometimes in karst habitats, 80–450 m alt. Flowering: November–March; fruiting: December–July.",ecology,EN,D.M. Johnson et al.,,Forest Herbarium,2024-06-07,Rachun Pooma & Sawita Yooprasert,ref-THA-0000549878,16,1,"Artabotrys uniflorus . Flora of Thailand. Vol. 16. Part 1, 2022. Pg. 55. Accessed 2024-06-07",All rights reserved,Forest Herbarium,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=08287
