"taxonID","locality","localityType","distributionText"
"taxon-1a-alata","Guianas","region","Distribution: A native of eastern and southern Africa , cultivated as ornamental and naturalized as ruderal throughout tropical America ; 126 collections studied of which 13 from the Guianas (GU: 7; SU: 6)."
"taxon-1b-alata","Guyana","country","Distribution: Guyana , Suriname ."
"taxon-1b-alata","Suriname","country","Distribution: Guyana , Suriname ."
"taxon-2-Thunbergia_erecta","tropical Africa","continental region","Distribution: Native of tropical Africa , often planted as ornamental in tropical America ; 11 collections studied of which 1 from Guyana : Georgetown, Warren s.n. (1924) (US)."
"taxon-2-Thunbergia_erecta","tropical America","continental region","Distribution: Native of tropical Africa , often planted as ornamental in tropical America ; 11 collections studied of which 1 from Guyana : Georgetown, Warren s.n. (1924) (US)."
"taxon-2-Thunbergia_erecta","Guyana","country","Distribution: Native of tropical Africa , often planted as ornamental in tropical America ; 11 collections studied of which 1 from Guyana : Georgetown, Warren s.n. (1924) (US)."
"taxon-3-Thunbergia_fragrans","India","country","Distribution: Native of India , widely cultivated as ornamental and naturalized in the American tropics ; in disturbed habitats in tropical regions throughout most parts of the world; 59 collections studied of which 14 from the Guianas (GU: 1; SU: 13)."
"taxon-3-Thunbergia_fragrans","American tropics","continental region","Distribution: Native of India , widely cultivated as ornamental and naturalized in the American tropics ; in disturbed habitats in tropical regions throughout most parts of the world; 59 collections studied of which 14 from the Guianas (GU: 1; SU: 13)."
"taxon-3-Thunbergia_fragrans","Guianas","region","Distribution: Native of India , widely cultivated as ornamental and naturalized in the American tropics ; in disturbed habitats in tropical regions throughout most parts of the world; 59 collections studied of which 14 from the Guianas (GU: 1; SU: 13)."
"taxon-4-Thunbergia_grandiflora","India","country","Distribution: Native of India and southeastern Asia ; gardens, thickets, forests, naturalized in tropical regions throughout many parts of the world; often planted as ornamental in Guyana and Suriname (GU: 2; SU: 1)."
"taxon-4-Thunbergia_grandiflora","southeastern Asia","continental region","Distribution: Native of India and southeastern Asia ; gardens, thickets, forests, naturalized in tropical regions throughout many parts of the world; often planted as ornamental in Guyana and Suriname (GU: 2; SU: 1)."
"taxon-4-Thunbergia_grandiflora","Guyana","country","Distribution: Native of India and southeastern Asia ; gardens, thickets, forests, naturalized in tropical regions throughout many parts of the world; often planted as ornamental in Guyana and Suriname (GU: 2; SU: 1)."
"taxon-4-Thunbergia_grandiflora","Suriname","country","Distribution: Native of India and southeastern Asia ; gardens, thickets, forests, naturalized in tropical regions throughout many parts of the world; often planted as ornamental in Guyana and Suriname (GU: 2; SU: 1)."
"taxon-24-TRICHANTHERA","C America","continental region","Distribution: Ranging from C America southward to Peru and Brazil ; a genus of 2 species and 1 variety found in moist lowland forests, frequently along streams and swampy areas; in the Guianas 1 species and 1 variety."
"taxon-24-TRICHANTHERA","Peru","country","Distribution: Ranging from C America southward to Peru and Brazil ; a genus of 2 species and 1 variety found in moist lowland forests, frequently along streams and swampy areas; in the Guianas 1 species and 1 variety."
"taxon-24-TRICHANTHERA","Brazil","country","Distribution: Ranging from C America southward to Peru and Brazil ; a genus of 2 species and 1 variety found in moist lowland forests, frequently along streams and swampy areas; in the Guianas 1 species and 1 variety."
"taxon-24-TRICHANTHERA","Guianas","region","Distribution: Ranging from C America southward to Peru and Brazil ; a genus of 2 species and 1 variety found in moist lowland forests, frequently along streams and swampy areas; in the Guianas 1 species and 1 variety."
"taxon-1-Trichanthera_gigantea","Guyana","country","Distribution: Guyana , Suriname and Brazil ; 29 collections studied (GU: 13; SU: 16)."
"taxon-1-Trichanthera_gigantea","Suriname","country","Distribution: Guyana , Suriname and Brazil ; 29 collections studied (GU: 13; SU: 16)."
"taxon-1-Trichanthera_gigantea","Brazil","country","Distribution: Guyana , Suriname and Brazil ; 29 collections studied (GU: 13; SU: 16)."
"taxon-Trichanthera_gigantea","Guyana","country","Distribution: Guyana , Suriname and Brazil ; 29 collections studied (GU: 13; SU: 16)."
"taxon-Trichanthera_gigantea","Suriname","country","Distribution: Guyana , Suriname and Brazil ; 29 collections studied (GU: 13; SU: 16)."
"taxon-Trichanthera_gigantea","Brazil","country","Distribution: Guyana , Suriname and Brazil ; 29 collections studied (GU: 13; SU: 16)."
"taxon-159-MENDONCIACEAE","Pantropical","world","Distribution: Pantropical family of 2 genera, Mendoncia with about 50-60 species and Anomacanthus R. Good, a monotypic genus in west-central tropical Africa . The species of Mendoncia are sparingly distributed in tropical western Africa and Madagascar and from southern Mexico to southern Brazil ; 6 species occur in the Guianas ."
"taxon-159-MENDONCIACEAE","west-central tropical Africa","continental region","Distribution: Pantropical family of 2 genera, Mendoncia with about 50-60 species and Anomacanthus R. Good, a monotypic genus in west-central tropical Africa . The species of Mendoncia are sparingly distributed in tropical western Africa and Madagascar and from southern Mexico to southern Brazil ; 6 species occur in the Guianas ."
"taxon-159-MENDONCIACEAE","tropical western Africa","continent","Distribution: Pantropical family of 2 genera, Mendoncia with about 50-60 species and Anomacanthus R. Good, a monotypic genus in west-central tropical Africa . The species of Mendoncia are sparingly distributed in tropical western Africa and Madagascar and from southern Mexico to southern Brazil ; 6 species occur in the Guianas ."
"taxon-159-MENDONCIACEAE","Madagascar","country","Distribution: Pantropical family of 2 genera, Mendoncia with about 50-60 species and Anomacanthus R. Good, a monotypic genus in west-central tropical Africa . The species of Mendoncia are sparingly distributed in tropical western Africa and Madagascar and from southern Mexico to southern Brazil ; 6 species occur in the Guianas ."
"taxon-159-MENDONCIACEAE","southern Mexico","region","Distribution: Pantropical family of 2 genera, Mendoncia with about 50-60 species and Anomacanthus R. Good, a monotypic genus in west-central tropical Africa . The species of Mendoncia are sparingly distributed in tropical western Africa and Madagascar and from southern Mexico to southern Brazil ; 6 species occur in the Guianas ."
"taxon-159-MENDONCIACEAE","southern Brazil","region","Distribution: Pantropical family of 2 genera, Mendoncia with about 50-60 species and Anomacanthus R. Good, a monotypic genus in west-central tropical Africa . The species of Mendoncia are sparingly distributed in tropical western Africa and Madagascar and from southern Mexico to southern Brazil ; 6 species occur in the Guianas ."
