wfo_ID,Familia,Column1,Nombre,Autor,Pub.,Hábito,Formaciones vegetales,Forma de vida,Link stand alone
wfo-0000034687,Compositae,Centaurea benedicta (L.) L.,Centaurea benedicta, (L.) L.,"Sp. Pl., ed. 2. 2: 1296, 1763.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/centaurea-benedicta
wfo-0000137211,Compositae,Centaurea calcitrapa L.,Centaurea calcitrapa, L.,"Sp. Pl. [Linnaeus] 2: 917, 1753.",Hierba anual o bienal,"Ambientes ruderales, Palmares",Terófita,https://florauruguaya.org/taxonomias/centaurea-calcitrapa
wfo-0000024361,Compositae,Centaurea debeauxii Godr. & Gren.,Centaurea debeauxii, Godr. & Gren.,"Fl. France [Grenier] 2: 243, 1850.",Hierba perenne,Ambientes urbanos,,https://florauruguaya.org/taxonomias/centaurea-debeauxii
wfo-0000005385,Compositae,Centaurea melitensis L.,Centaurea melitensis, L.,"Sp. Pl. [Linnaeus] 2: 917, 1753.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/centaurea-melitensis
wfo-0000035974,Compositae,Centaurea solstitialis L.,Centaurea solstitialis, L.,"Sp. Pl. [Linnaeus] 2: 917, 1753.",Hierba anual o bienal,Ambientes ruderales,Terófita,https://florauruguaya.org/taxonomias/centaurea-solstitialis
wfo-0000076913,Compositae,Chaptalia arechavaletae Hieron.,Chaptalia arechavaletae, Hieron.,"Anales Mus. Nac. Montevideo ser. 2, 1: 14, pl. 6, 1904.",Hierba perenne,"Ambientes ruderales, Ambientes urbanos, Bosques ribereños, Algarrobales, Palmares, Pastizales mesófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chaptalia-arechavaletae
wfo-0000128128,Compositae,Chaptalia exscapa (Pers.) Baker,Chaptalia exscapa, (Pers.) Baker,"Fl. Bras. [Martius] 6(3): 379, 1884.",Hierba perenne,"Algarrobales, Palmares, Pastizales xerófilos, Pastizales mesófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chaptalia-exscapa
wfo-0000070319,Compositae,Chaptalia ignota Burkart,Chaptalia ignota, Burkart,"Physis [Buenos Aires] 11: 102, fig. 2, 1932.",Hierba perenne,Pastizales mesófilos,Hemicriptófita,https://florauruguaya.org/taxonomias/chaptalia-ignota
wfo-0000029782,Compositae,Chaptalia integerrima (Vell.) Burkart,Chaptalia integerrima, (Vell.) Burkart,"Darwiniana 6: 576, 1944.",Hierba perenne,"Matorrales xerófilos, Pastizales xerófilos",Hemicriptófita,https://florauruguaya.org/taxonomias/chaptalia-integerrima
wfo-0000012082,Compositae,Chaptalia mandonii Sch.Bip. ex Burkart,Chaptalia mandonii, Sch.Bip. ex Burkart,"Darwiniana 6(4): 551, 1944.",Hierba perenne,Pastizales xerófilos,Hemicriptófita,https://florauruguaya.org/taxonomias/chaptalia-mandonii
