wfo_ID,Hábito,Familia,Nombre,Autor,Pub.,BibliographicCitation,url
wfo-0000082047,Arbusto,Compositae,Baccharis oxyodonta, DC.,"Prodr. [A. P. de Candolle] 5: 404, 1836.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-oxyodonta
wfo-0000015991,Arbusto,Compositae,Baccharis palustris, Heering,"Jahrb. Hamburg. Wiss. Anst. 21, Beiheft 3: 38, 1904.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-palustris
wfo-0000062536,Arbusto,Compositae,Baccharis patens, Baker in Mart.,"Fl. Bras. [Martius] 6(3): 52, 1882.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-patens
wfo-0000114473,Arbusto,Compositae,Baccharis pedersenii, Cabrera,"Darwiniana 16: 410, 1970.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-pedersenii
wfo-0000032348,Arbusto,Compositae,Baccharis petraea, Heering,"Jahrb. Hamburg. Wiss. Anst. 21, Beiheft 3: 30, 1904.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-petraea
wfo-0000022412,Arbusto,Compositae,Baccharis psiadioides, (Less.) Joch.Müll.,"Syst. Bot. Monogr. 76: 306, 2006.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-psiadioides
wfo-0000038940,Arbusto,Compositae,Baccharis punctulata, DC.,"Prodr. [A. P. de Candolle] 5: 405, 1836.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-punctulata
wfo-0000021197,Arbusto,Compositae,Baccharis sagittalis, DC.,"Prodr. [A. P. de Candolle] 5: 425, 1836.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-sagittalis
wfo-0000121758,Arbusto,Compositae,Baccharis salicifolia, (Ruiz & Pav.) Pers.,"Syn. Pl. [Persoon] 2(2): 425, 1807.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-salicifolia
wfo-0000048360,Arbusto,Compositae,Baccharis spicata, (Lam.) Baill.,"Bull. Mens. Soc. Linn. Paris 1(34): 268, 1880.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-spicata
wfo-0000017238,Arbusto,Compositae,Baccharis tridentata, Vahl,"Symb. Bot. [Vahl] 3: 98, 1794.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-tridentata
wfo-0000068873,Arbusto,Compositae,Baccharis vernicosa, Hook. & Arn.,"J. Bot. [Hooker] 3: 28, 1840.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-vernicosa
wfo-0000062312,Arbusto,Compositae,Baccharis vulneraria, Baker,"Fl. Bras. [Martius] 6(3): 75, 1882.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-vulneraria
wfo-0000024353,Arbusto,Compositae,Baccharis weirii, Baker,"Fl. Bras. [Martius] 6(3): 67, 1882.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/baccharis-weirii
wfo-0000139356,Arbusto,Compositae,Calea kristiniae, Pruski,"Brittonia 36(2): 100, 1984.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/calea-kristiniae
wfo-0000089321,Arbusto,Compositae,Cyrtocymura scorpioides, (Lam.) H.Rob.,"Proc. Biol. Soc. Washington 100(4): 852, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/cyrtocymura-scorpioides
