WFO_ID,Distribution,Country_code,scientificName,Rank,ScientificAuthorship,Family,NamePublishedIn,Catalogue of the Plants of Madagascar record,Citation
wfo-0000249963,Endemic to Madagascar,MG,Neobathiea keraudrenae,species,Toill.-Gen. & Bosser,Orchidaceae,Nat. Malgache 13: 25. 1964. (Naturaliste Malgache) ,http://www.tropicos.org/Name/50036634?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000249965,Endemic to Madagascar,MG,Neobathiea perrieri,species,Schltr.,Orchidaceae,"Repertorium Specierum Novarum Regni Vegetabilis, Beihefte 33: 371. 1925. (Repert. Spec. Nov. Regni Veg. Beih.) ",http://www.tropicos.org/Name/23502565?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000249967,Endemic to Madagascar,MG,Neobathiea spatulata,species,H. Perrier,Orchidaceae,Notulae Systematicae. Herbier du Museum de Paris 7(2): 50–51. 1938. (Notul. Syst. (Paris)) ,http://www.tropicos.org/Name/23502571?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-4000025612,Endemic to Madagascar,MG,Neobeguea,genus,J.-F. Leroy,Meliaceae,JATBA 17: 232. 1970. (J.A.T.B.A.) ,http://www.tropicos.org/Name/40036827?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001083691,Endemic to Madagascar,MG,Neobeguea ankaranensis,species,J.-F. Leroy,Meliaceae,JATBA 17: 232. 1970. (J.A.T.B.A.) ,http://www.tropicos.org/Name/20400855?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001083692,Endemic to Madagascar,MG,Neobeguea leandriana,species,J.-F. Leroy,Meliaceae,"Adansonia: recueil périodique d'observations botanique, n.s. 16(2): 172, Pl. 2. 1976. (Adansonia, n.s.) ",http://www.tropicos.org/Name/20400858?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001083693,Endemic to Madagascar,MG,Neobeguea mahafaliensis,species,J.-F. Leroy,Meliaceae,"Adansonia: recueil périodique d'observations botanique, n.s. 16(2): 172–174, Pl. 3. 1976. (Adansonia, n.s.) ",http://www.tropicos.org/Name/20400859?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000250023,Endemic to Madagascar,MG,Neocussonia bojeri,species,(Seem.) Hutch.,Araliaceae,The Genera of Flowering Plants 2: 79. 1967. (Gen. Fl. Pl.) ,http://www.tropicos.org/Name/50297114?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-4000025705,Endemic to Madagascar,MG,Neoharmsia,genus,R. Vig.,Fabaceae,Notulae Systematicae. Herbier du Museum de Paris 14(3): 186–187. 1951. (Notul. Syst. (Paris)) ,http://www.tropicos.org/Name/40026723?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0001061258,Endemic to Madagascar,MG,Neoharmsia baronii,species,(Drake) R. Vig.,Fabaceae,"Adansonia: recueil périodique d'observations botanique, n.s. 12(1): 150. 1972. (Adansonia, n.s.) ",http://www.tropicos.org/Name/13070105?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
