"referenceID","bibliographicCitation"
"ref--1824775813332207154","Prance, G.T. 2002 Dichapetalaceae S.A. Mori et al. Guide to the Vascular Plants of Central French Guiana. Part 2. Mem. New York Bot. Gard. 76 2 247-249"
"ref-3365548992784942903","Stafleu, F.A. 1951 Dichapetalaceae A.A. Pulle Flora of Suriname 3 2 166-172"
"ref--8541607772716467634","Détienne, P. & J. Jacquet. 1983 Atlas d’identification des bois de l’Amazonie et des régions voisines Centre Technique Forestier Tropical France 348 pp micrographs"
"ref--3864309697081377768","Heimsch, C. 1942 Comparative anatomy of the secondary xylem in the Gruinales and Terebinthales of Wettstein with reference to taxonomic grouping Lilloa 8 83-198"
"ref-7813568932642224532","IAWA Committee. 1989 The IAWA list of microscopic features for hardwood identification IAWA Bull. n.s. 10 219-332"
"ref-8343483499776782673","InsideWood 2004-onwards Published on the Internet http://insidewood/ lib.ncsu.edu/search"
"ref--1427615614503987399","Lens, F., S. Jansen, P. Caris, L. Serlet & E. Smets. 2005 Comparative wood anatomy of the primuloid clade (Ericales s.l.) Syst. Bot. 30 163-183"
"ref-1625296061331105039","Record, S.J. & R.W. Hess. 1936 Identification of woods with conspicuous rays Trop. Woods 48 1-30"
"ref--3978956435261177786","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven 640 pp"
"ref--8359646886706797621","Vliet, G.L.C.M. van 1976 Radial vessels in rays IAWA Bull. 3 35-37"
"ref-8809757842094723925","Lemée Fl. Guyan. Franç. 1 77 1955"
"ref--3918070785274954635","Aublet Hist. Pl. Guiane 1 323 1775"
"ref-252309872482136295","Haynes, R.R. & L.B. Holm-Nielsen. 1992 The Limnocharitaceae Flora Neotropica 56 1-34"
"ref--2628580852481648415","Haynes, R.R. & L.B. Holm-Nielsen. 2001 Limnocharitaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 6 17-18"
"ref-2941610963921263846","Holm-Nielsen, L.B. & R.R. Haynes. 1986 192. Limnocharitaceae G. Harling & B. Sparre Flora of Ecuador 26 25-34"
"ref--308142975101451277","Jonker, F.P. 1943 Butomaceae A. Pulle Flora of Suriname 1 1 483-485"
"ref-8868934833031683962","Agostini, G. 1974 Taxonomic bibliography for the neotropical flora: Alismataceae Acta Bot. Venez. 9 269-272"
"ref-4064972099516781980","Bogin, C. 1955 Revision of the genus Sagittaria (Alismataceae) Mem. New York Bot. Gard. 9 179-233"
"ref--4441504772593173710","Haynes, R.R. & L.B. Holm-Nielsen. 1994 The Alismataceae Flora Neotropica 64 1-112"
"ref--4061754025193667349","Haynes, R.R. & L.B. Holm-Nielsen. 1995 Alismataceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 2 377-383"
"ref-7996940568652237122","Holm-Nielsen, L.B. & R.R. Haynes. 1986 191. Alismataceae G. Harling & B. Sparre Flora of Ecuador 26 1-24"
"ref-8035313183433009856","Jonker, F.P. 1943 Alismataceae A. Pulle Flora of Suriname 1 1 472-482"
"ref-3756217252614739082","Jonker, F.P. 1968 Alismataceae A. Pulle & J. Lanjouw Flora of Suriname, additions and corrections 1 2 378-379"
"ref-4129111365193275007","Rataj, K. 1967 Echinodorus intermedius (Martius) Grisebach und verwandte Arten des tropischen Amerika Mitt. Bot. Staatssaml. München 6 613-619"
"ref-1762380084144228922","Rataj, K. 1971 The taxonomy of Echinodorus palaefolius (Nees & Mart.) Macbr. (Alismataceae) and related species from Mexico, Central and South America Preslia 43 10-16"
"ref--5182752969699847917","Rataj, K. 1972 Revision of the genus Sagittaria. Part II. (The species of West Indies, Central and South America). Annot. Zool. Bot. 78 61 pp"
"ref--308998965578375697","Rataj, K. 1975 Revizion [sic] of the genus Echinodorus Rich. Stud. Českoslov. Akad. Ved 2 155 pp"
