wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000464888,2011538,191876,Magnolia koordersiana,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,koordersiana,,,,(Noot.) Figlar,Data Deficient,,3.1,Unknown,Global
wfo-0000233339,2011692,191878,Magnolia philippinensis,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,philippinensis,,,,P.Parm.,Data Deficient,,3.1,Unknown,Global
wfo-0000807038,2011834,191880,Magnolia utilis,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,utilis,,,,(Dandy) V.S.Kumar,Data Deficient,,3.1,Unknown,Global
wfo-0000396667,2013469,191897,Parashorea buchananii,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,DIPTEROCARPACEAE,Parashorea,buchananii,,,,(C.E.C.Fisch.) Symington,Data Deficient,,3.1,Decreasing,Global
wfo-0000423168,2013476,191898,Vatica chevalieri,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,DIPTEROCARPACEAE,Vatica,chevalieri,,,,(Gagnep.) Smitinand,Data Deficient,,3.1,Unknown,Global
wfo-0000514547,2284594,193833,Acer miaoshanicum,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Acer,miaoshanicum,,,,W.P.Fang,Data Deficient,,3.1,Unknown,Global
wfo-0000514877,2286098,193852,Acer pilosum,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Acer,pilosum,,,,Maxim.,Data Deficient,,3.1,Unknown,Global
wfo-0000515258,2286191,193854,Acer turkestanicum,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Acer,turkestanicum,,,,Pax,Data Deficient,,3.1,Unknown,Global
wfo-0000515310,2289414,193890,Acer yinkunii,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,SAPINDACEAE,Acer,yinkunii,,,,W.P.Fang,Data Deficient,,3.1,Unknown,Global
wfo-0000232998,2290235,193904,Magnolia ashtonii,PLANTAE,TRACHEOPHYTA,MAGNOLIALES,MAGNOLIOPSIDA,MAGNOLIACEAE,Magnolia,ashtonii,,,,Dandy ex Noot.,Data Deficient,,3.1,Decreasing,Global
