"wfo_id","description","source","bibliographicCitation","URL"
"wfo-4000036088","Six pantropical species.","7FB11DB3-A28A-4BD1-972F-616284EA37A6","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30003557-2#descriptions"
"wfo-4000037907","Probably some 60 species, of which about 40 are South African, the rest mostly Australasian and in western South America; 2 or 3 species in Somaliland and Socotra","EBA074FC-4C4F-4EF5-B0F4-C73D20FC42E5","Aïzoaceae, C. Jeffrey. Flora of Tropical East Africa. 1961","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:16364-1#descriptions"
"wfo-4000038531","About 20 species, mainly in the Mediterranean region and the Macaronesian Islands.","83DF066F-58C9-41E0-8AEE-C0B27C9B28C9","Compositae, H. Beentje, C. Jeffrey & D.J.N. Hind. Flora of Tropical East Africa. 2005","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:11319-1#descriptions"
"wfo-4000040400","An Old World genus of 12 species, 7 in Africa and 5 in SE Asia.","22AB7637-D5EA-47E5-A639-601F6C639328","Apocynaceae, E.A. Omino. Flora of Tropical East Africa. 2002","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:2620-1#descriptions"
"wfo-7000000050","Family represented by the genus Asparagus with two subgenera, subgenus &gt;i&gt;Asparagus and subgenus &gt;i&gt;Myrsiphyllum (S.T. Malcomber & Sebsebe Demissew in Kew Bull. 48(1): 63– 78 (1993)). The members are widely distributed in the old world. Most species are found in arid tropical regions and Mediterranean climates","14A65660-A342-486C-B392-3FD3ABFBCF06","Asparagaceae, Sebsebe Demissew. Flora of Tropical East Africa. 2006","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30275682-2#descriptions"
"wfo-7000000093","A small family, confined to the tropics or subtropics except for Butomus L. which extends across Europe and Asia. The following genus is the only one which occurs in Africa","5DCB4DC6-4988-4BDA-B1D9-2B352FA52459","Butomaceae, Susan Carter. Flora of Tropical East Africa. 1960","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77126756-1#descriptions"
"wfo-7000000098","A large, almost exclusively American family, several of whose members are grown as ornamentals in East Africa. The epiphytic genus &gt;i&gt;Rhipsalis is sometimes considered to be indigenous in Africa, and a number of &gt;i&gt;Opuntia species have become widely naturalized","7D2C18C0-8602-485A-858A-9ABD11DC64C2","Cactaceae, R. Hunt. Flora of Tropical East Africa. 1968","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30000028-2#descriptions"
"wfo-7000000109","A family of only 2 genera occurring naturally in the temperate parts of the northern hemisphere, formerly included in either Urticaceae or &gt;i&gt;Moraceae. The number of species is in dispute; &gt;i&gt;Cannabis is usually considered to be monotypic but a second species &gt;i&gt;C. ruderalis Janisch has been described; &gt;i&gt;Humulus is usually considered to contain 2 species although 3–4 have been claimed. Although small the family is of considerable economic importance, &gt;i&gt;Humulus being used to flavour beer and &gt;i&gt;Cannabis to produce the fibre hemp and the drug variously known as bhang, dagga, hashish, pot, marijuana and Indian hemp. A very full account of the family and generic characteristics, together with an extensive bibliography, is given by N. G. Miller (Journ. Arn. Arb. 51: 185–203 (1970))","1B77A25A-3C1D-4105-85E4-85881BD9198C","Cannabaceae, B. Verdcourt. Flora of Tropical East Africa. 1975","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77126717-1#descriptions"
"wfo-7000000111","A medium-sized family of the tropics and subtropics, well represented in Africa and forming a conspicuous element of the dry-country flora","E21F3380-2E05-448E-A352-6378A2371304","Capparidaceae, J. Elffers, R. A. Graham And G. P. Dewolf. Flora of Tropical East Africa. 1964","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30001562-2#descriptions"
"wfo-7000000127","A worldwide family of one genus only","0DC3CB78-3EB4-4D9E-A830-1D45A7155DA2","Ceratophyllaceae, C.M. Wilmot-Dear. Flora of Tropical East Africa. 1985","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77126579-1#descriptions"
"wfo-7000000149","This is an extremely natural family and the genera are therefore difficult to limit satisfactorily. I have followed the classification used by van Ooststroom (Flora Malesiana, ser. 1, 4 (4) : 388–512 (1953)) with but few changes. It seems best to do this rather than to attempt to classify the family on different lines from a knowledge of the African genera alone. The original arrangement which is due to Hans Hallier has the drawback of using a pollen-character. In the key which follows, the obligatory use of this character, which is not really difficult to observe, has been left until near the end. It is helpful to remember that genera 1–15 have smooth pollen and the rest have spinous pollen","B9FB6522-0557-437F-80A8-A36FDA5FCDFC","Convolvulaceae, B. Verdcourt (East African Herbarium). Flora of Tropical East Africa. 1963","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30000547-2#descriptions"
"wfo-7000000376","A family of 5 genera and ± 40 SPECIES with a cosmopolitan distribution. A single genus is found in tropical Africa. The family is sometimes included within Gentianaceae, but significant differences have been found and in Cronquist’ s classification (Evol. & Class. Fl. Pl., ed. 2 (1988)) it is included within the Solanales rather than the Gentianales","56717C8B-6F9B-4981-919C-1777D02CBFBC","Menyanthaceae, Christopher Whitehouse. Flora of Tropical East Africa. 1996","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77126679-1#descriptions"
"wfo-7000000488","A world-wide family, most abundant in temperate regions Two genera are confined to Africa and Madagascar","A56A284D-BAD0-4D71-BC5F-102D32BF0B32","Polygonaceae, R. A. Graham. Flora of Tropical East Africa. 1958","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30000532-2#descriptions"
"wfo-7000000503","As constituted here the family contains 5 genera spread throughout the tropics and warm temperate areas. Tryon and Kramer in Kubitzki, Fam. Gen. Fl. Pl. 1: 230 (1990) maintain Pteridaceae as a much larger unit with 6 subfamilies and 34 genera. See also Pichi Sermolli in Webbia 31: 393–395 (1972)","064462EA-55EB-471E-B3F9-FC0A3B808827","Pteridaceae, Bernard Verdcourt. Flora of Tropical East Africa. 2002","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:30001654-2#descriptions"
"wfo-7000000630","About 14 genera and 120 species, mostly tropical and north temperate The family is rather poorly represented in Africa, but the species which do occur are mostly widespread across the continent","9A355CCE-A9FF-4C1B-9178-B62016661A7F","Ulmaceae, R. M. Polhill. Flora of Tropical East Africa. 1966","http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:77126716-1#descriptions"
