Volume,Part,type,description,bibliographicCitation,WFOID,language,contributor,audience,rightsHolder,created,creator,source,rights,license,URI
5,3,ecology,"In dry evergreen forest, mixed deciduous forest, dry dipterocarp forest, open scrub jungle and on limestone hills; alt. 0–400 m. Flowering December–March; fruiting February–April.","Maerua siamensis. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 266. Accessed 2021-07-31",wfo-0000375794,EN,K. Chayamarit,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000375794,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01383
5,3,ecology,In waste places around villages and towns; more widespread than the few herbarium collections indicate.,"Mirabilis jalapa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 370. Accessed 2021-07-31",wfo-0000448428,EN,K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000448428,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01500
5,3,ecology,"In deciduous forest, locally common, and scrub; at low altitudes. Flowering January–March; fruiting March–April.","Pachygone dasycarpa. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 356. Accessed 2021-07-31",wfo-0000473699,EN,L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000473699,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01484
5,3,ecology,"In evergreen forests, locally common along river banks and on limestone rocks; at low altitudes.","Pachygone odorifera. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 358. Accessed 2021-07-31",wfo-0000473690,EN,L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000473690,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01485
5,3,ecology,"In forests, especially in open clearings, and in scrub, locally common; up to 1250 m alt. Flowering in most months; fruiting in April–July.","Pericampylus glaucus. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 351. Accessed 2021-07-31",wfo-0001228232,EN,L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001228232,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01478
5,3,ecology,"Often restricted to coastal areas and along forest margins, often forming dense thickets; usually not found above 500 m alt.","Pisonia aculeata. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 367. Accessed 2021-07-31",wfo-0000476234,EN,K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000476234,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01496
5,3,ecology,Mostly growing along coasts and riverbanks on sandy-clayey soil.,"Pisonia umbellifera. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 369. Accessed 2021-07-31",wfo-0001086710,EN,K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001086710,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01497
5,3,ecology,"In evergreen forests at low altitudes, on limestone (Krabi); in mixed deciduous forest (Kanchanaburi). ","Pycnarrhena lucida. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 342. Accessed 2021-07-31",wfo-0001238604,EN,L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001238604,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01466
5,3,ecology,Secondary growth; at 500 m alt.,"Pycnarrhena poilanei . Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 340. Accessed 2021-07-31",wfo-0001238606,EN,L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0001238606,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01465
5,3,ecology,On limestone; at ca 1400 m.,"Sinomenium acutum cinereum. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 359. Accessed 2021-07-31",wfo-0000507971,EN,L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000507971,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=01488
5,3,ecology,"In evergreen forests, sometimes along a streams; at 400–1200 m alt.","Stephania brevipes. Flora of Thailand. Vol. 5. Part 3, 1991. Pg. 319. Accessed 2021-07-31",wfo-0000505185,EN,L.L. Forman,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000505185,Forest Herbarium,All rights reserved,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01435
