taxonID,description,type,source,language,created,contributor,audience,license,rightsHolder,rights,
wfo-0000371210,ranges from British Honduras and Guatemala as far south as Bolivia.,distribution,5D8AFC9C-0EDF-4627-B90B-BAEADE7FEA20,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000371307,Costa Rica and Panama.,distribution,7965D88C-6A49-4F13-A18C-691EA82C09E2,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000379845,"ranges from Mexico, Central America, and the West Indies to northern South America and the Old World Tropics.",distribution,99B9CBB1-080C-4F2A-97D9-26A8555215D2,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001044508,Colombia and Panama.,distribution,D3A9BC4A-E2D5-4AB4-B412-395DEFADD421,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001044511,Costa Rica and adjacent Panama.,distribution,DA582AA6-B122-4F5D-9F09-567F76D10941,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001044513,Panama and Costa Rica.,distribution,75F70230-DB75-4AAB-B034-29013266ED05,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000401135,"Nicaragua, Costa Rica and Panama.",distribution,B7068332-3134-40FA-B893-2CA9BEECDE73,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000406432,ranges from Panama to Colombia and Venezuela.,distribution,3ECB8CA4-3849-4688-B3F9-7CE53E44E0CF,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000401059,"ranges through Mexico, Central America, Colombia and Brazil.",distribution,CCC120E7-A21E-437F-87D5-80D7135B4DA2,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001044517,Costa Rica and Panama.,distribution,A5C347F8-2A77-4DA8-8886-E72A88F0D014,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000433635,occurs in Colombia and Peru.,distribution,23415CC0-8E4E-4253-A468-C55CEDD0F343,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001044518,Panama,distribution,B1861C0D-8670-4A4C-B1C9-023E2C193146,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0001044519,Panama and Costa Rica.,distribution,67805EA4-3F26-4D28-8E99-18C128DA1C64,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000406386,"Costa Rica, Panama and Colombia",distribution,7D355551-E2CD-48E7-A9EA-249EF3EFDFCE,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000566495,"eastern and southern Mexico, Central America, the West Indies, South America, and also in Guam, Formosa, and the Philippine and Caroline Islands.",distribution,7275E573-1922-409C-8C18-933D2679DD6B,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000537946,Known only from Panama.,distribution,F95B5CFD-6F36-42F2-A4C1-9C370B4B5B68,English,2013-02-07,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000385243,Mexico and Central America.,distribution,39F8D2B3-52F2-437A-B0FF-DE612172FF06,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000371024,"Panama as well as Colombia, the Guianas, Peru and Bolivia.",distribution,91394DDC-4608-49EB-B89B-A3048238C01F,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000530192,"Reputedly the common weed amaranth of the Caribbean, this species extends from Mexico through tropical South America and is adventive in Europe.",distribution,84E3E96C-33DD-470A-ADED-0D36D4F02B96,English,2013-01-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000540080,Panama,distribution,3BCAE58E-95DD-4631-BAD5-A72B18823864,English,2013-07-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000401099,Ranging from Mexico to northern South America,distribution,5087D6F0-9FF7-474A-8E69-1EA819C5F19E,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000401099,Costa Rica and Colombia.,distribution,7595C018-B5B3-41CD-93E0-2609D9E43855,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000711324,"Costa Rica and Panama. BOCAS DEL TORO: vicinity of Chiriqui Lagoon, Water Valley, Von Wedel 1460, 1716; Old Bank Island, Isla Colon, alt. 0-120 m., Von Wedel 1932.",distribution,222B6555-358C-4604-960E-0F7DD7265322,English,2013-02-07,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000401934,"Central America, the West Indies and northern South America.",distribution,C83C595E-9A14-42B6-9ED7-265FD7618A23,English,2013-07-30,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000224933,Known only from the original Panama collection.,distribution,6145C537-3521-4878-9086-0968C8B159F7,English,2012-10-25,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
wfo-0000501379,Southern Mexico to Colombia.,distribution,F9FAB5D3-881D-4B6F-AA59-519DC5AC7B2D,English,2013-03-13,,,,http://creativecommons.org/licenses/by/4.0,Missouri Botanical Garden,Missouri Botanical Garden
