WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000199797,ecology,EN,Evergreen and disturbed evergreen forests in thellowland; alt. up to 300 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199797,Forest Herbarium,All rights reserved,"Archidendron ellipticum. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 215. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00862,4,2
wfo-0000199803,ecology,EN,"Recorded as undershrub in evergreen forests, oak forests, open grassy forests; alt. 600–1800 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199803,Forest Herbarium,All rights reserved,"Archidendron glomeriflorum. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 214. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00861,4,2
wfo-0000199807,ecology,EN,Evergreen forest; alt. sea level to ca 1300 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199807,Forest Herbarium,All rights reserved,"Archidendron jiringa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 218. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00865,4,2
wfo-0000192038,ecology,EN,Evergreen forests on clayey soil; alt. 750–1300 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000192038,Forest Herbarium,All rights reserved,"Archidendron lucidum. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 214. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00860,4,2
wfo-0000199831,ecology,EN,Evergreen forests on clayey soil and often along streams; alt. sea level to 600 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199831,Forest Herbarium,All rights reserved,"Archidendron quocense. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 216. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00864,4,2
wfo-0000187712,ecology,EN,In wet localities; along canal banks frequent in the area sub-merged during the rainy season; alt. up to 50 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000187712,Forest Herbarium,All rights reserved,"Cathormion umbellatum. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 201. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00848,4,2
wfo-0000199858,ecology,EN,"Dry mixed deciduous forests, dry deciduous dipterocarp forests, evergreen forests; especially on limestone; alt. up to 500 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199858,Forest Herbarium,All rights reserved,"Entada glandulosa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 142. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00791,4,2
wfo-0000195898,ecology,EN,"Along streams in evergreen (also dry evergreen) forests, deciduous forests; also on limestone; alt. up to 900 m.",I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000195898,Forest Herbarium,All rights reserved,"Entada rheedei. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 144. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00793,4,2
wfo-0000199867,ecology,EN,Evergreen forests at low altitudes (up to ca 100 m).,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000199867,Forest Herbarium,All rights reserved,"Entada spiralis. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 142. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00792,4,2
wfo-0000164675,ecology,EN,Spontaneous in clearings in evergreen forests and villages; alt. up to 180 m.,I.C. Nielsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000164675,Forest Herbarium,All rights reserved,"Mimosa invisa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 152. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00802,4,2
