wfo_id,identifier,bibliographicCitation,creator,date,URL,coreId
wfo-0000194788,urn:kew.org:ftea:spec:ref:24723,"Robyns, Flore des Spermatophytes du Parc National Albert 1: 283 (1948).",Robyns,1948,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475268-1#bibliography,urn:lsid:ipni.org:names:475268-1
wfo-0000194788,urn:kew.org:ftea:spec:ref:24724,"Wilczek in Flore du Congo Belge et du Ruanda-Urundi, 4: 277 (1953).",Wilczek,1953,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475268-1#bibliography,urn:lsid:ipni.org:names:475268-1
wfo-0000194788,urn:kew.org:ftea:spec:ref:24725,Polhill in Kew Bulletin 22: 162 (1968).,Polhill,1968,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475268-1#bibliography,urn:lsid:ipni.org:names:475268-1
wfo-0000213239,urn:kew.org:ftea:spec:ref:24726,"Harms in A. Engler, Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 30: 323 (1901).",Harms,1901,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475277-1#bibliography,urn:lsid:ipni.org:names:475277-1
wfo-0000213239,urn:kew.org:ftea:spec:ref:24727,"Bak. f., Leguminosae of Tropical Africa: 66 (1926), pro parte excl. specim. Elliot.",Bak. f.,1926,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475277-1#bibliography,urn:lsid:ipni.org:names:475277-1
wfo-0000213239,urn:kew.org:ftea:spec:ref:24728,"J.P.M. Brenan, Check-lists of the Forest Trees and Shrubs of the British Empire no. 5, part II, Tanganyika Territory p. 408 (1949).",Brenan,1949,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475277-1#bibliography,urn:lsid:ipni.org:names:475277-1
wfo-0000213199,urn:kew.org:ftea:spec:ref:24729,Bak. in Flora of Tropical Africa 2: 46 (1871).,Bak.,1871,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475235-1#bibliography,urn:lsid:ipni.org:names:475235-1
wfo-0000213199,urn:kew.org:ftea:spec:ref:24730,"Engl., Hochgebirgsfl. Trop. Afr.: 249 (1892).",Engl.,1892,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475235-1#bibliography,urn:lsid:ipni.org:names:475235-1
wfo-0000213199,urn:kew.org:ftea:spec:ref:24731,"Chiov. in Pirotta, Fl. Col. Eritrea in Ann. Ist. Bot. Roma 8: 402 (1907).",Chiov.,1907,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475235-1#bibliography,urn:lsid:ipni.org:names:475235-1
wfo-0000213199,urn:kew.org:ftea:spec:ref:24732,"Bak. f., Leguminosae of Tropical Africa: 63 (1926).",Bak. f.,1926,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475235-1#bibliography,urn:lsid:ipni.org:names:475235-1
wfo-0000213199,urn:kew.org:ftea:spec:ref:24733,"Cufod., Enumeratio Plantarum Aethiopiae Spermatophyta (Supplement in Bull. Jard. Bot. Brux.) p. 242 (1955).",Cufod.,1955,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:475235-1#bibliography,urn:lsid:ipni.org:names:475235-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24734,"Hook. f. in Journal of the Linnean Society of London, Botany 7: 189 (1864).",Hook. f.,1864,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24735,Bak. in Flora of Tropical Africa 2: 47 (1871).,Bak.,1871,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
wfo-0000213120,urn:kew.org:ftea:spec:ref:24736,"Engl., Hochgebirgsfl. Trop. Afr.: 249 (1892).",Engl.,1892,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:472203-1#bibliography,urn:lsid:ipni.org:names:472203-1
