title,description
Iowa,"TDWG Code: IOW-OO"
Ireland,"TDWG Code: IRE-IR"
"Northern Ireland","TDWG Code: IRE-NI"
Irkutsk,"TDWG Code: IRK-OO"
Iran,"TDWG Code: IRN-OO"
Iraq,"TDWG Code: IRQ-OO"
Italy,"TDWG Code: ITA-IT"
"San Marino","TDWG Code: ITA-SM"
"Vatican City","TDWG Code: ITA-VC"
"Ivory Coast","TDWG Code: IVO-OO"
Jamaica,"TDWG Code: JAM-OO"
Hokkaido,"TDWG Code: JAP-HK"
Honshu,"TDWG Code: JAP-HN"
Kyushu,"TDWG Code: JAP-KY"
Shikoku,"TDWG Code: JAP-SH"
Jawa,"TDWG Code: JAW-OO"
"Juan Fern","TDWG Code: JNF-OO"
Kamchatka,"TDWG Code: KAM-OO"
Kansas,"TDWG Code: KAN-OO"
Kazakhstan,"TDWG Code: KAZ-OO"
Kerguelen,"TDWG Code: KEG-OO"
Kenya,"TDWG Code: KEN-OO"
"Kermadec Is.","TDWG Code: KER-OO"
Kirgizistan,"TDWG Code: KGZ-OO"
Khabarovsk,"TDWG Code: KHA-OO"
"North Korea","TDWG Code: KOR-NK"
"South Korea","TDWG Code: KOR-SK"
Krasnoyarsk,"TDWG Code: KRA-OO"
Kriti,"TDWG Code: KRI-OO"
Krym,"TDWG Code: KRY-OO"
Kentucky,"TDWG Code: KTY-OO"
"Kuril Is.","TDWG Code: KUR-OO"
Kuwait,"TDWG Code: KUW-OO"
Kazan-retto,"TDWG Code: KZN-OO"
Labrador,"TDWG Code: LAB-OO"
Laos,"TDWG Code: LAO-OO"
Liberia,"TDWG Code: LBR-OO"
Lebanon,"TDWG Code: LBS-LB"
Syria,"TDWG Code: LBS-SY"
Libya,"TDWG Code: LBY-OO"
"Laccadive Is.","TDWG Code: LDV-OO"
Antigua-Barbuda,"TDWG Code: LEE-AB"
Anguilla,"TDWG Code: LEE-AG"
"Aves I.","TDWG Code: LEE-AV"
"British Virgin Is.","TDWG Code: LEE-BV"
Guadeloupe,"TDWG Code: LEE-GU"
Montserrat,"TDWG Code: LEE-MO"
"Netherlands Leeward Is.","TDWG Code: LEE-NL"
St.Kitts-Nevis,"TDWG Code: LEE-SK"
St.Martin-St.Barth,"TDWG Code: LEE-SM"
"Virgin Is.","TDWG Code: LEE-VI"
Lesotho,"TDWG Code: LES-OO"
"Kiribati Line Is.","TDWG Code: LIN-KI"
"U.S. Line Is.","TDWG Code: LIN-US"
Louisiana,"TDWG Code: LOU-OO"
Bali,"TDWG Code: LSI-BA"
"East Timor","TDWG Code: LSI-ET"
"Lesser Sunda Is.","TDWG Code: LSI-LS"
Magadan,"TDWG Code: MAG-OO"
Maine,"TDWG Code: MAI-OO"
Manitoba,"TDWG Code: MAN-OO"
"Macquarie Is.","TDWG Code: MAQ-OO"
Massachusetts,"TDWG Code: MAS-OO"
Mauritius,"TDWG Code: MAU-OO"
"Mozambique Channel Is.","TDWG Code: MCI-OO"
"Marcus I.","TDWG Code: MCS-OO"
Madagascar,"TDWG Code: MDG-OO"
Madeira,"TDWG Code: MDR-OO"
Maldives,"TDWG Code: MDV-OO"
Michigan,"TDWG Code: MIC-OO"
Minnesota,"TDWG Code: MIN-OO"
Mali,"TDWG Code: MLI-OO"
Malawi,"TDWG Code: MLW-OO"
"Peninsular Malaysia","TDWG Code: MLY-PM"
Singapore,"TDWG Code: MLY-SI"
Montana,"TDWG Code: MNT-OO"
Maluku,"TDWG Code: MOL-OO"
Mongolia,"TDWG Code: MON-OO"
Morocco,"TDWG Code: MOR-MO"
"Spanish North African Territories","TDWG Code: MOR-SP"
Mozambique,"TDWG Code: MOZ-OO"
"Marion-Prince Edward Is.","TDWG Code: MPE-OO"
Guam,"TDWG Code: MRN-GU"
"Northern Marianas","TDWG Code: MRN-NM"
Marquesas,"TDWG Code: MRQ-OO"
"Marshall Is.","TDWG Code: MRS-OO"
Maryland,"TDWG Code: MRY-OO"
Mississippi,"TDWG Code: MSI-OO"
Missouri,"TDWG Code: MSO-OO"
Mauritania,"TDWG Code: MTN-OO"
Morelos,"TDWG Code: MXC-MO"
Puebla,"TDWG Code: MXC-PU"
Tlaxcala,"TDWG Code: MXC-TL"
Aguascalientes,"TDWG Code: MXE-AG"
Coahuila,"TDWG Code: MXE-CO"
Chihuahua,"TDWG Code: MXE-CU"
Durango,"TDWG Code: MXE-DU"
Guanajuato,"TDWG Code: MXE-GU"
Hidalgo,"TDWG Code: MXE-HI"
"Nuevo Le","TDWG Code: MXE-NL"
Quer,"TDWG Code: MXE-QU"
"San Luis Potos","TDWG Code: MXE-SL"
Tamaulipas,"TDWG Code: MXE-TA"
Zacatecas,"TDWG Code: MXE-ZA"
Veracruz,"TDWG Code: MXG-VC"
"Guadalupe I.","TDWG Code: MXI-GU"
"Rocas Alijos","TDWG Code: MXI-RA"
"Revillagigedo Is.","TDWG Code: MXI-RG"
"Baja California","TDWG Code: MXN-BC"
"Baja California Sur","TDWG Code: MXN-BS"
Sinaloa,"TDWG Code: MXN-SI"
Sonora,"TDWG Code: MXN-SO"
Colima,"TDWG Code: MXS-CL"
Guerrero,"TDWG Code: MXS-GR"
Jalisco,"TDWG Code: MXS-JA"
Michoac,"TDWG Code: MXS-MI"
Nayarit,"TDWG Code: MXS-NA"
Oaxaca,"TDWG Code: MXS-OA"
Campeche,"TDWG Code: MXT-CA"
Chiapas,"TDWG Code: MXT-CI"
"Quintana Roo","TDWG Code: MXT-QR"
Tabasco,"TDWG Code: MXT-TB"
Yucat,"TDWG Code: MXT-YU"
Myanmar,"TDWG Code: MYA-OO"
Namibia,"TDWG Code: NAM-OO"
KwaZulu-Natal,"TDWG Code: NAT-OO"
"New Brunswick","TDWG Code: NBR-OO"
"North Carolina","TDWG Code: NCA-OO"
"Nicobar Is.","TDWG Code: NCB-OO"
Chechnya,"TDWG Code: NCS-CH"
Dagestan,"TDWG Code: NCS-DA"
Ingushetiya,"TDWG Code: NCS-IN"
Kabardino-Balkariya,"TDWG Code: NCS-KB"
Karacheyevo-Cherkessiya,"TDWG Code: NCS-KC"
Krasnodar,"TDWG Code: NCS-KR"
Severo-Osetiya,"TDWG Code: NCS-SO"
Stavropol,"TDWG Code: NCS-ST"
"North Dakota","TDWG Code: NDA-OO"
Nebraska,"TDWG Code: NEB-OO"
Nepal,"TDWG Code: NEP-OO"
Netherlands,"TDWG Code: NET-OO"
Nevada,"TDWG Code: NEV-OO"
"Lord Howe I.","TDWG Code: NFK-LH"
"Norfolk I.","TDWG Code: NFK-NI"
Newfoundland,"TDWG Code: NFL-NE"
St.Pierre-Miquelon,"TDWG Code: NFL-SP"
Nigeria,"TDWG Code: NGA-OO"
Niger,"TDWG Code: NGR-OO"
Nicaragua,"TDWG Code: NIC-OO"
Bonaire,"TDWG Code: NLA-BO"
Cura,"TDWG Code: NLA-CU"
Nansei-shoto,"TDWG Code: NNS-OO"
Norway,"TDWG Code: NOR-OO"
Nauru,"TDWG Code: NRU-OO"
"Nova Scotia","TDWG Code: NSC-OO"
"Australian Capital Territory","TDWG Code: NSW-CT"
"New South Wales","TDWG Code: NSW-NS"
"Northern Territory","TDWG Code: NTA-OO"
Niue,"TDWG Code: NUE-OO"
Nunavut,"TDWG Code: NUN-OO"
"New Caledonia","TDWG Code: NWC-OO"
"Irian Jaya","TDWG Code: NWG-IJ"
"Papua New Guinea","TDWG Code: NWG-PN"
"New Hampshire","TDWG Code: NWH-OO"
"New Jersey","TDWG Code: NWJ-OO"
"New Mexico","TDWG Code: NWM-OO"
"Northwest Territories","TDWG Code: NWT-OO"
"New York","TDWG Code: NWY-OO"
"New Zealand North","TDWG Code: NZN-OO"
"New Zealand South","TDWG Code: NZS-OO"
"Free State","TDWG Code: OFS-OO"
