taxonID,description,type,rightsHolder,source,license,rights
wfo-0000226923,"Probablement Vulnérable (VU) ; taxon connu d’environ 10 localités, dont certaines ne sont pas protégées.",conservation,Meise Botanic Garden,FAC-0000226923,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000226956,"Probablement Préoccupation mineure (LC) ; taxon largement répandu, connu de plus de 100 localités.",conservation,Meise Botanic Garden,FAC-0000226956,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000226957,Probablement Préoccupation mineure (LC) ; taxon connu d’environ 20 localités ; la seule localité dans le territoire de la Flore est dans une région fortement perturbée par l’extension des activités minières.,conservation,Meise Botanic Garden,FAC-0000226957,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000226993,"Probablement Préoccupation mineure (LC) ; taxon très largement répandu, connue de plus de 100 localités.",conservation,Meise Botanic Garden,FAC-0000226993,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000227058,"Probablement Préoccupation mineure (LC) ; très largement répandu, connu de plus de 100 localités.",conservation,Meise Botanic Garden,FAC-0000227058,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000227068,"Probablement Préoccupation mineure (LC) ; connu de plus de 50 localités. Malgré une aire de distribution assez restreinte, cette variété est assez commune dans le Haut-Katanga, dans des habitats non menacés.",conservation,Meise Botanic Garden,FAC-0000227068,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000227069,Probablement Préoccupation mineure (LC) ; taxon connu de plus de 30 localités.,conservation,Meise Botanic Garden,FAC-0000227069,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000227118,"Probablement Préoccupation mineure (LC) ; taxon répandu, connu de plus de 50 localités.",conservation,Meise Botanic Garden,FAC-0000227118,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000227169,"Probablement Préoccupation mineure (LC) ; espèce connue d’une vingtaine de localités. Dans le territoire de la Flore, connu d’une seule récolte ancienne, dans une région soumise à une forte pression anthropique.",conservation,Meise Botanic Garden,FAC-0000227169,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000227191,"Probablement Préoccupation mineure (LC) ; très répandu, connu de plus de 100 localités.",conservation,Meise Botanic Garden,FAC-0000227191,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000227201,"Préoccupation mineure (LC) ; statut selon la Liste Rouge de l’UICN, évalué par Ntore & al. (2017).",conservation,Meise Botanic Garden,FAC-0000227201,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000234807,"Assez répandu, avec de nombreux spécimens d’un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000234807,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000234835,"Assez répandu, provenant d’un habitat commun mais plutôt restreint ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000234835,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000244927,"Vulnérable (VU) ; statut selon la liste rouge de l’UICN, évalué (comme M. ledermannii auct.) par African Regional Workshop (1998b). Cependant, selon les critères actuels, plutôt Préoccupation mineure (LC), car l’espèce est largement répandue (plus de 50 localités), et se régénérant abondamment dans les milieux dégradés, ne semble donc pas menacée à l’échelle globale bien qu’elle puisse être surexploitée dans certaines régions.",conservation,Meise Botanic Garden,FAC-0000244927,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000244942,"Préoccupation mineure (LC) ; espèce abondante et largement répandue, connue de plus de 30 localités dont plusieurs sont situées dans des aires protégées (Parc national de la Forêt de Nyungwe, Réserve naturelle forestière de Bururi, Parc national de Kahuzi-Biega, Parc national des Volcans, Bwindi Impenetrable National Park, Minziro Forest Reserve).",conservation,Meise Botanic Garden,FAC-0000244942,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000244944,"Vulnérable (VU) ; statut selon la liste rouge de l’UICN, évalué par World Conservation Monitoring Centre (1998). Cependant, selon les critères actuels, plutôt Préoccupation mineure (LC) car largement répandu (connu de plus de 50 localités) et relativement adaptable à la dégradation du milieu du fait de son caractère pionnier. Bien qu’elle puisse faire l’objet d’une surexploitation dans certaines régions, l’espèce se régénère facilement et n’apparaît pas menacée à l’échelle globale.",conservation,Meise Botanic Garden,FAC-0000244944,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000246386,"Distribution plutôt restreinte, mais avec une quinzaine de spécimens de la République démocratique du Congo et encore une quinzaine d’ailleurs, provenant d’un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000246386,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000249515,"Vulnérable (VU) ; statut selon la Liste Rouge de l’UICN, évalué par African Regional Workshop (1998b). Cependant, selon les critères actuels, plutôt Préoccupation mineure (LC), du fait qu’il est connu de plus de 50 localités et bien adaptable à la dégradation du milieu, étant une espèce pionnière dans les stades jeunes.",conservation,Meise Botanic Garden,FAC-0000249515,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000249536,"Préoccupation mineure (LC) ; selon la Liste Rouge de l’IUCN, évalué par Paradis & Stévart (sous presse).",conservation,Meise Botanic Garden,FAC-0000249536,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000249572,Probablement Préoccupation mineure (LC) ; connu de plus de 100 localités et très adaptable aux milieux dégradés.,conservation,Meise Botanic Garden,FAC-0000249572,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000249635,"Probablement Préoccupation mineure (LC) ; espèce largement répandue, connue de plus de 50 localités. Elle est localement exploitée pour son bois, mais pas à grande échelle comme N. diderrichii, et son habitat est peu touché par les défrichements.",conservation,Meise Botanic Garden,FAC-0000249635,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000249700,"Probablement Préoccupation mineure (LC) ; espèce largement répandue, connue de plus de 30 localités dont plusieurs situées dans des aires protégées (Parc National de Korup, Réserves de Biosphère de Luki et de Yangambi, Réserve de Faune à Okapis). Elle fait l’objet d’une utilisation locale pour son bois mais n’est pas exploitée à grande échelle, et son habitat est relativement peu touché par les défrichements.",conservation,Meise Botanic Garden,FAC-0000249700,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000256744,"Répandu, avec de nombreux spécimens des habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000256744,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000256746,"Répandu, avec de nombreux spécimens dans des habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000256746,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000256748,"Assez répandu, avec de nombreux spécimens des habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000256748,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000256759,"Répandu, avec de nombreux spécimens dans des habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000256759,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000256761,"Répandu, avec de nombreux spécimens des habitats communs ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000256761,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000256769,"Forêts marécageuses ou périodiquement inondées, lisières forestières ; dans le territoire de la Flore à 50–400 m d’altitude, ailleurs jusqu’à 550 m.",conservation,Meise Botanic Garden,FAC-0000256769,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000261088,"Largement répandu, connu d’un grand nombre de spécimens et d’un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000261088,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000261090,"Assez répandu et provenant d’un habitat commun ; bien que rare en République démocratique du Congo, la distribution assez large indique probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000261090,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000261095,"Assez répandu et provenant d’un habitat commun ; bien que rare en République démocratique du Congo, la distribution assez large signifie probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000261095,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000261097,"Assez répandu et provenant d’un habitat commun ; bien que rare en République démocratique du Congo, la distribution assez large signifie probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000261097,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000269796,"Littoral atlantique, mangroves, marais à papyrus, lambeaux de forêt en savane, galeries forestières ; dans les mangroves, il forme des associations avec Rhizophora racemosa G.Mey. et Avicennia germinans (L.) L. ; en Afrique centrale à 0–1800 m d’altitude, ailleurs jusqu’à 3000 m.",conservation,Meise Botanic Garden,FAC-0000269796,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000273290,"Répandu, à nombreux échantillons dans un habitat commun ; probablement Préoccupation Mineure (LC).",conservation,Meise Botanic Garden,FAC-0000273290,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000276275,Évalué comme Préoccupation Mineure (LC) par Botanic Gardens Conservation International (BGCI) & IUCN SSC Global Tree Specialist Group (2019d) sur la Liste rouge de l’UICN.,conservation,Meise Botanic Garden,FAC-0000276275,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
