WFOID,vernacularName,identifier,isPreferredName,source,language,countryCode,uri,bibliographicCitation,rights,license
wfo-0000234691,khi tao (ขี้เต่า)(Surat Thani),ver-THA-0000234691.17,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,cha tri khao (ชาตรีขาว)(Phuket),ver-THA-0000234691.18,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,phlap phla khi tao (พลับพลาขี้เต่า)(Nakhon Si Thammarat),ver-THA-0000234691.19,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,phla kwang bai yai (พลากวางใบใหญ่)(Trang),ver-THA-0000234691.20,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,min-ya ma-ya (มินยะมายา)(Malay-Yala),ver-THA-0000234691.21,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234691,mue-ra-kae-pu-te (มือราแก้ปูเต๊ะ)(Malay-Narathiwat),ver-THA-0000234691.22,0.0,ref-THA-0000234691,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03508,"Mallotus philippensis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 421. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234745,nut (นูด)(Ranong),ver-THA-0000234745.01,0.0,ref-THA-0000234745,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03513,"Mallotus stipularis. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 429. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234751,raeo (แร้ว)(Phuket),ver-THA-0000234751.01,0.0,ref-THA-0000234751,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03515,"Mallotus subpeltatus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 431. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234751,cha ngo phi (ช้าเงาะผี)(Nakhon Si Thammarat),ver-THA-0000234751.02,0.0,ref-THA-0000234751,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03515,"Mallotus subpeltatus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 431. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234751,dan mi (ดันหมี)(Nakhon Si Thammarat),ver-THA-0000234751.03,0.0,ref-THA-0000234751,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03515,"Mallotus subpeltatus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 431. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234751,han ton (หันต้น)(Nakhon Si Thammarat),ver-THA-0000234751.04,0.0,ref-THA-0000234751,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03515,"Mallotus subpeltatus. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 431. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000234764,fai nam (ฝ่ายน้ำ)(Northeastern),ver-THA-0000234764.01,0.0,ref-THA-0000234764,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03517,"Mallotus thorelii. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 434. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000235507,tang ban (ต้างบ้าน)(Northern),ver-THA-0000235507.01,0.0,ref-THA-0000235507,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03521,"Manihot esculenta. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 438. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000235507,tang noi (ต้างน้อย)(Northern),ver-THA-0000235507.02,0.0,ref-THA-0000235507,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03521,"Manihot esculenta. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 438. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000235507,man sampalang (มันสําปะหลัง)(Central),ver-THA-0000235507.03,0.0,ref-THA-0000235507,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03521,"Manihot esculenta. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 438. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000235507,man samrong (มันสําโรง)(Central),ver-THA-0000235507.04,0.0,ref-THA-0000235507,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03521,"Manihot esculenta. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 438. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000235507,sampalang (สําปะหลัง)(Central),ver-THA-0000235507.05,0.0,ref-THA-0000235507,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03521,"Manihot esculenta. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 438. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000235507,man hio (มันหว)(Phangnga),ver-THA-0000235507.06,0.0,ref-THA-0000235507,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03521,"Manihot esculenta. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 438. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000235507,man mai (มันไม้)(Peninsular),ver-THA-0000235507.07,0.0,ref-THA-0000235507,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03521,"Manihot esculenta. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 438. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000235507,man tan (มันต้น)(Peninsular),ver-THA-0000235507.08,0.0,ref-THA-0000235507,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03521,"Manihot esculenta. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 438. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000235507,u-bi-ka-yu (อุบีกายู)(Malay-Peninsular),ver-THA-0000235507.09,0.0,ref-THA-0000235507,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03521,"Manihot esculenta. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 438. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000236321,daeng nam (แดงน้ำ)(Northern),ver-THA-0000236321.01,0.0,ref-THA-0000236321,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03523,"Margaritaria indica. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 440. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000236321,me khamram (หมีคำราม)(Central),ver-THA-0000236321.02,0.0,ref-THA-0000236321,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03523,"Margaritaria indica. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 440. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000239314,han taen (หานแตน)(Chiang Mai),ver-THA-0000239314.01,0.0,ref-THA-0000239314,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03525,"Megistostigma burmanicum. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 442. Accessed 2021-07-31",Forest Herbarium,All rights reserved
wfo-0000239314,han salit (หานสลิด)(Chiang Mai),ver-THA-0000239314.02,0.0,ref-THA-0000239314,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03525,"Megistostigma burmanicum. Flora of Thailand. Vol. 8. Part 2, 2007. Pg. 442. Accessed 2021-07-31",Forest Herbarium,All rights reserved
