WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000235901,145398887,145398861,Manilkara kurziana,SAPOTACEAE,Manilkara,kurziana,,,,H.J.Lam & B.Meeuse,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-1.rlts.t145398861a145398887.en,"(2019). Manilkara kurziana: Olander, S.B., Armstrong, K.E. & Wilkie, P. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-1.rlts.t145398861a145398887.en"
wfo-0000604859,145415713,145299119,Cinnamomum alatum,LAURACEAE,Cinnamomum,alatum,,,,Lukman.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2024-1.rlts.t145299119a145415713.en,"(2023). Cinnamomum alatum: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2024-1.rlts.t145299119a145415713.en"
wfo-0000604867,145415718,145299940,Cinnamomum alibertii,LAURACEAE,Cinnamomum,alibertii,,,,Lukman.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-1.rlts.t145299940a145415718.en,"(2020). Cinnamomum alibertii: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-1.rlts.t145299940a145415718.en"
wfo-0000604875,145415733,145300384,Cinnamomum andersonii,LAURACEAE,Cinnamomum,andersonii,,,,Lukman.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145300384a145415733.en,"(2020). Cinnamomum andersonii: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145300384a145415733.en"
wfo-0000604878,145415738,145300450,Cinnamomum angustifolium,LAURACEAE,Cinnamomum,angustifolium,,,,Lukman.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145300450a145415738.en,"(2020). Cinnamomum angustifolium: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145300450a145415738.en"
wfo-1000042545,145415763,145300787,Cinnamomum asomicum,LAURACEAE,Cinnamomum,asomicum,,,,S.C.Nath & Baruah,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145300787a145415763.en,"(2020). Cinnamomum asomicum: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145300787a145415763.en"
wfo-0000604895,145415768,145300945,Cinnamomum assamicum,LAURACEAE,Cinnamomum,assamicum,,,,Lukman.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145300945a145415768.en,"(2020). Cinnamomum assamicum: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145300945a145415768.en"
wfo-0000604908,145415788,145301313,Cinnamomum bamoense,LAURACEAE,Cinnamomum,bamoense,,,,Lukman.,Data Deficient,,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2020-1.rlts.t145301313a145415788.en,"(2020). Cinnamomum bamoense: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-1.rlts.t145301313a145415788.en"
wfo-0000604916,145415798,145301415,Cinnamomum beccarii,LAURACEAE,Cinnamomum,beccarii,,,,Lukman.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2022-2.rlts.t145301415a145415798.en,"(2020). Cinnamomum beccarii: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-2.rlts.t145301415a145415798.en"
wfo-0000604923,145415838,145302035,Cinnamomum blumei,LAURACEAE,Cinnamomum,blumei,,,,Lukman.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145302035a145415838.en,"(2020). Cinnamomum blumei: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-2.rlts.t145302035a145415838.en"
wfo-0000604950,145415868,145303077,Cinnamomum calleryi,LAURACEAE,Cinnamomum,calleryi,,,,Lukman.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2024-1.rlts.t145303077a145415868.en,"(2023). Cinnamomum calleryi: de Kok, R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2024-1.rlts.t145303077a145415868.en"
