WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000512199,122926208,122926206,Abutilon pitcairnense,MALVACEAE,Abutilon,pitcairnense,,,,Fosberg,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2018-1.rlts.t122926206a122926208.en,"(2017). Abutilon pitcairnense: Bárrios, S. & Smyth, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2018-1.rlts.t122926206a122926208.en"
wfo-0000754541,123986038,123986030,Agave lurida,ASPARAGACEAE,Agave,lurida,,,,Aiton,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2020-1.rlts.t123986030a123986038.en,"(2018). Agave lurida: García-Mendoza, A.J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-1.rlts.t123986030a123986038.en"
wfo-0000336106,126613386,126612397,Csapodya splendens,RUBIACEAE,Csapodya,splendens,,,,(Breedlove & Lorence) Borhidi,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t126612397a126613386.en,"(2020). Deppea splendens: Fuentes, A.C.D., Martínez Salas, E. & Samain, M.-S. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t126612397a126613386.en"
wfo-0000193869,149811526,30392,Sophora toromiro,FABACEAE,Sophora,toromiro,,,,(Phil.) Skottsb.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2021-3.rlts.t30392a149811526.en,"(2021). Sophora toromiro: Rivera Caniulao, M. & Chaparro, C.B. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-3.rlts.t30392a149811526.en"
wfo-0001426304,154696297,152357598,Amomum sumatranum,ZINGIBERACEAE,Amomum,sumatranum,,,,(Valeton) Skornick. & Hlavatá,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2020-2.rlts.t152357598a154696297.en,"(2019). Amomum sumatranum: Olander, S.B. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-2.rlts.t152357598a154696297.en"
wfo-0000653941,164117292,164111324,Dombeya rodriguesiana,MALVACEAE,Dombeya,rodriguesiana,,,,F.Friedmann,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2021-2.rlts.t164111324a164117292.en,"(2021). Dombeya rodriguesiana: Tatayah, V., Jhangeer-Khan, R. & Bégué, J.A. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-2.rlts.t164111324a164117292.en"
wfo-0000826061,184207893,44080,Brighamia insignis,CAMPANULACEAE,Brighamia,insignis,,,,A.Gray,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2023-1.rlts.t44080a184207893.en,"(2022). Brighamia insignis: Walsh, S., Nyberg, B. & Wood, K. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2023-1.rlts.t44080a184207893.en"
wfo-0000758828,197312879,110097724,Aloe silicicola,ASPHODELACEAE,Aloe,silicicola,,,,H.Perrier,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2020-2.rlts.t110097724a197312879.en,"(2018). Aloe silicicola: Rakotoarisoa, S.E. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-2.rlts.t110097724a197312879.en"
wfo-0000184535,227965606,226776565,Amherstia nobilis,FABACEAE,Amherstia,nobilis,,,,Wall.,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2024-1.rlts.t226776565a227965606.en,"(2023). Amherstia nobilis: Rivers, M.C. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2024-1.rlts.t226776565a227965606.en"
wfo-0000027863,241413513,34169,Dendroseris gigantea,ASTERACEAE,Dendroseris,gigantea,,,,Johow,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2023-1.rlts.t34169a241413513.en,"(2023). Dendroseris gigantea: Cádiz, A. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2023-1.rlts.t34169a241413513.en"
wfo-0000667348,243423919,41882,Encephalartos brevifoliolatus,ZAMIACEAE,Encephalartos,brevifoliolatus,,,,Vorster,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t41882a243423919.en,"(2020). Encephalartos brevifoliolatus: Bösenberg, J.D. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t41882a243423919.en"
wfo-0000667385,243426977,41888,Encephalartos heenanii,ZAMIACEAE,Encephalartos,heenanii,,,,R.A.Dyer,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t41888a243426977.en,"(2020). Encephalartos heenanii: Bösenberg, J.D. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t41888a243426977.en"
wfo-0000667435,243431182,41896,Encephalartos nubimontanus,ZAMIACEAE,Encephalartos,nubimontanus,,,,P.J.H.Hurter,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t41896a243431182.en,"(2020). Encephalartos nubimontanus: Bösenberg, J.D. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t41896a243431182.en"
wfo-0000667448,243432097,41764,Encephalartos relictus,ZAMIACEAE,Encephalartos,relictus,,,,P.J.H.Hurter,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t41764a243432097.en,"(2020). Encephalartos relictus: Bösenberg, J.D. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t41764a243432097.en"
wfo-0000667480,243434007,41881,Encephalartos woodii,ZAMIACEAE,Encephalartos,woodii,,,,Sander,Extinct in the Wild,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2022-1.rlts.t41881a243434007.en,"(2020). Encephalartos woodii: Bösenberg, J.D. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-1.rlts.t41881a243434007.en"
