WFOID,type,language,description,contributor,audience,rightsHolder,created,creator,source,rights,license,bibliographicCitation,URI,Volume,Part
wfo-0000776350,distribution,EN,"Cosmopolitan (type from Europe), mainly temperate, in the tropics on high mountains.",K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000776350,Forest Herbarium,All rights reserved,"Juncus effusus. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 167. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00313,2,2
wfo-0000777104,distribution,EN,"From Ceylon throughout SE. and E. Asia to Australia (type), Tasmania, and New Zealand.",K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000777104,Forest Herbarium,All rights reserved,"Juncus prismatocarpus. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 168. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00314,2,2
wfo-0000357312,distribution,EN,Endemic to Thailand.,H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000357312,Forest Herbarium,All rights reserved,"Kadsura ananosma. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 113. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00214,2,2
wfo-0000357309,distribution,EN,"Thailand, E. Pakistan (Sylhet, type), Ceylon, Burma, Indochina, S. China, Sumatra.",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000357309,Forest Herbarium,All rights reserved,"Kadsura heteroclita. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 113. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00215,2,2
wfo-0000357329,distribution,EN,"Thailand, Malay Peninsula, Sumatra, Java (type).",H. Keng,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000357329,Forest Herbarium,All rights reserved,"Kadsura scandens. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 114. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00216,2,2
wfo-0000460076,distribution,EN,"Thailand, Hainan, Laos, N. & S. Vietnam (type), Cambodia, Malay Peninsula.",K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000460076,Forest Herbarium,All rights reserved,"Leptocarpus disjunctus. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 172. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00320,2,2
wfo-0000452499,distribution,EN,"Thailand, S. Japan (type), Ryukyus, Taiwan, Cambodia, India (Assam), Sumatra, Borneo, New Guinea.",B. Hansen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000452499,Forest Herbarium,All rights reserved,"Mitrastemma yamamotoi. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 183. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00337,2,2
wfo-0000251831,distribution,EN,"Thailand, Annam (?), Hainan (?), Malay Peninsula (type), Sumatra, Banka, Billiton, Borneo.","K. Larsen, F.F. de Vogel",,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000251831,Forest Herbarium,All rights reserved,"Neuwiedia zollingeri singapureana. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 132. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00251,2,2
wfo-0000480198,distribution,EN,Endemic to Thailand.,K. Larsen,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000480198,Forest Herbarium,All rights reserved,"Orchidantha siamensis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 170. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00317,2,2
wfo-0000481052,distribution,EN,"Thailand, Burma (type), Indochina, Malesia (Philippines).",C. Phengklai,,Forest Herbarium,2021-07-31,Rachun Pooma,ref-THA-0000481052,Forest Herbarium,All rights reserved,"Pinus kesiya. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 194. Accessed 2021-07-31",https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00350,2,2
