WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation,Volume,Part
wfo-0000249997,ver-THA-0000249997.01,tan moi (ตานโมย)(Peninsular),0.0,ref-THA-0000249997,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00254,Forest Herbarium,All rights reserved,"Apostasia odorata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 134. Accessed 2021-07-31",2,2
wfo-0000558623,ver-THA-0000558623.01,nun din (หนุนดิน)(Northern),0.0,ref-THA-0000558623,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00326,Forest Herbarium,All rights reserved,"Balanophora abbreviata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 178. Accessed 2021-07-31",2,2
wfo-0000558623,ver-THA-0000558623.02,hora thao sunak (โหราเท้าสุนัข)(Central),0.0,ref-THA-0000558623,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00326,Forest Herbarium,All rights reserved,"Balanophora abbreviata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 178. Accessed 2021-07-31",2,2
wfo-0000558623,ver-THA-0000558623.03,bon (บอน)(Peninsular),0.0,ref-THA-0000558623,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00326,Forest Herbarium,All rights reserved,"Balanophora abbreviata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 178. Accessed 2021-07-31",2,2
wfo-0000580855,ver-THA-0000580855.01,paek lom (แปกลม),0.0,ref-THA-0000580855,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00356,Forest Herbarium,All rights reserved,"Calocedrus macrolepis. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 196. Accessed 2021-07-31",2,2
wfo-0000582291,ver-THA-0000582291.01,miang i am (เมี่ยงอีอาม)(Northern),0.0,ref-THA-0000582291,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00273,Forest Herbarium,All rights reserved,"Camellia connata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 147. Accessed 2021-07-31",2,2
wfo-0000582291,ver-THA-0000582291.02,cha miang (จ้าเมี่ยง)(Northern),0.0,ref-THA-0000582291,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00273,Forest Herbarium,All rights reserved,"Camellia connata. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 147. Accessed 2021-07-31",2,2
wfo-0000582598,ver-THA-0000582598.01,miang doi (เมี่ยงดอย)(Northern),0.0,ref-THA-0000582598,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00271,Forest Herbarium,All rights reserved,"Camellia pleurocarpa. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 146. Accessed 2021-07-31",2,2
wfo-0000582677,ver-THA-0000582677.01,miang (เมี่ยง)(Northern),0.0,ref-THA-0000582677,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00275,Forest Herbarium,All rights reserved,"Camellia sinensis assamica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 148. Accessed 2021-07-31",2,2
wfo-0000582677,ver-THA-0000582677.02,miang doi (เมี่ยงดอย)(Northern),0.0,ref-THA-0000582677,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00275,Forest Herbarium,All rights reserved,"Camellia sinensis assamica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 148. Accessed 2021-07-31",2,2
wfo-0000582677,ver-THA-0000582677.03,cha (ชา)(Central),0.0,ref-THA-0000582677,TH,THA,https://botany.dnp.go.th/eflora/florainfra.html?tdcode=00275,Forest Herbarium,All rights reserved,"Camellia sinensis assamica. Flora of Thailand. Vol. 2. Part 2, 1972. Pg. 148. Accessed 2021-07-31",2,2
