LocalID,WFOID,scientificName,Publishedin,Devnagari,transliteration,Ecology,Distribution
NEP10569,wfo-0000826534,Campanula aristata Wall. ,Fl. Ind. 2: 98. 1824. ,,,"W, C, E Nepal: 2700-4500 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, E Asia and SW Asia."
NEP10571,wfo-0000826725,Campanula cana Wall.,Fl. Ind. 2: 101. 1824. ,,,"W, C, E Nepal: 1200-3700 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, E Asia and SE Asia."
NEP10572,wfo-1200027086,Campanula cashmeriana Royle,Ill. Bot. Himal. Mts. 254. 1835.,,,"W, C Nepal: 3400-3900 m. ","Nepal, W Himalaya, E Himalaya and SW Asia."
NEP10574,wfo-0000827059,Campanula dimorphantha Schweinf.,Beitr. Fl. Aethiop. 140. 1867.,,,"W, C Nepal: 300-1100 m. ","Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia and Africa."
NEP10577,wfo-0000827471,Campanula immodesta Lammers ,Novon 8(1): 34. 1998.,,,"W, C, E Nepal: 900-5100 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia."
NEP10579,wfo-0000827620,Campanula latifolia L. ,Sp. Pl. 1: 165. 1753. ,,,"W, C Nepal: 2700-3800 m. ","Nepal, W Himalaya, N Asia, SW Asia and Europe."
NEP10580,wfo-0000827939,Campanula nakaoi Kitam.,Acta Phytotax. Geobot. 15(4): 108. 1954.,rf]nL Dx]Gbf] ,Choli mhendo: Tibetan,"C, E Nepal: 2700-4100 m.",Nepal and Tibetan Plateau.
NEP10581,wfo-0000828038,Campanula pallida Wall. ,Asiat. Res. 13: 375. 1820.,"ufgf] a'6L, dGh/L ","Gano buti, Manjari","W, C, E Nepal: 1000-4500 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia, SE Asia and SW Asia. "
NEP10584,wfo-0000829106,Campanula sylvatica Wall.,Fl. Ind. 2: 97. 1824. ,,,"W, C, E Nepal: 1200-2500 m. ","Nepal, W Himalaya and E Himalaya."
NEP10587,wfo-0000830477,Codonopsis affinis Hook.f. & Thomson ,"J. Proc. Linn. Soc., Bot. 2: 12. 1858.",,,"C, E Nepal: 2100-4200 m. ","Nepal, W Himalaya, E Himalaya, Tibetan Plateau and Assam-Burma."
