"                                 eFlora Nepal in World Flora Online (www.worldfloraonline.org).  Source:  Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal (Correspondence: ).",,,,,,,,,,,,,
Order,Family,Genera,Taxon ID,WFO_ID,Taxon names,Literature citation,Nepali name(s),,Distribution in Nepal,Plant images,,General/ global distribution,Comments
,,,,,,,Devnagari,Transliteration,,Plant photos,Herbarium specimen,,
,Piperaceae,,NEP00105,wfo-0001094058,Piper mullesua Buch.-Ham. ex D.Don,Prodr. Fl. Nepal. 20. 1825.,kxf8L kfg ,Pahadi pan,"W, C, E Nepal: 400-2500 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",
,Piperaceae,,NEP00106,wfo-0000600012,Chavica mullesua (Buch.-Ham. ex D.Don) Miq.,,,,,,,,
,Piperaceae,,NEP00107,wfo-1000041324,Piper brachystachyum Wall. ex Hook.f.,,,,,,,,
,Piperaceae,,NEP00108,wfo-0001094059,Piper guigual Buch.-Ham. ex D.Don,,,,,,,,
,Piperaceae,,NEP00109,wfo-0000486372,Piper peepuloides Roxb.,Fl. Ind. 1: 157. 1820. ,jg lkKnf ,Ban pipla,"C, E Nepal: 400-2000 m. ",,,"Nepal, E Himalaya, Assam-Burma and S Asia. ",
,Piperaceae,,NEP00110,wfo-0000600017,Chavica peepuloides (Roxb.) Miq.,,,,,,,,
,Piperaceae,,NEP00111,wfo-0000600014,Chavica neesiana Miq.,,,,,,,,
,Piperaceae,,NEP00112,wfo-0001248365,Piper rhytidocarpum Hook.f.,Fl. Brit. India. 5: 92. 1886.,,,E Nepal: 1600 m. ,,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and S Asia.",
,Piperaceae,,NEP00113,wfo-0001248440,Piper suipigua Buch.-Ham. ex D.Don,Prodr. Fl. Nepal. 20. 1825.,,,"W, C, E Nepal: 200-2000 m. ",,,"Nepal, E Himalaya, Assam-Burma, S Asia and E Asia. ",
,Piperaceae,,NEP00114,wfo-0001094374,Piper nepalense Miq. ,,,,,,,,
,Piperaceae,,NEP00115,wfo-0001094083,Piper wallichii (Miq.) Hand.-Mazz.,Symb. Sin. 7: 155. 1929.,6fË,Tang: Chepang,"C, E Nepal: 100-2800 m. ",,,"Nepal, E Himalaya, Assam-Burma, S Asia and E Asia. ",
,Piperaceae,,NEP00116,wfo-0000600051,Chavica wallichii Miq.,,,,,,,,
,Piperaceae,,NEP00117,wfo-1000041325,Piper aurantiacum Wall. ex DC.,,,,,,,,
,Aristolochiaceae ,Aristolochia L.,NEP00118,wfo-0000547501,Aristolochia acuminata Lam.,Encycl. 1: 254. 1783.,,,E Nepal: 1000-2500 m. ,,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Australasia. ",
,Aristolochiaceae ,,NEP00119,wfo-0000548281,Aristolochia roxburghiana Klotzsch,,,,,,,,
,Aristolochiaceae ,,NEP00120,wfo-0000548379,Aristolochia tagala Cham. ,,,,,,,,
,Aristolochiaceae ,,NEP00121,wfo-0000547854,Aristolochia griffithii Hook.f. & Thomson ex Duch.,Prodr. 15(1): 437. 1864. ,"O{Zj/L, lzjlnª\uL, e}F;L nx/f","Ishwari, Shivalingi, Bhainsi lahara","W, C, E Nepal: 1300-2900 m. ",,,"Nepal, E Himalaya, Tibetan Plateau and Assam-Burma. ",
