"                                 eFlora Nepal in World Flora Online (www.worldfloraonline.org).  Source:  Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal (Correspondence: ).",,,,,,,,,,,,,
Order,Family,Genera,Taxon ID,WFO_ID,Taxon names,Literature citation,Nepali name(s),,Distribution in Nepal,Plant images,,General/ global distribution,Comments
,,,,,,,Devnagari,Transliteration,,Plant photos,Herbarium specimen,,
,Gentianaceae,,NEP08878,wfo-0000698047,Gentiana moorcroftiana Wall. ex G.Don,,,,,,,,
,Gentianaceae,Gentianopsis Ma,NEP08879,wfo-0000699597,Gentianopsis contorta (Royle) Ma ,Acta Phytotax. Sin. 1(1): 14. 1951.,,,"W, C Nepal: 2800-3100 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia. ",
,Gentianaceae,,NEP08880,wfo-0000697276,Gentiana contorta Royle,,,,,,,,
,Gentianaceae,,NEP08881,wfo-0000699154,Gentianella contorta (Royle) Harry Sm. ,,,,,,,,
,Gentianaceae,,NEP08882,wfo-0000699622,Gentianopsis paludosa (Munro ex Hook.f.) Ma ,Acta Phytotax. Sin. 1(1): 14. 1951.,lgnf] ltStf ,Nilo tikta,"W, C, E Nepal: 3000-4900 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and E Asia. ",
,Gentianaceae,,NEP08883,wfo-0000697380,Gentiana detonsa var. paludosa Munro ex Hook.f.,,,,,,,,
,Gentianaceae,,NEP08884,wfo-0000699368,Gentianella paludosa (Munro ex Hook.f.) Harry Sm. ,,,,,,,,
,Gentianaceae,,NEP08885,wfo-0000699635,Gentianopsis stricta (Klotzsch) Ikonn.,Novosti Sist. Vyssh. Rast. 6: 270. 1970.,,,C Nepal: 3000-5000 m.,,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, N Asia and SW Asia.",
,Gentianaceae,,NEP08886,wfo-0000698720,Gentiana stricta Klotzsch,,,,,,,,
,Gentianaceae,,NEP08887,wfo-0000699511,Gentianella vvedenskyi (Grossh.) Harry Sm.,,,,,,,,
,Gentianaceae,,NEP08888,wfo-0000699642,Gentianopsis vvedenskyi (Grossh.) Pissjauk.,,,,,,,,
,Gentianaceae,Halenia Borkh.,NEP08889,wfo-0000714556,Halenia elliptica D.Don ,Trans. Linn. Soc. London 17(4): 529. 1837.,"ltStf, ltt] ","Tikta, Tite","W, C, E Nepal: 2000-4500 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia, N Asia and C Asia. ",
,Gentianaceae,,NEP08890,wfo-0000498048,Swertia peloria Griff.,,,,,,,,
,Gentianaceae,Kuepferia Adr.Favre,NEP08891,wfo-0001339252,Kuepferia chateri (T.N.Ho) Adr.Favre ,Taxon 63(2): 351. 2014.,,,E Nepal: 3900-4000 m. ,,,Endemic to Nepal.,
,Gentianaceae,,NEP08892,wfo-0000697201,Gentiana chateri T.N.Ho,,,,,,,,
,Gentianaceae,,NEP08893,wfo-0001339256,Kuepferia hicksii (Harry Sm.) Adr.Favre ,Taxon 63(2): 351. 2014.,,,E Nepal: 4100-4200 m. ,,,Nepal and E Himalaya.,
,Gentianaceae,,NEP08894,wfo-0000697679,Gentiana hicksii Harry Sm. ,,,,,,,,
,Gentianaceae,,NEP08895,wfo-0001339258,Kuepferia infelix (C.B.Clarke) Adr.Favre ,Taxon 63(2): 351. 2014.,,,"C, E Nepal: 4200-5600 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and Assam-Burma.",
,Gentianaceae,,NEP08896,wfo-0000697732,Gentiana infelix C.B.Clarke ,,,,,,,,
,Gentianaceae,Lomatogonium A.Braun,NEP08897,wfo-0001063962,Lomatogonium brachyantherum (C.B.Clarke) Fernald ,Rhodora 21(251): 197. 1919. ,,,"C, E Nepal: 3700-4300 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, E Asia, N Asia, C Asia and SW Asia.",
,Gentianaceae,,NEP08898,#N/A,Pleurogyne brachyanthera C.B.Clarke,,,,,,,,
,Gentianaceae,,NEP08900,wfo-0001064046,Lomatogonium caeruleum (Royle) Harry Sm. ex B.L.Burtt ,Notes Roy. Bot. Gard. Edinburgh 26: 275. 1965. ,,,"W, C Nepal: 4500 m. ",,,Nepal and W Himalaya.,
,Gentianaceae,,NEP08901,wfo-0001239549,Swertia caerulea Royle,,,,,,,,
,Gentianaceae,,NEP08902,wfo-1200027077,Lomatogonium carinthiacum (Wulfen) Rchb. ,Fl. Germ. Excurs. 421. 1831. ,ltStf ,Tikta,"W, C, E Nepal: 3100-5000 m. ",,,"Nepal, W Himalaya, Tibetan Plateau, E Asia, N Asia, C Asia and Europe. ",
,Gentianaceae,,NEP08903,wfo-0000498207,Swertia carinthiaca Wulfen,,,,,,,,
,Gentianaceae,,NEP08904,wfo-0001063966,Lomatogonium chumbicum (Burkill) Harry Sm. ,Grana Palynol. 7(1): 145. 1967. ,,,E Nepal: 3900-4300 m. ,,,"Nepal, E Himalaya and Tibetan Plateau.",
,Gentianaceae,,NEP08905,wfo-0001063965,Swertia chumbica Burkill,,,,,,,,
,Gentianaceae,,NEP08906,wfo-0001063964,Lomatogonium gamosepalum (Burkill) Harry Sm. ,Grana Palynol. 7(1): 145. 1967. ,,,C Nepal: 3800-4800 m. ,,,"Nepal, Tibetan Plateau and E Asia.",
,Gentianaceae,,NEP08907,wfo-0001063963,Swertia gamosepala Burkill,,,,,,,,
,Gentianaceae,,NEP08908,wfo-0000364645,Lomatogonium graciliflorum Harry Sm.,J. Jap. Bot. 56(9): 276. 1981.,,,"W, C, E Nepal: 3000-4500 m. ",,,Nepal and W Himalaya.,
,Gentianaceae,,NEP08909,wfo-0000364652,Lomatogonium himalayense (Klotzsch) E.Aitken ,Edinburgh J. Bot. 53(1): 87. 1996. ,,,E Nepal: 3500-4800 m. ,,,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau.",
,Gentianaceae,,NEP08910,wfo-0000466698,Pleurogyne himalayensis Klotzsch,,,,,,,,
,Gentianaceae,,NEP08899,#N/A,Lomatogonium lloydioides (Burkill) Harry Sm. ex Chater,,,,,,,,
,Gentianaceae,,NEP08911,wfo-0001063967,Lomatogonium micranthum Harry Sm.,J. Jap. Bot. 56: 277. 1981.,,,C Nepal: 2900 m. ,,,Nepal and Tibetan Plateau.,
,Gentianaceae,,NEP08912,wfo-0001063954,Lomatogonium sikkimense (Burkill) Harry Sm. ,Grana Palynol. 7(1): 145. 1967. ,,,"C, E Nepal: 3000-5000 m. ",,,"Nepal, E Himalaya and Tibetan Plateau.",
,Gentianaceae,,NEP08913,wfo-0001063953,Swertia sikkimensis Burkill,,,,,,,,
,Gentianaceae,Megacodon (Hemsl.) Harry Sm.,NEP08914,wfo-0001063797,Megacodon stylophorus (C.B.Clarke) Harry Sm. ,Symb. Sin. 7(4): 950. 1936. ,lkn] emf/ ,Pile jhar,E Nepal: 3000-4400 m. ,,,"Nepal, E Himalaya, Tibetan Plateau and E Asia. ",
,Gentianaceae,,NEP08915,wfo-0000698729,Gentiana stylophora C.B.Clarke,,,,,,,,
,Gentianaceae,Sebaea Sol. ex R.Br.,NEP08916,wfo-0000498166,Sebaea microphylla (Edgew.) Knobl. ,Bot. Centralbl. 60: 324. 1894.,,,C Nepal: ,,,"Nepal, E Himalaya, E Asia, SW Asia and Africa.",
,Gentianaceae,,NEP08917,wfo-0000604351,Cicendia microphylla Edgew.,,,,,,,,
,Gentianaceae,,NEP08918,wfo-0001063733,Sebaea khasiana C.B.Clarke,,,,,,,,
,Gentianaceae,Swertia L.,NEP08919,wfo-0000498111,Swertia acaulis Harry Sm.,"Bull. Brit. Mus. (Nat. Hist.), Bot. 4: 242. 1970.",,,"C, E Nepal: 3600-5500 m. ",,,Endemic to Nepal.,
,Gentianaceae,,NEP08920,wfo-0001063873,Swertia alata Royle ex D.Don ,Trans. Linn. Soc. London 17(4): 523. 1837. ,lr/fOtf] ,Chiraito,"W, C Nepal: 2000-3600 m. ",,,"Nepal, W Himalaya and E Himalaya. ",
,Gentianaceae,,NEP08921,#N/A,Ophelia alata (Royle ex D.Don) Griseb.,,,,,,,,
,Gentianaceae,,NEP08922,wfo-0000498107,Swertia alternifolia Royle ,Ill. Bot. Himal. Mts. 278. 1835.,,,C Nepal: 3000-4000 m. ,,,Nepal and W Himalaya.,
,Gentianaceae,,NEP08923,wfo-0001063866,Swertia angustifolia Buch.-Ham. ex D.Don var. angustifolia,Prodr. Fl. Nepal. 127. 1825. ,efn] lr/fOtf] ,Bhale chiraito,"W, C, E Nepal: 600-3800 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Gentianaceae,,NEP08924,wfo-0000383805,Ophelia angustifolia (Buch.-Ham. ex D.Don) D. Don ex G.Don,,,,,,,,
,Gentianaceae,,NEP08925,wfo-0001063868,Swertia angustifolia var. hamiltoniana Burkill,,,,,,,,
,Gentianaceae,,NEP08926,#N/A,Swertia angustifolia Buch.-Ham. ex D.Don var. wallichiana Burkill ,,,,,,,,
,Gentianaceae,,NEP08927,wfo-0001063637,Swertia angustifolia Buch.-Ham. ex D.Don var. pulchella Burkill ,J. Proc. Asiat. Soc. Bengal 2: 375. 1906.,,,"W, C, E Nepal: 2000 m. ",,,"Nepal, W Himalaya, E Himalaya, E Asia and SE Asia.",
,Gentianaceae,,NEP08928,wfo-0000383754,Ophelia porrigens D.Don,,,,,,,,
,Gentianaceae,,NEP08929,wfo-0001063865,Ophelia pulchella G.Don,,,,,,,,
,Gentianaceae,,NEP08930,wfo-0000498192,Swertia barunensis Chassot,Bot. J. Linn. Soc. 141: 389. 2003.,,,E Nepal: 3900-4600 m. ,,,Endemic to Nepal.,
,Gentianaceae,,NEP08931,wfo-0001063155,Swertia bimaculata (Siebold & Zucc.) Hook.f. & Thomson ex C.B.Clarke ,"J. Linn. Soc., Bot. 14: 449. 1875.",lr/fOtf] ,Chiraito,E Nepal: 900-2700 m.,,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia. ",
,Gentianaceae,,NEP08932,#N/A,Ophelia bimaculata Siebold & Zucc.,,,,,,,,
,Gentianaceae,,NEP08933,wfo-0001063860,Swertia bimaculata var. macrocarpa Nakai,,,,,,,,
,Gentianaceae,,NEP08934,wfo-0000498206,Swertia candelabrum Harry Sm.,Notes Roy. Bot. Gard. Edinburgh 26(2): 255. 1965. ,,,C Nepal: 4800-4900 m. ,,,Nepal and E Himalaya.,
,Gentianaceae,,NEP08935,wfo-0001429252,Swertia chirayita (Roxb.) H.Karst. ,Fl. Brit. India 4: 124. 1883. ,"lr/fOtf], ltStf ","Chiraito, Tikta","C, E Nepal: 1500-2500 m.",,,"Nepal, W Himalaya and E Himalaya. ",
,Gentianaceae,,NEP08936,#N/A,Gentiana chirayita Roxb.,,,,,,,,
,Gentianaceae,,NEP08937,wfo-0000697527,Gentiana floribunda D.Don ,,,,,,,,
,Gentianaceae,,NEP08938,wfo-0001063916,Swertia ciliata (D.Don ex G.Don) B.L.Burtt ,Notes Roy. Bot. Gard. Edinburgh 26(3): 272. 1965. ,sfnf] lr/fOtf] ,Kalo chiraito,"W, C, E Nepal: 1400-4000 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and SW Asia. ",
,Gentianaceae,,NEP08939,#N/A,Ophelia ciliata D.Don ex G.Don,,,,,,,,
,Gentianaceae,,NEP08941,wfo-0001063857,Swertia cordata (Wall. ex G.Don) C.B.Clarke ,Fl. Brit. India 4: 123. 1883.,,,"W, C, E Nepal: 2000-3000 m. ",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SW Asia.",
,Gentianaceae,,NEP08942,wfo-0001063855,Ophelia cordata Wall. ex G.Don,,,,,,,,
,Gentianaceae,,NEP08943,wfo-0001063823,Swertia cuneata Wall. ex D.Don ,London Edinburgh Philos. Mag. & J. Sci. 8: 77. 1836. ,KofhL lr/fOtf] ,Pyaji chiraito,"W, C, E Nepal: 3600-5000 m. ",,,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau. ",
,Gentianaceae,,NEP08944,wfo-1200027124,Swertia dilatata C.B.Clarke var. dilatata,Fl. Brit. India 4: 122. 1883.,,,"C, E Nepal: 1200-3600 m. ",,,"Nepal, E Himalaya and Tibetan Plateau.",
,Gentianaceae,,NEP08945,wfo-1200011983,Swertia dilatata C.B.Clarke var. pilosa C.B.Clarke ,Fl. Brit. India 4: 122. 1883.,,,C Nepal: 2500-3700 m.,,,Endemic to Nepal.,
,Gentianaceae,,NEP08946,wfo-0001063912,Swertia hispidicalyx Burkill ,J. Proc. Asiat. Soc. Bengal 2: 321. 1906.,,,C Nepal: 4000-4200 m. ,,,Nepal and Tibetan Plateau. ,
,Gentianaceae,,NEP08947,wfo-0001063846,Swertia hookeri C.B.Clarke ,Fl. Brit. India 4: 127. 1883.,,,E Nepal: 3400-4300 m. ,,,"Nepal, E Himalaya and Tibetan Plateau.",
,Gentianaceae,,NEP08948,wfo-0001063825,Swertia kingii Hook.f. ,Hooker's Icon. Pl. 15: t. 1442. 1883. ,,,"W, C, E Nepal: 3000-4500 m. ",,,"Nepal, E Himalaya and Tibetan Plateau. ",
,Gentianaceae,,NEP08949,wfo-0000497949,Swertia lurida (D.Don) C.B.Clarke,Trans. Linn. Soc. London 17(4): 528. 1837.,,,"W, C Nepal: 2400-2500 m.",,,Nepal and W Himalaya.,
,Gentianaceae,,NEP08950,wfo-0000383773,Ophelia lurida D.Don,,,,,,,,
,Gentianaceae,,NEP08951,wfo-0001063880,Swertia macrosperma (C.B.Clarke) C.B.Clarke ,Fl. Brit. India 4: 123. 1883.,,,"C, E Nepal: 1400-3500 m. ",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia.",
,Gentianaceae,,NEP08952,wfo-0001063879,Ophelia macrosperma C.B.Clarke,,,,,,,,
,Gentianaceae,,NEP08953,wfo-0001063840,Swertia multicaulis D.Don,Prodr. Fl. Nepal. 128. 1825.,zdf{ u'? ,Sharma guru,"C, E Nepal: 4000-5000 m. ",,,"Nepal, E Himalaya and Tibetan Plateau. ",
,Gentianaceae,,NEP08954,wfo-0000498056,Swertia nepalensis J.Shah,Pak. J. Forest 38(2): 79. 1988. ,,,"C, E Nepal: 3800-4700 m.",,,Endemic to Nepal. ,
,Gentianaceae,,NEP08955,wfo-0001063872,Swertia nervosa (Wall. ex G.Don) C.B.Clarke ,Fl. Brit. India 4: 125. 1883.,"ltt] lr/fOtf], sfnf] lr/fOtf] ","Tite chiraito, Kalo chiraito","W, C, E Nepal: 500-3400 m. ",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, E Asia and SE Asia. ",
,Gentianaceae,,NEP08956,wfo-0000523679,Agathotes nervosa Wall. ex G.Don,,,,,,,,
,Gentianaceae,,NEP08957,wfo-0000383761,Ophelia nervosa (G.Don) Griseb.,,,,,,,,
,Gentianaceae,,NEP08958,wfo-1200027125,Swertia paniculata Wall. var. paniculata,"Pl. Asiat. Rar. 3: 3, pl. 205. 1832.","ltt], l;/lnË] ","Tite, Sirlinge","W, C, E Nepal: 1500-4000 m. ",,,"Nepal, W Himalaya and E Himalaya. ",
,Gentianaceae,,NEP08959,#N/A,Ophelia paniculata D.Don,,,,,,,,
,Gentianaceae,,NEP08960,wfo-0001384738,Swertia paniculata var. gracilescens (Harry Sm.) T.N.Ho,Pl. Diversity Resources 35(3): 390. 2013.,,,C Nepal: 2000-3700 m. ,,,Endemic to Nepal.,
,Gentianaceae,,NEP08961,wfo-0000497981,Swertia gracilescens Harry Sm.,,,,,,,,
,Gentianaceae,,NEP08962,wfo-0001063722,Swertia petiolata D.Don ,London Edinburgh Philos. Mag. & J. Sci. 8: 77. 1836. ,,,"W, E Nepal: 3600-5600 m. ",,,"Nepal, W Himalaya, Tibetan Plateau and SW Asia. ",
,,,NEP08962a,wfo-0001428974,Swertia purpurascens Wall.,Fl. Brit. India 4: 121. 1883.,,,…….,,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma and SW Asia. ",
,Gentianaceae,,NEP08940,wfo-0000498069,Swertia pedicellata Banerji,,,,,,,,
,Gentianaceae,,NEP08963,#N/A,Swertia racemosa (Wall. ex Griseb.) C.B.Clarke ,Fl. Brit. India 4: 124. 1883. ,lr/fOtf] ,Chiraito,"W, C, E Nepal: 2000-4600 m. ",,,"Nepal, E Himalaya and Tibetan Plateau.",
,Gentianaceae,,NEP08964,wfo-0001063925,Ophelia racemosa Wall. ex Griseb.,,,,,,,,
,Gentianaceae,,NEP08965,wfo-0000498025,Swertia ramosa W.W.Sm. ,J. Proc. Asiat. Soc. Bengal 7: 77. 1911. ,,,"W, C, E Nepal: 3100-4900 m. ",,,Nepal and E Himalaya. ,
,Gentianaceae,,NEP08966,wfo-1200027126,Swertia speciosa D.Don var. speciosa,London Edinburgh Philos. Mag. & J. Sci. 8: 77. 1836. ,lr/fOtf] ,Chiraito,"W, C, E Nepal: 2900-3500 m. ",,,"Nepal, W Himalaya, E Himalaya and Tibetan Plateau. ",
,Gentianaceae,,NEP08967,wfo-0001428733,Swertia speciosa D.Don var. perfoliata (Royle ex G.Don) C.B.Clarke,Fl. Brit. India 4: 128. 1883.,,,W Nepal: 2440-4000 m. ,,,"Nepal, W Himalaya and S Asia.",
,Gentianaceae,,NEP08968,wfo-0000497952,Swertia staintonii Harry Sm.,"Bull. Brit. Mus. (Nat. Hist.), Bot. 4(2): 246, t. 28. 1970. ",,,E Nepal: 3800-4400 m. ,,,Nepal and E Himalaya.,
,Gentianaceae,,NEP08969,wfo-1200027079,Swertia tetragona Edgew.,Trans. Linn. Soc. London 20(1): 86. 1846.,,,W Nepal: 2400-3300 m. ,,,"Nepal, W Himalaya and SW Asia.",
,Gentianaceae,,NEP08970,wfo-0001063847,Swertia virescens H.Sm.,"Bull. Brit. Mus. (Nat. Hist.), Bot. 4(6): 244. 1970.",,,E Nepal: 4300-4600 m. ,,,"Nepal, E Himalaya and Tibetan Plateau.",
,Gentianaceae,,NEP08971,wfo-0001063831,Swertia wardii C.Marquand,"J. Linn. Soc., Bot. 48: 208. 1929.",,,E Nepal: 3900-4000 m. ,,,"Nepal, E Himalaya and Tibetan Plateau.",
,Gentianaceae,Tripterospermum Blume,NEP08972,wfo-0000413648,Tripterospermum fasciculatum (Wall.) Chater ,Enum. Fl. Pl. Nepal 3: 98. 1982. ,,,C Nepal: 1400 m. ,,,"Nepal, E Himalaya, Assam-Burma, S Asia and SE Asia.",
,Gentianaceae,,NEP08973,wfo-0000625809,Crawfurdia fasciculata Wall.,,,,,,,,
,Gentianaceae,,NEP08974,wfo-0000413641,Tripterospermum nigrobaccatum H.Hara,J. Jap. Bot. 40: 19. 1965.,,,E Nepal: 2300-3600 m.,,,Nepal and E Himalaya. ,
,Gentianaceae,,NEP08975,wfo-1200027094,Tripterospermum volubile (D.Don) H.Hara subsp. volubile,J. Jap. Bot. 40(1): 21. 1965.,,,"W, C, E Nepal: 1900-3200 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau and Assam-Burma.",
,Gentianaceae,,NEP08976,wfo-0000698946,Gentiana volubilis D.Don,,,,,,,,
,Gentianaceae,,NEP08977,wfo-0001366653,Tripterospermum volubile (D.Don) H.Hara subsp. longipes E.Aitken & D.G.Long,Edinburgh J. Bot. 53(1): 92. 1996. ,,,E Nepal: 1500-2750 m.,,,Nepal and E Himalaya.,
,Loganiaceae,Gardneria Wall.,NEP08978,wfo-0000694753,Gardneria angustifolia Wall.,Fl. Ind. 2: 318. 1824.,,,"W, C, E Nepal: 2100-2800 m.",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia and E Asia.",
,Loganiaceae,,NEP08979,#N/A,Gardneria glabra Buch.-Ham. ex D.Don ,,,,,,,,
,Loganiaceae,Mitrasacme Labill.,NEP08980,wfo-0001074201,Mitrasacme pygmaea R.Br. ,Prodr. 453. 1810. ,,,"C, E Nepal: 400-3100 m. ",,,"Nepal, E Himalaya, Assam-Burma, E Asia, SE Asia and Australasia. ",
,Loganiaceae,,NEP08981,wfo-0001074209,Mitrasacme pygmaea var. malaccensis (Wight) H.Hara ,,,,,,,,
,Loganiaceae,,NEP08982,wfo-0001074204,Mitrasacme capillaris Wall. ,,,,,,,,
,Loganiaceae,Mitreola L.,NEP08983,wfo-0001074184,Mitreola pedicellata Benth. ,"J. Proc. Linn. Soc., Bot. 1: 91. 1856.",,,"W, C Nepal: 900-2000 m. ",,,"Nepal, E Himalaya and E Asia.",
,Loganiaceae,,NEP08984,wfo-0000633823,Cynoctonum pedicellatum (Benth.) B.L.Rob.,,,,,,,,
,Loganiaceae,,NEP08985,wfo-0001074197,Parophiorrhiza khasiana C.B.Clarke ex Hook.f.,,,,,,,,
,Loganiaceae,,NEP08986,wfo-0000374000,Mitreola petiolata (J.F.Gmel.) Torr. & A.Gray ,Fl. N. Amer. 2(1): 45. 1841.,,,"W, C, E Nepal: 200-1000 m (Naturalized in Nepal).",,,Native range is Tropical America and Subtropical America.,
,Loganiaceae,,NEP08987,wfo-0000633825,Cynoctonum petiolatum J.F.Gmel.,,,,,,,,
,Apocynaceae,Alstonia R.Br.,NEP08988,wfo-0000952616,Alstonia neriifolia D.Don,Fl. N. Amer. 2(1): 45. 1841.,5ltjg ,Chhatiwan,"C, E Nepal: 200-2100 m. ",,,"Nepal, E Himalaya and S Asia.",
,Apocynaceae,,NEP08989,wfo-0001257712,Alstonia scholaris (L.) R.Br. ,Asclepiadeae 65. 1810.,5ltjg ,Chhatiwan,"W, C, E Nepal: 100-1000 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Australasia. ",
,Apocynaceae,,NEP08990,wfo-0001072413,Echites scholaris L.,,,,,,,,
,Apocynaceae,Beaumontia Wall.,NEP08991,wfo-0000321708,Beaumontia grandiflora Wall. ,"Tent. Fl. Napal. 1: 15, pl. 7. 1824.",":jf/L k""mn ",Swari phool,"C, E Nepal: 100-1600 m. ",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",
,Apocynaceae,,NEP08992,wfo-0000947581,Echites grandiflorus Roxb.,,,,,,,,
,Apocynaceae,Calotropis R.Br.,NEP08993,wfo-0000581490,Calotropis acia Buch.-Ham. ,Trans. Linn. Soc. London 14(2): 247. 1824.,,,E Nepal: 200-300 m. ,,,"Nepal, W Himalaya, E Himalaya, Assam-Burma and S Asia.",
,Apocynaceae,,NEP08994,wfo-0000551394,Asclepias herbacea Roxb.,,,,,,,,
,Apocynaceae,,NEP08995,wfo-0001257181,Calotropis gigantea (L.) W.T.Aiton,Hortus Kew. 2: 78. 1811.,"cfFs, ;]tf] cfFs ","Ank, Seto ank","W, C, E Nepal: 100-1500 m. ",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia.",
,Apocynaceae,,NEP08996,wfo-0000551362,Asclepias gigantea L.,,,,,,,,
,Apocynaceae,,NEP08997,#N/A,Calotropis procera (Aiton) W.T.Aiton,Hortus Kew. (ed. 2) 2: 78. 1811. ,afx|df;] cfFs ,Barhamase ank,"W, C, E Nepal: 100-600 m. ",,,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia and Tropical Africa. ",
,Apocynaceae,,NEP08998,wfo-0000551657,Asclepias procera Aiton,,,,,,,,
,Apocynaceae,Carissa L.,NEP08999,wfo-0000803077,Carissa carandas L.,Mant. Pl. 52. 1767. ,s/f}Fbf ,Karaunda,"W, C Nepal: 200-1000 m. ",,,"Nepal, Assam-Burma, S Asia and SE Asia. ",
,Apocynaceae,,NEP09000,wfo-0000803913,Carissa spinarum L. ,Mant. Pl. 2: 559. 1771. ,hª\unL s/f}Fbf ,Jangali karaunda,"W, C, E Nepal: 100-600 m. ",,,"Nepal, W Himalaya, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia, SW Asia, Africa and Australasia. ",
,Apocynaceae,,NEP09001,wfo-0000803706,Carissa paucinervia A.DC. ,,,,,,,,
,Apocynaceae,Catharanthus G.Don,NEP09002,wfo-0000819431,Catharanthus pusillus (Murray) G.Don ,Gen. Hist. 4: 95. 1836.,,,E Nepal: 800-2100 m. ,,,"Nepal, W Himalaya and S Asia.",
,Apocynaceae,,NEP09003,wfo-0000332802,Vinca pusilla Murray,,,,,,,,
,Apocynaceae,Ceropegia L.,NEP09004,wfo-1200027127,Ceropegia hookeri C.B.Clarke ex Hook.f. var. hookeri ,Fl. Brit. India 4: 73. 1883.,,,"W, C, E Nepal: 2300-3400 m.",,,"Nepal, E Himalaya and Tibetan Plateau.",
,Apocynaceae,,NEP09005,wfo-0000598235,Ceropegia hookeri C.B.Clarke ex Hook.f. var. mollis H.Huber,Mem. S. Broter. 12: 48. 1957.,,,C Nepal: 2200-2900 m. ,,,"Nepal, Tibetan Plateau and S Asia.",
,Apocynaceae,,NEP09006,wfo-0000598291,Ceropegia longifolia Wall. ,"Pl. Asiat. Rar. 1: 56, pl. 73. 1830.",,,"W, C, E Nepal: 1000-2400 m.",,,"Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and E Asia.",
,Apocynaceae,,NEP09007,wfo-0000598271,Ceropegia lanceolata Wight & Arn.,,,,,,,,
,Apocynaceae,,NEP09008,wfo-0000598309,Ceropegia macrantha Wight ,Contr. Bot. India 31. 1834.,,,C Nepal: 100-2600 m.,,,"Nepal, W Himalaya, E Himalaya, Assam-Burma and S Asia.",
,Apocynaceae,,NEP09009,wfo-0000598329,Ceropegia meleagris H.Huber,Mem. Soc. Brot. 12: 48. 1957.,,,"W, C Nepal: 1600-2500 m. ",,,Endemic to Nepal.,
,Apocynaceae,,NEP09010,#N/A,Ceropegia nepalensis (Radcl.-Sm.) Bruyns,S. African J. Bot. 112: 412. 2017.,,,"W, C Nepal: 2700-3500 m. ",,,Endemic to Nepal.,
,Apocynaceae,,NEP09011,wfo-0000402213,Riocreuxia nepalensis Radcl.-Sm.,,,,,,,,
,Apocynaceae,,NEP09012,wfo-0000570585,Brachystelma nepalense (Radcl.-Sm.) Meve ,,,,,,,,
,Apocynaceae,,NEP09013,wfo-0000598410,Ceropegia poluniniana P.Bruyns,Kew Bull. 44(4): 723. 1989. ,,,W Nepal: 1500-1600 m. ,,,Endemic to Nepal.,
,Apocynaceae,,NEP09014,wfo-0000598418,Ceropegia pubescens Wall.,"Pl. Asiat. Rar. 2: 81, t. 187. 1831.","lds]{ nx/f, jg l;dL ","Mirke lahara, Ban simi","W, C, E Nepal: 600-3900 m.",,,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",
,Apocynaceae,,NEP09015,wfo-1200027080,Ceropegia staintonii (H.Hara) Bruyns,S. African J. Bot. 112: 413. 2017.,,,W Nepal: 1300-2200 m. ,,,S Asia.,
,Apocynaceae,,NEP09016,wfo-0000586333,Caralluma staintonii H.Hara,,,,,,,,
,Apocynaceae,,NEP09017,wfo-0000540982,Apteranthes staintonii (H.Hara) Meve & Liede ,,,,,,,,
,Apocynaceae,,NEP09018,wfo-0000569019,Borealluma staintonii (H.Hara) Plowes,,,,,,,,
,Apocynaceae,,NEP09019,wfo-0000598569,Ceropegia wallichii Wight,Contr. Bot. Ind. 32. 1834.,,,"W, C Nepal: 2400-2900 m.",,,"Nepal, W Himalaya and S Asia.",
