WFOID,Country,LocalID,scientificName,Ecology,Distribution,rights,license,bibliographicCitation,compiler
wfo-0001094052,NP,NEP00094,Peperomia heyneana Miq.,"C, E Nepal: 800-2600 m.","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia and E Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000479217,NP,NEP00097,Peperomia tetraphylla Hook. & Arn.,"W, C, E Nepal: 1000-2500 m.","Nepal, W Himalaya, E Himalaya, Tibetan Plateau, Assam-Burma, S Asia, SE Asia, Africa, N and S America. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001094092,NP,NEP00101,Piper boehmeriifolium (Miq.) Wall. ex C.DC.,"C, E Nepal: 300-1500 m.","Nepal, E Himalaya, Assam-Burma, S Asia, E Asia and SE Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000486013,NP,NEP00104,Piper longum L.,"W, C, E Nepal: 100-800 m. ","Nepal, E Himalaya, S Asia, E Asia and SE Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001094058,NP,NEP00105,Piper mullesua Buch.-Ham. ex D.Don,"W, C, E Nepal: 400-2500 m.","Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and E Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000486372,NP,NEP00109,Piper peepuloides Roxb.,"C, E Nepal: 400-2000 m. ","Nepal, E Himalaya, Assam-Burma and S Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001248365,NP,NEP00112,Piper rhytidocarpum Hook.f.,E Nepal: 1600 m. ,"Nepal, E Himalaya, Tibetan Plateau, Assam-Burma and S Asia.",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001248440,NP,NEP00113,Piper suipigua Buch.-Ham. ex D.Don,"W, C, E Nepal: 200-2000 m. ","Nepal, E Himalaya, Assam-Burma, S Asia and E Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0001094083,NP,NEP00115,Piper wallichii (Miq.) Hand.-Mazz.,"C, E Nepal: 100-2800 m. ","Nepal, E Himalaya, Assam-Burma, S Asia and E Asia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
wfo-0000547501,NP,NEP00118,Aristolochia acuminata Lam.,E Nepal: 1000-2500 m. ,"Nepal, E Himalaya, Assam-Burma, S Asia, E Asia, SE Asia and Australasia. ",https://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0),"Shrestha. K.K., Bhandari, P., and Bhattarai, S. (2022). Plants of Nepal (Gymnosperms & Angiosperms). Heritage Publishers & Distributors Pvt. Ltd., Kathmandu, Nepal","Shrestha, K.K."
