wfo-0000123232	urn:lsid:ipni.org:names:238741-1
wfo-0000123881	urn:lsid:ipni.org:names:185830-1
wfo-0000124715	urn:lsid:ipni.org:names:224931-1
wfo-0000125384	urn:lsid:ipni.org:names:258339-1
wfo-0000127197	urn:lsid:ipni.org:names:238742-1
wfo-0000128274	urn:lsid:ipni.org:names:204977-1
wfo-0000129192	urn:lsid:ipni.org:names:229051-1
wfo-0000132017	urn:lsid:ipni.org:names:259229-1
wfo-0000139344	urn:lsid:ipni.org:names:277825-2
wfo-0000156575	urn:lsid:ipni.org:names:268467-1
wfo-0000156717	urn:lsid:ipni.org:names:268826-1
wfo-0000156965	urn:lsid:ipni.org:names:269657-1
wfo-0000160796	urn:lsid:ipni.org:names:571610-1
wfo-0000163726	urn:lsid:ipni.org:names:234467-2
wfo-0000164042	urn:lsid:ipni.org:names:518341-1
wfo-0000164084	urn:lsid:ipni.org:names:138955-2
wfo-0000164126	urn:lsid:ipni.org:names:484704-1
wfo-0000164376	urn:lsid:ipni.org:names:161532-2
wfo-0000165372	urn:lsid:ipni.org:names:313242-2
wfo-0000165558	urn:lsid:ipni.org:names:489200-1
wfo-0000166378	urn:lsid:ipni.org:names:491229-1
wfo-0000166389	urn:lsid:ipni.org:names:491231-1
wfo-0000166618	urn:lsid:ipni.org:names:509665-1
wfo-0000168651	urn:lsid:ipni.org:names:498815-1
wfo-0000168995	urn:lsid:ipni.org:names:500996-1
wfo-0000169101	urn:lsid:ipni.org:names:501137-1
wfo-0000169581	urn:lsid:ipni.org:names:507171-1
wfo-0000170216	urn:lsid:ipni.org:names:515937-1
wfo-0000170413	urn:lsid:ipni.org:names:514346-1
wfo-0000170719	urn:lsid:ipni.org:names:518040-1
wfo-0000171180	urn:lsid:ipni.org:names:524263-1
wfo-0000172093	urn:lsid:ipni.org:names:525865-1
wfo-0000172643	urn:lsid:ipni.org:names:516403-1
wfo-0000172888	urn:lsid:ipni.org:names:516510-1
wfo-0000172921	urn:lsid:ipni.org:names:516428-1
wfo-0000172982	urn:lsid:ipni.org:names:472634-1
wfo-0000173047	urn:lsid:ipni.org:names:472645-1
wfo-0000173179	urn:lsid:ipni.org:names:472694-1
wfo-0000173255	urn:lsid:ipni.org:names:472713-1
wfo-0000173341	urn:lsid:ipni.org:names:472740-1
wfo-0000173351	urn:lsid:ipni.org:names:472744-1
wfo-0000173425	urn:lsid:ipni.org:names:472786-1
wfo-0000173848	urn:lsid:ipni.org:names:472916-1
wfo-0000173904	urn:lsid:ipni.org:names:472931-1
wfo-0000174009	urn:lsid:ipni.org:names:472942-1
wfo-0000174031	urn:lsid:ipni.org:names:472949-1
wfo-0000174062	urn:lsid:ipni.org:names:472956-1
wfo-0000174795	urn:lsid:ipni.org:names:498731-1
wfo-0000174890	urn:lsid:ipni.org:names:498737-1
wfo-0000174985	urn:lsid:ipni.org:names:498747-1
wfo-0000175154	urn:lsid:ipni.org:names:498759-1
wfo-0000175422	urn:lsid:ipni.org:names:501278-1
wfo-0000175766	urn:lsid:ipni.org:names:501293-1
