WFOID,identifier,vernacularName,isPreferredName,source,language,countryCode,uri,rights,license,bibliographicCitation
wfo-0000814822,ver-THA-0000814822.04,ko hin (ก่อหิน)(Eastern),0.0,ref-THA-0000814822,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03876,Forest Herbarium,All rights reserved,"Castanopsis piriformis. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 227. Accessed 2021-07-31"
wfo-0000814822,ver-THA-0000814822.05,ko kin luk (ก่อกินลูก)(Peninsular),0.0,ref-THA-0000814822,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03876,Forest Herbarium,All rights reserved,"Castanopsis piriformis. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 227. Accessed 2021-07-31"
wfo-0000792524,ver-THA-0000792524.01,ko daeng (ก่อแดง)(Southeastern),0.0,ref-THA-0000792524,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03877,Forest Herbarium,All rights reserved,"Castanopsis pseudohystrix. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000792524,ver-THA-0000792524.02,ko bai lueam (ก่อใบเลื่อม)(Southeastern),0.0,ref-THA-0000792524,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03877,Forest Herbarium,All rights reserved,"Castanopsis pseudohystrix. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000792524,ver-THA-0000792524.03,ko dueai (ก่อเดือย)(Southeastern),0.0,ref-THA-0000792524,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03877,Forest Herbarium,All rights reserved,"Castanopsis pseudohystrix. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814876,ver-THA-0000814876.01,ko ti (ก่อตี)(Northern),0.0,ref-THA-0000814876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03878,Forest Herbarium,All rights reserved,"Castanopsis purpurea. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814876,ver-THA-0000814876.02,ko sai (ก่อทราย)(Northern),0.0,ref-THA-0000814876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03878,Forest Herbarium,All rights reserved,"Castanopsis purpurea. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814876,ver-THA-0000814876.03,ko ap (ก่อแอบ)(Northern),0.0,ref-THA-0000814876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03878,Forest Herbarium,All rights reserved,"Castanopsis purpurea. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814876,ver-THA-0000814876.04,ko yum (ก่อหยุม)(Northern),0.0,ref-THA-0000814876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03878,Forest Herbarium,All rights reserved,"Castanopsis purpurea. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814876,ver-THA-0000814876.05,ko nam (ก่อหนาม)(Northern),0.0,ref-THA-0000814876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03878,Forest Herbarium,All rights reserved,"Castanopsis purpurea. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814876,ver-THA-0000814876.06,ko ta mu (ก่อตาหมู)(Northern),0.0,ref-THA-0000814876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03878,Forest Herbarium,All rights reserved,"Castanopsis purpurea. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814876,ver-THA-0000814876.07,ko lim (ก่อลิ่ม)(Northern),0.0,ref-THA-0000814876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03878,Forest Herbarium,All rights reserved,"Castanopsis purpurea. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814876,ver-THA-0000814876.08,ko khao (ก่อเขา)(Eastern),0.0,ref-THA-0000814876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03878,Forest Herbarium,All rights reserved,"Castanopsis purpurea. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814876,ver-THA-0000814876.09,ko dan (ก่อดาน)(Peninsular),0.0,ref-THA-0000814876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03878,Forest Herbarium,All rights reserved,"Castanopsis purpurea. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814876,ver-THA-0000814876.10,ko nam (ก่อหนาม)(Peninsular),0.0,ref-THA-0000814876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03878,Forest Herbarium,All rights reserved,"Castanopsis purpurea. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814876,ver-THA-0000814876.11,be-ra-ngae-ba-bi (เบราแง้บาบี)(Peninsular),0.0,ref-THA-0000814876,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03878,Forest Herbarium,All rights reserved,"Castanopsis purpurea. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 229. Accessed 2021-07-31"
wfo-0000814976,ver-THA-0000814976.01,ko khi mu (ก่อขี้หมู)(Southwestern),0.0,ref-THA-0000814976,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03879,Forest Herbarium,All rights reserved,"Castanopsis rhamnifolia. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 231. Accessed 2021-07-31"
wfo-0000815011,ver-THA-0000815011.01,ko rok (ก่อรอค)(Northern),0.0,ref-THA-0000815011,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03880,Forest Herbarium,All rights reserved,"Castanopsis rockii. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 233. Accessed 2021-07-31"
wfo-0000815066,ver-THA-0000815066.01,ko khiao mu (ก่อเขี้ยวหมู)(Peninsular),0.0,ref-THA-0000815066,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03881,Forest Herbarium,All rights reserved,"Castanopsis schefferiana. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 233. Accessed 2021-07-31"
wfo-0000815066,ver-THA-0000815066.02,ko mu (ก่อหมู)(Peninsular),0.0,ref-THA-0000815066,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03881,Forest Herbarium,All rights reserved,"Castanopsis schefferiana. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 233. Accessed 2021-07-31"
wfo-0000815066,ver-THA-0000815066.03,mak ko nam (มักก่อหนาม)(Eastern),0.0,ref-THA-0000815066,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03881,Forest Herbarium,All rights reserved,"Castanopsis schefferiana. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 233. Accessed 2021-07-31"
wfo-0000815159,ver-THA-0000815159.01,ko mae lao (ก่อแม่ลาว)(Northern),0.0,ref-THA-0000815159,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03882,Forest Herbarium,All rights reserved,"Castanopsis siamensis. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 237. Accessed 2021-07-31"
wfo-0000815159,ver-THA-0000815159.02,ko sa yam (ก่อสยาม)(Northern),0.0,ref-THA-0000815159,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03882,Forest Herbarium,All rights reserved,"Castanopsis siamensis. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 237. Accessed 2021-07-31"
wfo-0000792525,ver-THA-0000792525.01,ko khao kwang (ก่อเขากวาง)(Northern),0.0,ref-THA-0000792525,TH,THA,https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03883,Forest Herbarium,All rights reserved,"Castanopsis thaiensis. Flora of Thailand. Vol. 9. Part 3, 2008. Pg. 239. Accessed 2021-07-31"
