"wfo_id","description","type","BibliographicCitation","URL","licence","provider"
"wfo-1200001415","Indonesia, New Guinea (W), Lake Habbema; Mt Jaya.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1000002514","Indonesia, (West New Guinea), West Papua, Mokwam, Siobri. ","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000403008","Indonesia, New Guinea (W), Wissel Lakes, and on the southern side of Mt Jaya (Carstensz).","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001350","Papua New Guinea, New Guinea, the Main Range from the Star Mts to the Owen Stanley Range, Mt Garatun in the Milne Bay District, the Cromwell Mts, on Mt Saruwaged and the Finisterre Range.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001351","Indonesia, Wissel Lakes and Wamena regions.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001332431","Indonesia, Papua Province, Baliem Valley.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-1200001513","Indonesia, New Guinea (W), Baliem R. Valley.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0001384080","Indonesia, New Guinea (W), mountain valleys above Wamena.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400506","Indonesia, New Guinea (W), Mt Agathodaemontop in Hellwig Mts; Mts Hubrecht and Wichmann on the southern and near Lake Habbema on the northern side of the Orange Mts; Mt Amdutakin in the Hindenberg Range. Papua New Guinea, Telefomin, West Sepik District and W of Oksapmin.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400616","Indonesia, New Guinea (W), Main Range from Mt Carstensz to the Hellwig Mts and Mt Goliath.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000507899","Indonesia. New Guinea (W). Only known from the type collection in the NW of the Baliem Valley.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000507898","Indonesia. New Guinea (W). Only known from the type material collected in the NW of the Baliem Valley.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400236","Indonesia, New Guinea (W), Sibil River Valley.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000405383","Indonesia, New Guinea (W), Abmisibil near the eastern border. Papua New Guinea, Simbu (Chimbu) District, Gumine subdistrict, Yani area, Dirima–Gomgali road, towards the lower slopes of Mt Digine, Kubor Range. Enga Province, on the Laiagam–Porgera road, Mt Maip (Tipinini side).","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
"wfo-0000400685","Papua New Guinea, Ogeramnang in the Sattelberg–Saruwaged area, and Purosa in the Okapa area, Eastern High-lands. Enga Province, Porgera District, Bealo, (Paiela Census division), Lagaip District; Southern Highlands Highland Lodge, Tari-Pori District.","Distribution","Argent G. 2015, Rhododendrons subgen. Vireya 2nd edn.","https://research-scotland.ac.uk/items/235dc3cf-47be-44c3-9438-fb1803f4141f#:~:text=https%3A//hdl.handle.net/20.500.12594/1547","CC0 1.0 Universal (CC0 1.0)","Royal Botanic Garden Edinburgh"
