taxonID,vernacularName,language,languageName,rightsHolder,license
wfo-0000297056,moboto,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320072,momunga,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,iefola,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320074,ekakoloka,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000933760,imbiro,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000318727,esoda,lin,Lingala,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000081359,vumba-vumba,lks,Kisa/Olushisa,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,hape,log,Logo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,apa,log,Logo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000070418,kumuadre,log,Logo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000568358,bokwankosu,lol,Mongo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320104,mbanja ea bokili,lol,Mongo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000530260,kwele-kwele,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000530326,lonenge,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000212788,waka bo lowe,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000212788,waka bo ilo,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000212788,waka,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000176136,lilila li bote,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000176136,isaala i fufow,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000176136,isaala i bote,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000176136,imbambaya,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000526544,basaso basaso,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000526548,basaso basaso,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000297056,lisongo,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000568358,liuma,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320104,liaala li libande,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320104,liaala,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320104,itelanga,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320104,inaolo a lossomba,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320104,inaolo a liaala,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000919529,liaala lisaala,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000919529,liaala li isaala,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000919529,liaala,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320103,liaala li isaala,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,longonga lo tulumi,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,longonga lo tokembe,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,longonga,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,lofondonda lo libande,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,inaolo a ndolo,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,ekwosolo,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,ekwoloso,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,ekasakasa,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,ekakasa,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000933760,likowfi,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000933760,itoko,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000933760,itobitobi,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320116,tohofo,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000031264,limbiti,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320098,bangambala,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000070418,alumbalumba,loo,Lombo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302560,monana,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000526544,musole,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000297056,mulele,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000297056,mulela,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000297056,kitululundu,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000297056,tshilela,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000577156,kapanlangosi,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,tshipanda,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,tshinkassa,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,tshimpande,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,tshimpanda,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,mengo,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,kimpande,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,bumwa,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000318733,tshitonto,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000318733,susa,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320134,mobole,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000919515,pungwa lufike,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000560740,mususongati,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320134,tshibobo,lua,Luba-Lulua,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320104,munkuba,lub,Luba-Katanga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000560740,musosongodi,lub,Luba-Katanga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320111,kwendankuku,lub,Luba-Katanga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320110,pandeluku,lub,Luba-Katanga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320116,kale,lub,Luba-Katanga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000081359,fumbafumba,lub,Luba-Katanga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000098602,lukuya,lub,Luba-Katanga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000085247,namatungo,lub,Luba-Katanga,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001320123,netobutobu,mdj,Mangbetu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,maberu,mdj,Mangbetu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000313555,kobo,mdj,Mangbetu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000236816,nebubu,mdj,Mangbetu,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0000297056,betsi,mdm,Mayogo,Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
wfo-0001302707,mugombegombe,mho,Mashi (Zambia),Meise Botanic Garden,http://creativecommons.org/licenses/by/4.0/
