WFOID	countryCode	locationID	locality	establishmentMeans	source
wfo-0000545075	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545077	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001389826	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545090	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545102	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545233	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545248	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545255	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545258	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545283	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545305	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545314	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545320	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545337	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545341	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545370	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545379	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000545388	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000546980	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000547534	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000547713	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000547763	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000547853	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000547862	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000547872	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000547943	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000548202	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000548223	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000548271	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000548379	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000548456	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000276216	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000549895	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001255220	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001117818	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000147888	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001125813	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001107754	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000550703	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000340706	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000340708	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000340746	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000552287	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000552347	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000552372	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000552383	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000552401	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000552402	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001108093	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001122737	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000152868	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001109307	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001115210	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000153991	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001118246	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001125539	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001116665	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001116261	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001109315	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001110133	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001126705	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001275647	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001122745	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000157261	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001108064	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001108020	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001125540	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000158070	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001108058	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001108025	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000158217	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001108076	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000158243	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001118135	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001275642	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001125541	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001128165	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000159274	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001227409	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001237618	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001116683	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001115217	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001108108	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001107227	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001109367	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001114942	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000552878	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001117798	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001117797	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001118527	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001122800	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000301941	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000557404	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000557405	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000558019	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001109619	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0001107239	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000304430	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000304473	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000304837	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000304880	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000304892	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000304975	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000305017	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000305136	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000305238	TH	THA	Thailand	Managed	Flora of Thailand
wfo-0000305259	TH	THA	Thailand	Managed	Flora of Thailand
