WFOID	identifier	bibliographicCitation	URI
wfo-0000199751	ref-THA-0000199751	"Albizia Iebbekoides. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 194. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00842
wfo-0000184271	ref-THA-0000184271	"Albizia lebbeck. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 186. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00836
wfo-0000196896	ref-THA-0000196896	"Albizia lucidior. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 189. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00839
wfo-0000199754	ref-THA-0000199754	"Albizia myriophylla. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 198. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00846
wfo-0000185541	ref-THA-0000185541	"Albizia odoratissima. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 196. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00844
wfo-0000186098	ref-THA-0000186098	"Albizia procera. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 191. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00840
wfo-0000188054	ref-THA-0000188054	"Albizia retusa. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 189. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00838
wfo-0000199762	ref-THA-0000199762	"Albizia vialeana. Flora of Thailand. Vol. 4. Part 2, 1985. Pg. 196. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=00843
wfo-0000939798	ref-THA-0000939798	"Alchornea rugosa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 44. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03145
wfo-0000939809	ref-THA-0000939809	"Alchornea rugosa macrocarpa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 46. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/florainfra.html?tdcode=03147
wfo-0001234632	ref-THA-0001234632	"Alchornea rugosa rugosa. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 46. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/florainfra.html?tdcode=03146
wfo-0000940007	ref-THA-0000940007	"Alchornea tiliifolia. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 47. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03148
wfo-0000940018	ref-THA-0000940018	"Alchornea trewioides. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 47. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03149
wfo-0001138540	ref-THA-0001138540	"Alectra avensis. Flora of Thailand. Vol. 5. Part 2, 1990. Pg. 222. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01189
wfo-0000940858	ref-THA-0000940858	"Aleurites moluccana. Flora of Thailand. Vol. 8. Part 1, 2005. Pg. 49. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03151
wfo-0000755470	ref-THA-0000755470	"Alisma plantago-aquatica. Flora of Thailand. Vol. 7. Part 3, 2001. Pg. 352. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02512
wfo-0000943159	ref-THA-0000943159	"Allamanda cathartica. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 70. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02197
wfo-0000943361	ref-THA-0000943361	"Allamanda schottii. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 72. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02198
wfo-0000526239	ref-THA-0000526239	"Allmania nodiflora. Flora of Thailand. Vol. 5. Part 4, 1992. Pg. 382. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=01222
wfo-0000526604	ref-THA-0000526604	"Allophylus cobbe. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 176. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02317
wfo-0000528348	ref-THA-0000528348	"Alsomitra macrocarpa. Flora of Thailand. Vol. 9. Part 4, 2008. Pg. 416. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=03981
wfo-0000951882	ref-THA-0000951882	"Alstonia angustiloba. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 42. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02163
wfo-0000952121	ref-THA-0000952121	"Alstonia curtisii. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 42. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02164
wfo-0000952530	ref-THA-0000952530	"Alstonia macrophylla. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 44. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02165
wfo-0000952898	ref-THA-0000952898	"Alstonia rostrata. Flora of Thailand. Vol. 7. Part 1, 1999. Pg. 44. Accessed 2021-07-31"	https://botany.dnp.go.th/eflora/floraspecies.html?tdcode=02166
