WFOID	localId
wfo-0000623524	972
wfo-0000623526	973
wfo-0000362979	974
wfo-0000363056	975
wfo-0000363111	976
wfo-0000363601	977
wfo-0001015046	978
wfo-0000623647	979
wfo-0000363933	980
wfo-0000625674	981
wfo-0000625678	982
wfo-0000625711	983
wfo-0000625724	984
wfo-0000625843	985
wfo-0001226964	986
wfo-0001126769	987
wfo-0001109776	988
wfo-0001226969	989
wfo-0000145670	990
wfo-0000145674	991
wfo-0000145683	993
wfo-0001125318	994
wfo-0001117769	995
wfo-0001116517	996
wfo-0001226974	997
wfo-0000145690	998
wfo-0001226953	999
wfo-0001125786	1000
wfo-0001226978	1001
wfo-0000782020	1002
wfo-0000782030	1003
wfo-0000364504	1004
wfo-0000927338	1005
wfo-0000927482	1006
wfo-0000927588	1007
wfo-0000927601	1008
wfo-0000927697	1009
wfo-0000927753	1010
wfo-0000364525	1011
wfo-0000927803	1012
wfo-0000931172	1013
wfo-0000931249	1014
wfo-0000931280	1015
wfo-0000931372	1016
wfo-0000931393	1017
wfo-0000364558	1018
wfo-0000931396	1019
wfo-0000931405	1020
wfo-0000931539	1021
wfo-0000931671	1022
wfo-0000932001	1023
wfo-0000932033	1024
wfo-0000364595	1025
wfo-0000932204	1026
wfo-0000932221	1027
wfo-0000932337	1028
wfo-0000932432	1031
wfo-0000932549	1032
wfo-0000932555	1033
wfo-0000932717	1034
wfo-0000199611	1035
wfo-0000199612	1036
wfo-0000199616	1037
wfo-0000199617	1038
wfo-0000199620	1039
wfo-0000199622	1040
wfo-0001125804	1041
wfo-0001125812	1042
wfo-0001115938	1043
wfo-0001125797	1044
wfo-0001260483	1045
wfo-0000148009	1046
wfo-0001125807	1047
wfo-0001125801	1048
wfo-0001127475	1050
wfo-0000933111	1051
wfo-0001117889	1052
wfo-0001262457	1053
wfo-0001115883	1054
wfo-0001117858	1055
wfo-0000933411	1056
wfo-0001260751	1057
wfo-0001260753	1058
wfo-0001125819	1059
wfo-0001126866	1060
wfo-0001117867	1061
wfo-0000628887	1062
wfo-0000508970	1063
wfo-0000628914	1064
wfo-0000628992	1065
wfo-0000629095	1066
wfo-0000629110	1067
wfo-0000629123	1068
wfo-0001255454	1069
wfo-0001125321	1070
wfo-0001128161	1071
wfo-0001115244	1072
wfo-0001118146	1073
wfo-0001115178	1074
wfo-0001107268	1075
wfo-0000631218	1076
wfo-0000631521	1077
wfo-0000631609	1078
wfo-0000631611	1079
wfo-0000631639	1081
wfo-0000631644	1082
wfo-0000631666	1083
wfo-0000632045	1084
wfo-0000632046	1085
wfo-0000632067	1086
wfo-0000632079	1087
wfo-0000632088	1088
wfo-0001125570	1089
wfo-0000165841	1091
wfo-0000199623	1092
wfo-0000187706	1093
wfo-0000199631	1094
wfo-0000192868	1095
wfo-0000368290	1096
wfo-0000369396	1097
wfo-0000369470	1098
wfo-0000369738	1099
wfo-0000369779	1100
wfo-0000370376	1101
wfo-0000370828	1102
wfo-0000370936	1103
wfo-0000370984	1104
wfo-0000371697	1105
wfo-0000371820	1106
wfo-0000372020	1107
wfo-0000372214	1108
wfo-0000372493	1109
wfo-0000373077	1110
wfo-0000374429	1111
wfo-0000374472	1112
wfo-0000375064	1113
wfo-0000375418	1114
wfo-0000375442	1115
wfo-0000375604	1116
wfo-0000376670	1117
wfo-0000376711	1119
wfo-0000376893	1120
wfo-0000377477	1121
wfo-0001302265	1122
wfo-0000377723	1123
wfo-0000377879	1124
wfo-0000377920	1125
wfo-0000378352	1126
wfo-0000378418	1127
wfo-0000378423	1128
wfo-0000378425	1129
wfo-0000378607	1130
wfo-0000378672	1131
wfo-0000379032	1132
wfo-0000379135	1133
wfo-0000379694	1134
wfo-0000379977	1135
wfo-0000380345	1136
wfo-0000380720	1137
wfo-0000380997	1138
wfo-0000381487	1139
wfo-0000382726	1140
wfo-0000382899	1141
wfo-0000383008	1143
wfo-0000383810	1144
wfo-0000383910	1145
wfo-0000384026	1146
wfo-0000384110	1147
wfo-0000636137	1148
wfo-0000636139	1149
wfo-0000636147	1150
wfo-0001109556	1151
wfo-0000636661	1152
wfo-0000937204	1153
wfo-0000937270	1154
wfo-0000937271	1155
wfo-0000637556	1156
wfo-0000637911	1157
wfo-0000140484	1158
wfo-0001112749	1159
wfo-0001124802	1160
wfo-0000140590	1161
wfo-0001111449	1162
wfo-0001255610	1163
wfo-0001255611	1164
wfo-0000140679	1166
wfo-0000140687	1167
wfo-0000938013	1168
wfo-0000938023	1169
wfo-0000938025	1170
wfo-0001366308	1171
wfo-0000639165	1172
wfo-0000639179	1173
wfo-0000166389	1174
wfo-0000641209	1175
wfo-0000641231	1176
wfo-0000641236	1177
wfo-0000641240	1178
wfo-0000641253	1179
wfo-0000641278	1180
wfo-0000641542	1181
wfo-0000641567	1182
wfo-0001107281	1183
wfo-0001125712	1184
wfo-0001116140	1185
wfo-0001114366	1186
wfo-0001127907	1187
wfo-0001125347	1188
wfo-0000199436	1189
wfo-0000199437	1190
wfo-0000199442	1191
wfo-0000765197	1192
wfo-0001229927	1193
wfo-0001254565	1194
wfo-0001107285	1195
wfo-0001117735	1196
wfo-0001117733	1199
wfo-0001124457	1200
wfo-0001108279	1201
wfo-0000145739	1202
wfo-0000647511	1203
wfo-0000647544	1204
wfo-0000647555	1205
wfo-0000647562	1206
wfo-0000647564	1207
wfo-0000647601	1208
wfo-0000647605	1209
wfo-0000647610	1210
wfo-0000647615	1211
wfo-0000647643	1212
wfo-0000647780	1213
wfo-0001364897	1215
wfo-0000647787	1216
wfo-0000647790	1218
wfo-0000943499	1220
wfo-0000943501	1221
wfo-0000648493	1222
wfo-0000648506	1224
wfo-0000648509	1225
wfo-0000648546	1226
wfo-0000648560	1227
wfo-0000648591	1228
wfo-0000648598	1229
wfo-0000648612	1230
wfo-0000648652	1231
wfo-0000648659	1232
wfo-0000648699	1234
wfo-0000648705	1235
wfo-0000648745	1236
wfo-0000648746	1237
wfo-0000648757	1238
wfo-0000648759	1239
wfo-0000648772	1240
wfo-0000648774	1241
wfo-0000648792	1242
wfo-0000648807	1243
wfo-0000648873	1244
wfo-0000648906	1246
wfo-0000648941	1247
wfo-0000648967	1248
wfo-0000648970	1249
wfo-0000648995	1250
wfo-0000649022	1251
wfo-0000649048	1252
wfo-0000649111	1253
wfo-0000649152	1254
wfo-0000649186	1255
wfo-0000649192	1256
wfo-0000649200	1257
wfo-0000649235	1258
wfo-0000649282	1259
wfo-0000649283	1261
wfo-0000649309	1262
wfo-0000649357	1263
wfo-0000649364	1264
wfo-0000649430	1265
wfo-0000649506	1266
wfo-0000649540	1267
wfo-0000649551	1268
wfo-0000649596	1269
wfo-0000649610	1270
wfo-0000649637	1271
wfo-0000649663	1272
wfo-0000649725	1273
wfo-0000649731	1274
wfo-0000649814	1275
wfo-0000649824	1276
wfo-0000649851	1277
wfo-0000649863	1278
wfo-0000649864	1280
wfo-0000649873	1281
wfo-0000649876	1282
wfo-0000649889	1283
wfo-0000649908	1286
wfo-0000649926	1287
wfo-0000649937	1288
wfo-0000649936	1289
wfo-0000649971	1290
wfo-0000649981	1291
wfo-0000396895	1292
wfo-0000396918	1293
wfo-0001108167	1294
wfo-0001266206	1295
wfo-0001116784	1296
wfo-0001223859	1297
wfo-0001126643	1298
wfo-0001107290	1299
wfo-0001114652	1300
wfo-0001109577	1301
wfo-0001118137	1302
wfo-0000154548	1303
wfo-0001244883	1304
wfo-0001122923	1305
wfo-0001116768	1306
wfo-0001118615	1307
