taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000122737,"Guinée équatoriale (Bioko), Gabon, République démocratique du Congo, Rwanda et Ouganda ; au Gabon, connu de la Ngounié et de la Nyanga (Massif du Chaillu et Massif du Mayombe).",distribution,fre,,,,,ref-Gbn-0000122737,,
wfo-0000124691,"Afrique centrale et orientale, y compris la République démocratique du Congo, le Rwanda, le Burundi et l’Angola ; au Gabon, connu de la Ngounié.",distribution,fre,,,,,ref-Gbn-0000124691,,
wfo-0000125251,"Afrique de l’Ouest, de la Guinée vers le sud jusqu’au Soudan du Sud et au Kenya, y compris le Nigéria, le Cameroun, la République du Congo et la République démocratique du Congo et la République Centrafricaine ; au Gabon, connu d’un seul spécimen de la Nyanga.",distribution,fre,,,,,ref-Gbn-0000125251,,
wfo-0000128539,"Afrique occidentale et centrale, y compris le Cameroun, la Guinée équatoriale, la République démocratique du Congo, la République Centrafricaine et l’Angola ; au Gabon, connu du Moyen-Ogooué, de la Ngounié et de l’Ogooué-Ivindo.",distribution,fre,,,,,ref-Gbn-0000128539,,
wfo-0000128668,"Afrique de l’Ouest et du Centre-Ouest, y compris le Nigéria, le Cameroun, la Guinée équatoriale, la République du Congo, la République Centrafricaine, la République démocratique du Congo et l’Angola ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, du Moyen-Ogooué, de la Ngounié, de la Nyanga, de l’Ogooué-Ivindo et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000128668,,
wfo-0000129192,"largement répandu en Afrique tropicale, de la Sierra Leone jusqu’en Éthiopie et au sud vers l’Afrique du Sud, y compris Madagascar ; au Gabon, connu du Haut-Ogooué et de l’Ogooué-Ivindo.",distribution,fre,,,,,ref-Gbn-0000129192,,
wfo-0000132037,"répandu en Afrique centrale, orientale et austro-orientale, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la République du Congo, la République démocratique du Congo, la République Centrafricaine et en Angola ; au Gabon, connu d’une seule collection de la Ngounié.",distribution,fre,,,,,ref-Gbn-0000132037,,
wfo-0000132639,"Cameroun, République démocratique du Congo, Angola et Ouganda ; au Gabon, connu du Haut-Ogooué et de l’Ogooué-Lolo.",distribution,fre,,,,,ref-Gbn-0000132639,,
wfo-0000132960,"pantropicale, y compris le Nigéria, le Cameroun, la République Centrafricaine, la Guinée équatoriale, la République du Congo et la République démocratique du Congo ; au Gabon, connu de l’Estuaire, de la Ngounié, de la Nyanga, de l’Ogooué-Ivindo et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000132960,,
wfo-0000133716,"Afrique tropicale, du Sénégal au Soudan, en Éthiopie et au sud, en Afrique du Sud, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la République du Congo et la République démocratique du Congo ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, de l’Ogooué-Ivindo et du Woleu-Ntem. L’espèce a été introduite en Asie tropicale et y est devenue envahissante ainsi que dans le Pacifique.",distribution,fre,,,,,ref-Gbn-0000133716,,
wfo-0000136469,"endémique du sud-est du Cameroun, du Gabon et du nord-est de la République démocratique du Congo ; au Gabon, connu d’une seule récolte récente de la Ngounié.",distribution,fre,,,,,ref-Gbn-0000136469,,
wfo-0000136707,"Afrique tropicale occidentale et centrale, du Sénégal à l’Angola, la République démocratique du Congo et en Ouganda, y compris le Nigéria et le Cameroun ; au Gabon, connu d’un seul spécimen de l’Ogooué-Ivindo.",distribution,fre,,,,,ref-Gbn-0000136707,,
wfo-0000137736,"répandu en Afrique centrale et orientale, y compris au sud-est du Nigéria, au Cameroun, en République démocratique du Congo et en Angola ; au Gabon, connu de la Ngounié (voir Notes).",distribution,fre,,,,,ref-Gbn-0000137736,,
wfo-0000139042,"Afrique occidentale et centrale, y compris le Nigéria, le Cameroun, la Guinée équatoriale, la République du Congo et la République démocratique du Congo ; au Gabon, connu de la Ngounié, de l’Ogooué-Ivindo et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000139042,,
wfo-0000139232,"originaire de l’Amérique du Sud, et éparsement distribué en Afrique, au Ghana, au Togo, au Bénin, au Nigéria, au Cameroun, en Guinée équatoriale, au Gabon, au Zimbabwe et en Afrique du Sud ; au Gabon, connu de l’Estuaire et de l’Ogooué-Lolo.",distribution,fre,,,,,ref-Gbn-0000139232,,
wfo-0000155440,"Cameroun, Gabon, République du Congo, République Démocratique du Congo, Angola et l’ouest de la Tanzanie ; au Gabon, connue dans toutes les provinces.",distribution,fre,,,,,ref-Gbn-0000155440,,
wfo-0000155447,"Nigéria, Cameroun, République Centrafricaine, Gabon, République du Congo et République Démocratique du Congo ; au Gabon, connue de l’Ogooué-Lolo et du Moyen-Ogooué.",distribution,fre,,,,,ref-Gbn-0000155447,,
wfo-0000155448,Angola (Cabinda) et Gabon d’où elle n’est connue que d’une seule récolte de l’Ogooué-Lolo.,distribution,fre,,,,,ref-Gbn-0000155448,,
wfo-0000157623,"Nigeria, Cameroun, République Centrafricaine, Guinée équatoriale, République Démocratique du Congo et Gabon, où elle a est récoltée dans les provinces de la Nyanga et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000157623,,
wfo-0000157624,"Cameroun et Gabon, où elle a été récoltée dans l’Estuaire, la Ngounié et l’Ogooué-Lolo.",distribution,fre,,,,,ref-Gbn-0000157624,,
wfo-0000157626,"endémique du Gabon, connue seulement d’une localité de l’Estuaire.",distribution,fre,,,,,ref-Gbn-0000157626,,
wfo-0000171420,"Cameroun, Gabon, République démocratique du Congo, Angola, Tanzanie et Ouganda ; au Gabon, connue de toutes les provinces sauf de l’Estuaire, du Moyen-Ogooué et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000171420,,
wfo-0000171603,"largement répandue en Amérique du Sud et Centrale ; en Afrique, de la Gambie jusqu’au Cameroun ; attendue au Gabon.",distribution,fre,,,,,ref-Gbn-0000171603,,
wfo-0000171932,"Afrique occidentale, de la Sierra Léone jusqu’au Cameroun, la Guinée équatoriale, le Gabon et la République du Congo ; au Gabon, connue de la Ngounié.",distribution,fre,,,,,ref-Gbn-0000171932,,
