taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000178509,Les fleurs et jeunes fruits sont mangés comme légumes en Indonésie et l’Indochine. Les plantes sont très utilisées comme haie vive ornementale. Les feuilles et l’écorce sont médicinales et servent comme fourrage.,use,fre,,,,,ref-Gbn-0000178509,,
wfo-0000178702,"Les graines ornementales sont utilisées pour colliers et chapelets. Les veuves Nkomi portent les colliers de graines pendant le deuil. La plante est considérée comme magique pour calmer la colère, aussi bien que rituelle et pour se protéger contre la magie. Les graines sont toxiques si mangées. Les feuilles ont la saveur du bois de réglisse, mâchées, elles ont le goût du coco. Les feuilles sont mastiquées par les chanteurs pour se faire la voix.",use,fre,,,,,ref-Gbn-0000178702,,
wfo-0000179103,Un légume à graine de grande importance en Asie et en Afrique de l’Ouest. Elle est mangée cuite en état frais ou après séchage. La plante est utilisée en médecine traditionnelle. Les feuilles sont consommées par le bétail. Les tiges sont utilisées comme bois de feu. Surtout cultivée comme annuelle (Asie) ; c’est le cinquième légume à graine utilisé dans le monde.,use,fre,,,,,ref-Gbn-0000179103,,
wfo-0000179119,Une des meilleures plantes de couverture dans les plantations ; très répandue par l’homme. L’usage comme fourrage est préférable seulement en mélange avec d’autres herbes.,use,fre,,,,,ref-Gbn-0000179119,,
wfo-0000179137,"Engrais vert et fourrage, mais remplacé par C. pubescens ce qui est supérieur en production.",use,fre,,,,,ref-Gbn-0000179137,,
wfo-0000179155,"Bon engrais vert, patûrage et couverture, fixant l’azote atmosphérique, populaire depuis les années 1950. C’est aussi une des plantes des plus savoureuses pour le bétail. Les fleurs sont ornementales.",use,fre,,,,,ref-Gbn-0000179155,,
wfo-0000179164,Engrais vert et plante de couverture.,use,fre,,,,,ref-Gbn-0000179164,,
wfo-0000179216,"Une espèce ornementale, qui pourrait également servir comme fourrage ou plante de couverture. La plante et les fruits contiennent minéraux et vitamines.",use,fre,,,,,ref-Gbn-0000179216,,
wfo-0000181003,"Arbre d’ombrage pour plantations de cacaoyers et caféiers, très ornementale. L’écorce en décoction a été utilisée pour laver les plaies et les boutons du pian. Les feuilles sont appliquées sur les blessures afin de les fermer.",use,fre,,,,,ref-Gbn-0000181003,,
wfo-0000181225,"L’utilité du bois semble limitée. Il sert traditionnellement à la confection de flotteurs pour la pêche, de patins de frein, de tuiles et de petits articles.",use,fre,,,,,ref-Gbn-0000181225,,
wfo-0000181719,"Utilisée comme fourrage et engrais vert, aussi contre l’érosion.",use,fre,,,,,ref-Gbn-0000181719,,
wfo-0000181730,Utilisée comme fourrage et engrais vert. Devenue une mauvaise herbe en Australie.,use,fre,,,,,ref-Gbn-0000181730,,
wfo-0000182428,"Les feuilles et l’écorce donnent une teinture noire pour poteries et tissus. Au Nigéria, on mange les feuilles comme légume, surtout en cas de famine. La gomme émulsifiante dans les graines a des propriétés pharmacologiques et technologiques pour traiter les aliments.",use,fre,,,,,ref-Gbn-0000182428,,
wfo-0000182577,Les graines bouillies donnent une décoction qui calme les douleurs causées par les hémorroïdes. C’est aussi une plante colorante d’importance locale.,use,fre,,,,,ref-Gbn-0000182577,,
wfo-0000183559,"Le bois est utilisé pour les membrures des embarcations, la construction des maisons et comme bois de chauffage. L’écorce est laxative, surtout pour les jeunes enfants. Ailleurs, des matières colorantes des feuilles et des graines, sont utilisées pour colorer les nattes etc. Le fruit serait toxique. La médecine traditionnelle en Afrique, utilise une infusion des feuilles comme traitement contre les troubles gastriques, intestinaux et hépatiques, et pour alléger le paludisme. Également cultivée comme plante ornementale et pour usages magico-religieux.",use,fre,,,,,ref-Gbn-0000183559,,
wfo-0000183571,"Dans la Ngounié, les bûcherons se protègent contre des accidents durant l’abattage des arbres avec les graines attachées au bras droit.",use,fre,,,,,ref-Gbn-0000183571,,
