"id","description","type","source","language","identifier","bibliographicCitation","url"
"wfo-0000147715","Pakhuis Mtns to George.","Distribution","E0038427-E855-4176-8084-844854957493","English","E0038427-E855-4176-8084-844854957493","Roux, JP. 2012. Pteridophytes. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 31-47. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000151490","Rhodesia [Zimbabwe]. Mozambique. Also in E. tropical Africa and subtropical S. Africa.","Distribution","7228C3B2-4502-4ABD-8CDF-F5948BBF6530","English","7228C3B2-4502-4ABD-8CDF-F5948BBF6530","Schelpe, EACLE. 1970. Pteridophyta, Fl. Zambes.: 1-254. Crown Agents for Oversea Governments & Administrations, London. [CC BY]",""
"wfo-0000132206","Ranges from about East London and Queenstown north-east through East Griqualand, the Transkei and Natal to the highlands of the eastern Transvaal. Also in Lesotho. In Natal mainly west of 31°E, growing socially in grassland, between c. 275 and 2200 m above sea level.","Distribution","E0AF9DB3-EA9C-4955-B108-EE1E518A5BEE","English","E0AF9DB3-EA9C-4955-B108-EE1E518A5BEE","Hilliard, OM. 1977. Compositae in Natal. Univ. Natal, Pietermaritzburg. [All rights reserved]",""
"wfo-0000155376","Very rare in the Northern Province and in the Ingwavuma area of KwaZulu-Natal. Also reported from south-eastern Botswana, Zimbabwe and Mozambique.","Distribution","A01AE25F-471E-44C6-8EEF-E9628075355F","English","A01AE25F-471E-44C6-8EEF-E9628075355F","Meeuse, ADJ; Welman, WG. 2000. Convolvulaceae, Fl. S. Africa 28(1): 1-138. National Botanical Institute, Pretoria. [http://www.biodiversitylibrary.org/item/209568#page/1/mode/1up] [CC BY]","http://www.biodiversitylibrary.org/item/209568#page/1/mode/1up"
"wfo-0000132579","Bain's Kloof Mtns.","Distribution","B5E5ACC1-5A4C-4AA1-93D8-460850DA5CC7","English","B5E5ACC1-5A4C-4AA1-93D8-460850DA5CC7","Manning, JC; Goldblatt, P. 2012. Asteraceae: Zyrphelis Cass. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 431-431. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000132579","In regione austro-occidentali.","Distribution","F33F91AF-63C5-47DC-82ED-20D7F1D87BB1","English","F33F91AF-63C5-47DC-82ED-20D7F1D87BB1","Schlechter, FRR. 1899. Plantae Schlechterianae novae vel minus cognitae describuntur. II. Bot. Jahrb. Syst. 27: 86-220. [https://www.biodiversitylibrary.org/item/687#page/92/mode/1up] [All rights reserved]","https://www.biodiversitylibrary.org/item/687#page/92/mode/1up"
"wfo-0000132640","S Namibia to Hex River Pass.","Distribution","A11A6B00-E341-4A63-AA56-1A601B2DBDAE","English","A11A6B00-E341-4A63-AA56-1A601B2DBDAE","Manning, JC; Goldblatt, P. 2012. Asteraceae: Cotula L. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 365-367. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000132774","Cold Bokkeveld and Piketberg to Wemmershoek Mtns.","Distribution","8BB11DD0-58FD-461C-8350-8CFE0742A00B","English","8BB11DD0-58FD-461C-8350-8CFE0742A00B","Manning, JC; Goldblatt, P. 2012. Asteraceae: Oedera L. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 399-400. South African National Biodiversity Institute, Pretoria. [CC BY]",""
"wfo-0000163648","Native to Brazil; naturalized in Florida and the Bahamas.","Distribution","D617DA81-7B7F-400B-982B-7EF96BFD9EE1","English","D617DA81-7B7F-400B-982B-7EF96BFD9EE1","Luckow, M. 1996. The cultivated species of Cassia, Senna and Chamaecrista (Leguminoseae). Baileya 23: 195-241. [Permission to reproduce this work was granted to SANBI by the L.H. Bailey Hortorium, Dept. of Plant Biology - SIPS, Cornell University] [All rights reserved]",""
"wfo-0000132807","S Namibia to Mpumalanga, Australia.","Distribution","A11A6B00-E341-4A63-AA56-1A601B2DBDAE","English","A11A6B00-E341-4A63-AA56-1A601B2DBDAE","Manning, JC; Goldblatt, P. 2012. Asteraceae: Cotula L. In: J Manning & P Goldblatt (eds), Plants of the Greater Cape Floristic Region 1: The Core Cape flora, Strelitzia 29: 365-367. South African National Biodiversity Institute, Pretoria. [CC BY]",""
