id,scientificName,citation,url
wfo-0000371636,Malephora smithii (L.Bolus) H.E.K.Hartmann,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000372329,Cyperus durus Kunth,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000418026,Ficinia ecklonea (Steud.) Nees,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293400,Lampranthus middlemostii (L.Bolus) L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000418519,Ficinia truncata (Thunb.) Schrad.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001174048,Gymnostomum bewsii Sim,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293304,Lampranthus coralliflorus (Salm-Dyck) Schwantes,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000377409,Cyperus macrocarpus (Kunth) Boeckeler,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293690,Oophytum nanum (Schltr.) L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000702505,Gibbaeum gibbosum (Haw.) N.E.Br.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293398,Lampranthus microsepalus L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001150073,Tortella fragilis (Hook. & Wilson) Limpr.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000338272,Alinula paradoxa (Cherm.) Goetgh. & Vorster,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293537,Lithops herrei L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293264,Lampranthus aestivus (L.Bolus) L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000369890,Cyperus congestus Vahl,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001150085,Tortella humilis (Hedw.) Jenn.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000702502,Gibbaeum esterhuyseniae L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001293354,Lampranthus godmaniae (L.Bolus) L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001149500,Thuidium assimile (Mitt.) A.Jaeger,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000597961,Cerochlamys pachyphylla (L.Bolus) L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001435167,Conophytum hermarium (S.A.Hammer) S.A.Hammer,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001334027,Cyperus austro-africanus C.Archer & Goetgh.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001294353,Stayneria neilii (L.Bolus) L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001334029,Cyperus uitenhagensis (Steud.) C.Archer & Goetgh.,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000639567,Delosperma pageanum (L.Bolus) Schwantes,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001262249,Neohenricia spiculata S.A.Hammer,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000538977,Antimima leucanthera (L.Bolus) H.E.K.Hartmann,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000618632,Conophytum blandum L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000538973,Antimima koekenaapensis (L.Bolus) H.E.K.Hartmann,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000418320,Ficinia repens (Nees) Kunth,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000538982,Antimima loganii (L.Bolus) H.E.K.Hartmann,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0001294447,Wooleya farinosa (L.Bolus) L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
wfo-0000564275,Bergeranthus artus L.Bolus,e-Flora of South Africa. v1.42. 2023. South African National Biodiversity Institute.,http://ipt.sanbi.org.za/iptsanbi/resource?r=flora_descriptions&amp;v=1.42
