taxonID,vernacularName,language,countryCode,rights,license,bibliographicCitation,url
wfo-0000783754,Feileastram,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000355532,Aiteal,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000408637,Iúr,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0001109358,Fionnacha ladhrach,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0001225452,Fionnacha lansac,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0001110391,Creamh na muice fia,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0001109141,Raithneach aolchloiche,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000769953,Liach mhóna,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000771226,Líobhógach dlúth,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000441933,Cabhair Mhuire,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000440478,Coireán coilleach,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000436325,Fliodh,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
wfo-0000436323,Tusarraing mhór,ga,ie,CC BY-ND,https://creativecommons.org/licenses/by-nd/4.0/,"Parnell J., Curtis T. & Cullen E. 2012. Webb’s an Irish Flora. [8th ed.] Cork: Cork University Press.",https://www.corkuniversitypress.com/9781859184783/webbs-an-irish-flora/
