WFOID,vernacularName,taxon,identifier,preferredName,source,language,countryCode,uri
wfo-0000584001,Hemp,Cannabis sativa,638,0,,en,IE,
wfo-0000584001,Indian hemp,Cannabis sativa,639,0,,en,IE,
wfo-0000584001,Cannabis,Cannabis sativa,640,0,,en,IE,
wfo-0000584001,Marijuana,Cannabis sativa,641,0,,en,IE,
wfo-0000585589,Shepherd’s purse,Capsella bursa-pastoris,644,1,,en,IE,
wfo-0000586435,Large bitter-cress,Cardamine amara,653,1,,en,IE,
wfo-0000586792,Wavy bitter-cress,Cardamine flexuosa,656,1,,en,IE,
wfo-0000586792,Wood bittercress,Cardamine flexuosa,657,0,,en,IE,
wfo-0000586924,Hairy bittercress,Cardamine hirsuta,660,1,,en,IE,
wfo-0000586999,Narrow-leaved bitter-cress,Cardamine impatiens,662,1,,en,IE,
wfo-0000587355,Cuckooflower,Cardamine pratensis,664,1,,en,IE,
wfo-0000587355,Lady’s smock,Cardamine pratensis,665,0,,en,IE,
wfo-0000587355,Bitter cress,Cardamine pratensis,666,0,,en,IE,
wfo-0000587355,Milkmaids,Cardamine pratensis,667,0,,en,IE,
wfo-0000587355,clappede-pouch,Cardamine pratensis,677,0,,en,IE,
wfo-0000114356,Welted thistle,Carduus acanthoides,678,1,,en,IE,
wfo-0000003240,Slender thistle,Carduus tenuiflorus,680,1,,en,IE,
wfo-0000344146,Slender tufted-sedge,Carex acuta,682,1,,en,IE,
wfo-0000344202,Lesser pond-sedge,Carex acutiformis,684,1,,en,IE,
wfo-0000344489,Fibrous tussock-sedge,Carex appropinquata,686,1,,en,IE,
wfo-0000344496,Water sedge,Carex aquatilis,688,1,,en,IE,
wfo-0000344548,Sand sedge,Carex arenaria,690,1,,en,IE,
wfo-0000344548,Black scutch,Carex arenaria,691,0,,en,IE,
wfo-0000344910,Stiff sedge,Carex bigelowii,693,1,,en,IE,
wfo-0000344934,Green-ribbed sedge,Carex binervis,695,1,,en,IE,
wfo-0000345198,Club sedge,Carex buxbaumii,697,1,,en,IE,
wfo-0000345352,Spring sedge,Carex caryophyllea,699,1,,en,IE,
wfo-0000345827,White sedge,Carex curta,701,1,,en,IE,
wfo-0000345960,Common yellow-sedge,Carex demissa,703,1,,en,IE,
wfo-0000345971,Starved wood-sedge,Carex depauperata,705,1,,en,IE,
wfo-0000346001,Lesser tussock-sedge,Carex diandra,707,1,,en,IE,
wfo-0000346074,Dioecious sedge,Carex dioica,709,1,,en,IE,
wfo-0000346128,Distant sedge,Carex distans,711,1,,en,IE,
wfo-0000346149,Brown sedge,Carex disticha,713,1,,en,IE,
wfo-0000346179,Divided sedge,Carex divisa,715,1,,en,IE,
wfo-0000346192,Grey sedge,Carex divulsa,717,1,,en,IE,
wfo-0000346291,Star sedge,Carex echinata,719,1,,en,IE,
wfo-0000346340,Tufted-sedge,Carex elata,721,1,,en,IE,
wfo-0000346372,Elongated sedge,Carex elongata,723,1,,en,IE,
wfo-0000346491,Long-bracted sedge,Carex extensa,725,1,,en,IE,
wfo-0000346645,Glaucous sedge,Carex flacca,727,1,,en,IE,
wfo-0000347452,Hairy sedge,Carex hirta,729,1,,en,IE,
wfo-0000347546,Tawny sedge,Carex hostiana,731,1,,en,IE,
wfo-0000348041,Smooth-stalked sedge,Carex laevigata,733,1,,en,IE,
wfo-0000348121,Slender sedge,Carex lasiocarpa,735,1,,en,IE,
wfo-0000348243,Long-stalked yellow-sedge,Carex lepidocarpa,737,1,,en,IE,
wfo-0000348362,Bog-sedge,Carex limosa,739,1,,en,IE,
wfo-0000348649,Tall bog-sedge,Carex magellanica,741,1,,en,IE,
wfo-0000349072,Prickly sedge,Carex muricata,743,1,,en,IE,
wfo-0000349072,Cíb dheilgneach,Carex muricata,744,1,,en,IE,
wfo-0000349250,Common sedge,Carex nigra,745,1,,en,IE,
wfo-0000349613,False fox-sedge,Carex otrubae,748,1,,en,IE,
wfo-0000349619,Oval sedge,Carex ovalis,750,1,,en,IE,
wfo-0000349686,Pale sedge,Carex pallescens,752,1,,en,IE,
wfo-0000349728,Carnation sedge,Carex panicea,754,1,,en,IE,
wfo-0000349728,Carnation-grass,Carex panicea,755,0,,en,IE,
wfo-0000349753,Greater tussock-sedge,Carex paniculata,757,1,,en,IE,
wfo-0000349841,Few-flowered sedge,Carex pauciflora,759,1,,en,IE,
wfo-0000349896,Pendulous sedge,Carex pendula,761,1,,en,IE,
wfo-0000350055,Pill sedge,Carex pilulifera,763,1,,en,IE,
wfo-0000350327,Cyperus sedge,Carex pseudocyperus,765,1,,en,IE,
wfo-0000350429,Flea sedge,Carex pulicaris,767,1,,en,IE,
wfo-0000350450,Dotted sedge,Carex punctata,769,1,,en,IE,
wfo-0000350606,Remote sedge,Carex remota,771,1,,en,IE,
wfo-0000350744,Greater pond-sedge,Carex riparia,773,1,,en,IE,
wfo-0000350803,Bottle sedge,Carex rostrata,775,1,,en,IE,
wfo-0000351203,Small-fruited yellow-sedge,Carex serotina,777,1,,en,IE,
wfo-0000351440,Spiked sedge,Carex spicata,779,1,,en,IE,
wfo-0000351662,Thin-spiked wood-sedge,Carex strigosa,781,1,,en,IE,
wfo-0000351794,Wood sedge,Carex sylvatica,783,1,,en,IE,
wfo-0000352391,Bladder-sedge,Carex vesicaria,785,1,,en,IE,
wfo-0000130786,Carline thistle,Carlina vulgaris,787,1,,en,IE,
wfo-0000804581,Hornbeam,Carpinus betulus,789,1,,en,IE,
wfo-0000588460,Caraway,Carum carvi,792,1,,en,IE,
wfo-0000588692,Whorled caraway,Carum verticillatum,798,1,,en,IE,
wfo-0000812271,Spanish chestnut,Castanea sativa,800,1,,en,IE,
wfo-0000812271,Sweet chestnut,Castanea sativa,801,0,,en,IE,
wfo-0000858385,Whorl-grass,Catabrosa aquatica,804,1,,en,IE,
wfo-0000858498,Sea fern-grass,Catapodium marinum,808,1,,en,IE,
wfo-0000858509,Fern-grass,Catapodium rigidum,811,1,,en,IE,
wfo-0000008997,Cornflower,Centaurea cyanus,814,1,,en,IE,
wfo-0000008997,Corn bluebottle,Centaurea cyanus,815,0,,en,IE,
wfo-0000057027,Common knapweed,Centaurea nigra,821,1,,en,IE,
wfo-0000057027,Black heads,Centaurea nigra,822,0,,en,IE,
wfo-0000057027,Blackhead,Centaurea nigra,823,0,,en,IE,
wfo-0000057027,Stickybacks,Centaurea nigra,824,0,,en,IE,
wfo-0000057027,Bachelor’s buttons,Centaurea nigra,825,0,,en,IE,
wfo-0000057027,Black knapweed,Centaurea nigra,826,0,,en,IE,
wfo-0000057027,Hardheads,Centaurea nigra,827,0,,en,IE,
wfo-0000013986,Greater knapweed,Centaurea scabiosa,840,1,,en,IE,
wfo-0000593916,Common centaury,Centaurium erythraea,842,1,,en,IE,
wfo-0000593916,Santry,Centaurium erythraea,843,0,,en,IE,
wfo-0000593916,Dramwe na murrough,Centaurium erythraea,844,0,,en,IE,
wfo-0000593916,Feverwort,Centaurium erythraea,845,0,,en,IE,
wfo-0000593969,Seaside centaury,Centaurium littorale,853,1,,en,IE,
wfo-0000594018,Lesser centaury,Centaurium pulchellum,856,1,,en,IE,
wfo-0000594324,Red valerian,Centranthus ruber,858,1,,en,IE,
wfo-0000594324,Slán iomaire,Centranthus ruber,860,1,,en,IE,
wfo-0000829212,Narrow-leaved helleborine,Cephalanthera longifolia,861,1,,en,IE,
wfo-0000595158,Field mouse-ear,Cerastium arvense,683,1,,en,IE,
wfo-0000595487,Sea mouse-ear,Cerastium diffusum,865,1,,en,IE,
wfo-0000595550,Common mouse-ear,Cerastium fontanum,867,1,,en,IE,
wfo-0000595550,Common mouse-ear chickweed,Cerastium fontanum,868,0,,en,IE,
wfo-0000595603,Sticky mouse-ear,Cerastium glomeratum,873,1,,en,IE,
wfo-0000596122,Little mouse-ear,Cerastium semidecandrum,875,1,,en,IE,
wfo-0000596336,Climbing corydalis,Ceratocapnos claviculata,877,1,,en,IE,
wfo-0000831785,Rigid hornwort,Ceratophyllum demersum,879,1,,en,IE,
wfo-0000832288,Soft hornwort,Ceratophyllum submersum,881,1,,en,IE,
wfo-0000599113,Chervil,Chaerophyllum temulum,882,1,,en,IE,
wfo-0000599113,Rough chervil,Chaerophyllum temulum,883,0,,en,IE,
wfo-0000005006,Chamomile,Chamaemelum nobile,886,1,,en,IE,
wfo-0000600195,Wallflower,Cheiranthus ×cheiri,892,1,,en,IE,
wfo-0000600655,Greater celandine,Chelidonium majus,895,1,,en,IE,
wfo-0000600897,Fat hen,Chenopodium album,901,1,,en,IE,
wfo-0000600897,White goosefoot,Chenopodium album,902,0,,en,IE,
wfo-0000600897,Lamb’s quarters,Chenopodium album,903,0,,en,IE,
wfo-0000600897,Dungweed,Chenopodium album,904,0,,en,IE,
wfo-0000600897,Muckweed,Chenopodium album,905,0,,en,IE,
wfo-0000600897,Dirtweed,Chenopodium album,906,0,,en,IE,
wfo-0000600897,Miles,Chenopodium album,907,0,,en,IE,
wfo-0000601122,Good King Henry,Chenopodium bonus-henricus,913,1,,en,IE,
wfo-0000601122,All-good,Chenopodium bonus-henricus,914,0,,en,IE,
wfo-0000601122,Mercury,Chenopodium bonus-henricus,915,0,,en,IE,
wfo-0000601534,Nettle-leaved goosefoot,Chenopodium murale,917,1,,en,IE,
wfo-0000601534,Sowbane,Chenopodium murale,918,0,,en,IE,
wfo-0000601735,Red goosefoot,Chenopodium rubrum,922,1,,en,IE,
wfo-0000601735,Blonagán dearg,Chenopodium rubrum,923,0,,en,IE,
wfo-0000601735,Lus coise gé (dearg),Chenopodium rubrum,924,0,,en,IE,
wfo-0000093001,Ox-eye daisy,Chrysanthemum leucanthemum,925,0,,en,IE,
wfo-0000093001,Dog daisy,Chrysanthemum leucanthemum,926,0,,en,IE,
wfo-0000093001,White may,Chrysanthemum leucanthemum,927,0,,en,IE,
wfo-0000093001,Bishop’s-posy,Chrysanthemum leucanthemum,928,0,,en,IE,
wfo-0000093001,Espibawn,Chrysanthemum leucanthemum,929,0,,en,IE,
wfo-0000093001,Moon-daisy,Chrysanthemum leucanthemum,930,0,,en,IE,
wfo-0000093001,Marguerite,Chrysanthemum leucanthemum,931,0,,en,IE,
wfo-0000006741,Corn marigold,Chrysanthemum segetum,939,1,,en,IE,
