wfo_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000185017,250195353,150284804,Erythrina arborescens,FABACEAE,Erythrina,arborescens,,,,Roxb.,Least Concern,,3.1,Unknown,Global
wfo-0000185018,250195426,150212202,Erythrina stricta,FABACEAE,Erythrina,stricta,,,,Roxb.,Least Concern,,3.1,Unknown,Global
wfo-0000185019,250193802,150212317,Erythrina suberosa,FABACEAE,Erythrina,suberosa,,,,Roxb.,Least Concern,,3.1,Unknown,Global
wfo-0000185021,203234021,198109328,Erythrina subumbrans,FABACEAE,Erythrina,subumbrans,,,,(Hassk.) Merr.,Least Concern,,3.1,Unknown,Global
wfo-0000185022,236663210,35083,Erythrina tahitensis,FABACEAE,Erythrina,tahitensis,,,,Nadeaud,Critically Endangered,C2a(i); D,3.1,Decreasing,Global
wfo-0000185023,193990937,193989227,Erythrina vespertilio,FABACEAE,Erythrina,vespertilio,,,,Benth.,Least Concern,,3.1,Unknown,Global
wfo-0000185024,143758666,142672342,Erythrina merrilliana,FABACEAE,Erythrina,merrilliana,,,,Krukoff,Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0000185026,200623420,200283136,Erythrina caribaea,FABACEAE,Erythrina,caribaea,,,,Krukoff & Barneby,Vulnerable,"B2ab(i,ii,iii,v)",3.1,Decreasing,Global
wfo-0000185027,20144268,19892187,Spatholobus parviflorus,FABACEAE,Spatholobus,parviflorus,,,,(DC.) Kuntze,Least Concern,,3.1,Stable,Global
wfo-0000185036,164014907,164013178,Vandasina retusa,FABACEAE,Vandasina,retusa,,,,(Benth.) Rauschert,Least Concern,,3.1,Stable,Global
wfo-0000185044,20134626,19892259,Rhynchosia heynei,FABACEAE,Rhynchosia,heynei,,,,Wight & Arn.,Vulnerable,B2ab(iii),3.1,Unknown,Global
wfo-0000185051,192232370,192232368,Adenanthera abrosperma,FABACEAE,Adenanthera,abrosperma,,,,F.Muell.,Least Concern,,3.1,Stable,Global
wfo-0000185059,20094847,19892863,Lespedeza thunbergii,FABACEAE,Lespedeza,thunbergii,,,,(DC.) Nakai,Data Deficient,,3.1,Stable,Global
wfo-0000185067,20093791,19892702,Lespedeza cuneata,FABACEAE,Lespedeza,cuneata,,,,(Dum.Cours.) G.Don,Least Concern,,3.1,Unknown,Global
wfo-0000185070,20044076,19891554,Crotalaria albida,FABACEAE,Crotalaria,albida,,,,Heyne ex Roth,Least Concern,,3.1,Stable,Global
wfo-0000185079,20049586,19893123,Crotalaria paniculata,FABACEAE,Crotalaria,paniculata,,,,Willd.,Least Concern,,3.1,Unknown,Global
wfo-0000185085,199825286,199825284,Dalbergia ferruginea,FABACEAE,Dalbergia,ferruginea,,,,Roxb.,Least Concern,,3.1,Stable,Global
wfo-0000185086,152201882,150284753,Dalbergia sericea,FABACEAE,Dalbergia,sericea,,,,G.Don,Least Concern,,3.1,Unknown,Global
wfo-0000185087,20056788,19892025,Dalbergia parviflora,FABACEAE,Dalbergia,parviflora,,,,Roxb.,Least Concern,,3.1,Unknown,Global
wfo-0000185088,208103138,208103114,Dalbergia spinosa,FABACEAE,Dalbergia,spinosa,,,,Roxb.,Least Concern,,3.1,Unknown,Global
wfo-0000185089,67802995,34620,Pterocarpus marsupium,FABACEAE,Pterocarpus,marsupium,,,,Roxb.,Near Threatened,C1,3.1,Decreasing,Global
wfo-0000185109,20008785,19891507,Astragalus ammodendron,FABACEAE,Astragalus,ammodendron,,,,Bunge,Least Concern,,3.1,Stable,Global
wfo-0000185128,20119278,19893111,Astragalus mongholicus,FABACEAE,Astragalus,mongholicus,,,,Bunge,Least Concern,,3.1,Stable,Global
wfo-0000185147,141556979,141556949,Albizia mossamedensis,FABACEAE,Albizia,mossamedensis,,,,Torre,Least Concern,,3.1,Stable,Global
wfo-0000185166,20029832,19892757,Bossiaea pulchella,FABACEAE,Bossiaea,pulchella,,,,Meisn.,Least Concern,,3.1,Stable,Global
wfo-0000185176,231917017,231915849,Lamprolobium fruticosum,FABACEAE,Lamprolobium,fruticosum,,,,Benth.,Least Concern,,3.1,Stable,Global
wfo-0000185180,20006440,19891977,Aotus subglauca,FABACEAE,Aotus,subglauca,,,,Blakely & McKie,Least Concern,,3.1,Stable,Global
wfo-0000185186,20067846,19892831,Dillwynia juniperina,FABACEAE,Dillwynia,juniperina,,,,Lodd.,Least Concern,,3.1,Stable,Global
wfo-0000185197,20090769,19891917,Jacksonia furcellata,FABACEAE,Jacksonia,furcellata,,,,(Bonpl.) DC.,Least Concern,,3.1,Stable,Global
wfo-0000185199,20090899,19891688,Jacksonia sericea,FABACEAE,Jacksonia,sericea,,,,Benth.,Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0000185200,172925209,172925207,Jacksonia sternbergiana,FABACEAE,Jacksonia,sternbergiana,,,,Benth.,Least Concern,,3.1,Stable,Global
wfo-0000185204,186000633,186000631,Callistachys lanceolata,FABACEAE,Callistachys,lanceolata,,,,Vent.,Least Concern,,3.1,Stable,Global
wfo-0000185214,98066943,98066922,Cicer bijugum,FABACEAE,Cicer,bijugum,,,,Rech.f.,Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000185216,20042684,19891645,Cicer echinospermum,FABACEAE,Cicer,echinospermum,,,,P.H. Davis,Least Concern,,3.1,Stable,Global
wfo-0000185221,98067046,98067043,Cicer pinnatifidum,FABACEAE,Cicer,pinnatifidum,,,,Jaub. & Spach,Data Deficient,,3.1,Unknown,Global
wfo-0000185226,98067070,98067060,Cicer reticulatum,FABACEAE,Cicer,reticulatum,,,,Ladiz.,Near Threatened,B2b(iii),3.1,Decreasing,Global
wfo-0000185231,199907541,34515,Albizia obbiadensis,FABACEAE,Albizia,obbiadensis,,,,(Chiov.) Brenan,Vulnerable,B2ab(iii),3.1,Decreasing,Global
wfo-0000185281,172929409,172929407,Acacia acuminata,FABACEAE,Acacia,acuminata,,,,Benth.,Least Concern,,3.1,Stable,Global
